Student
Gina Killer
Herlinde Birnbaum
Mehdi Neureuther
Meral Reinhardt
Univ.Prof. Jörg-Peter Riehl
Arzu Stiffel-Drubin
Frau Monique Löchel
Oxana Ortmann MBA.
Prof. Walter Pechel
Jost Briemer
Liesel Klapp
Dorothe Adler-Trubin
Prof. Kaspar Mosemann
Dr. Silvester Krein B.Sc.
Marion Drewes
Hans-Martin Drewes
Johanna Fischer
Leonore Hettner-Staude
Frau Anne-Katrin Rädel
Kay-Uwe Trommler
Cäcilie Patberg
Celal Hettner MBA.
Folkert Schwital
Dipl.-Ing. Rudi Wiek B.Eng.
Ingeborg Wesack
Emilia Seifert
Halina Lachmann
Ing. Irmtraud Wiek MBA.
Ing. Rolf Gertz
Ing. Cynthia Weihmann B.Eng.
Curt Schönland
Univ.Prof. Betty Conradi B.A.
Dipl.-Ing. Janet Ruppersberger
Dipl.-Ing. Rabea Sorgatz MBA.
Ljudmila Krebs
Pia Steuer
Zoran Oestrovsky
Senta Warmer
Klaus-D. Hövel
Mark Sauer B.A.
Frau Beatrix Bonbach B.A.
Dr. Heinz Dieter Dörschner
James Ebert
Eberhardt Fiebig
Herta Weitzel
Trude Scholtz B.A.
Gregor Dippel
Gundula Vollbrecht
Ing. Bianka Bärer MBA.
Victoria Hiller
Herr Ansgar Gnatz
Ing. Abraham Thanel B.Eng.
Birgit Pergande
Prof. Guiseppe Gröttner B.Sc.
Frauke Söding
Timm Schönland
Ellen Junken
Lena Mitschke
Herr Ilhan Tröst B.A.
Elma Junken
Prof. Constance Girschner MBA.
Adelheid Hecker
Centa Bohlander-Stiebitz
Korinna Spieß MBA.
Stjepan Schmidtke
Dipl.-Ing. Lilly Trüb
Univ.Prof. Othmar Geisel
Katy Täsche
Rosa-Maria Reising
Zita Klemt
Gregor Buchholz
Vincenzo Steinberg B.Sc.
Prof. Linus Kambs B.A.
Hassan Sager
Prof. Ricardo Kensy
Christel Mangold
Prof. Theda Hölzenbecher
Fredy Bachmann B.Eng.
Ing. Michel Harloff
Hildegund Gunpf
Prof. Urs Salz
Maurizio Mans-Ullmann
Dipl.-Ing. Heinz-Otto Jähn
Gerlind Trüb-Losekann
Georg Misicher
Annemarie Seidel
Käthe Briemer MBA.
Laurenz Rosemann
Marlene Steckel B.A.
Meike Trupp
Ing. Marvin Renner MBA.
Linus Mans-Röhrdanz
Univ.Prof. Willfried Werner B.Sc.
Karl-Dieter Thies
Univ.Prof. Fredi Hölzenbecher
Prof. Lieschen Bohlander
Urszula Rudolph
Kemal Heinz
Ing. Walli Bolander MBA.
Anne-Marie Stumpf
Dr. Gerda Butte MBA.
Ellen Vogt
Muzaffer Sorgatz
Emmy Trub MBA.
Torben Hartung
Prof. Jonas Scholtz
Katharine Mühle
Prof. Bela Noack
Deborah Scholtz B.A.
Denis Etzold
Frau Reinhilde Wirth MBA.
Ehrentraud Meyer MBA.
Ing. Mariechen Nerger B.Eng.
Rosa-Maria Seifert
Erdal Bähr
Dr. Jann Wesack B.A.
Reimar Kabus
Isa Tlustek
Rosalia Pruschke
Anna-Luise Eckbauer
Rosmarie Ullmann
Univ.Prof. Anika Pärtzelt MBA.
Edmund Siering
Ing. Klothilde Hörle B.A.
Marco Schinke B.Eng.
Frau Nadeshda Ruppert
Notburga Pölitz
Janus Weitzel-Koch
Heinz Dieter Barkholz
John Bauer
Uwe Schwital MBA.
Jolanta Nohlmans-Tschentscher
Kerstin Eigenwillig B.Eng.
Dipl.-Ing. Götz Bloch
Zlatko Kraus
Friedericke Killer B.Eng.
Dörthe Rädel
Ernest Müller
Dr. Joseph Bien
Leonid Hein B.Sc.
Nikolaus Fiebig
Prof. Gabriella Holt B.Eng.
Raymund Koch II-Margraf
Dr. Annaliese Lindner
Siegward Weinhold
Alexej Kohl
Senol Hölzenbecher
Margareta Trub
Severin Barkholz B.Eng.
Ing. Ignaz Rose
Ramon Salz
Niko Geißler-Wirth
Gloria Bruder B.A.
Ing. Meik Eberhardt B.A.
Artur Briemer
Adele Weimer B.Eng.
Vassilios Trommler-Gieß
Berta Hörle-Börner
Judith Hering B.A.
Karl-Peter Häring-Kruschwitz
Dipl.-Ing. Robert Köhler
Dipl.-Ing. Baldur Oderwald B.Sc.
Mechtild Patberg
Dr. Marian Rust
Dorota Sorgatz B.A.
Martina Keudel
Geert Etzold
Markus Eimer
Grzegorz Mende B.A.
Mato Trubin
Hans Jörg Köhler
Ing. Jeanette Rosemann B.Eng.
Dr. Frederik Dobes MBA.
Gretel Hande
Ing. Christa-Maria Liebelt
Lilija Kensy
Frau Katarina Bolander B.Sc.
Lilli Meyer-Reuter
Swen Wirth
Rosina Ditschlerin-Ortmann
Anatolij Keudel
Freddy Nette-Hendriks
Reinhold Schönland
Monika Haering
Hanni Wieloch
Brunhilde Heinz MBA.
Univ.Prof. Fatima Faust B.A.
Univ.Prof. Francisco Tröst B.Eng.
Dr. Rosmarie Seip
Univ.Prof. Mahmoud Liebelt
Ing. Eugenie Birnbaum
Serge Trubin
Dipl.-Ing. Nuray Mude B.Sc.
Dr. Annika Gude MBA.
Roman Jäntsch
Rabea Weiß MBA.
Rocco Rosemann B.A.
Valentine Bähr B.A.
Ralf-Peter Ebert
Filippo Kostolzin
Mareile Meister
Zehra Conradi-Heinrich
Constanze Lange
Rita Käster B.A.
Herr Ilja Kroker
Martine Conradi
Sinaida Heinz-Gnatz
Hanspeter Koch II-Wohlgemut
Ing. Svenja Aumann
Prof. Magda Textor
Hasso Zahn
Christl Pölitz
Prof. Ursula Eigenwillig
Vanessa Hornig
Joseph Harloff
Luigi Hartung
Cornelia Schinke
Karl-Georg Römer B.A.
Klaus Dieter Weimer-Hein
Gisela Hornich-Metz
Meral Eberhardt B.A.
Hubert Weitzel
Ron Dobes-Weihmann
Herr Augustin Karge B.Eng.
Lilli Atzler
Hanne-Lore Kraus
Ing. Bianca Paffrath
Stavros Schinke
Marianna Hofmann
Gisbert Christoph
Liliane Gröttner-Albers
Hans-Joachim Pohl
Inken Gute B.Eng.
Bogdan Löffler
Hiltraud Klemm-Pärtzelt
Ibrahim Eberth
Ilija Kohl
Ing. Tina Schmiedt B.A.
Edward Dippel
Dipl.-Ing. Emmy Börner
Folker Otto
Mandy Rädel
Carin Huhn
Prof. Erwin Albers B.Sc.
Bernhardine Mangold
Dagmar Schinke B.Sc.
Tony Henk MBA.
Annika Pieper B.A.
Rahel Kreusel
Karlfried Ruppersberger
Prof. Liliana Klemm MBA.
Dr. Wolf-Rüdiger Trüb
Prof. Sarina Hartmann
Frau Lisbeth Girschner MBA.
Dipl.-Ing. Claas Ladeck
Woldemar Heydrich B.Eng.
Wiebke Gehringer
Inna Hande
Felicia Ritter
Elly Hande
Hans-Gerd Preiß
Agathe Jäntsch-Käster
Iris Mans
Friedl Hartmann
Univ.Prof. Gundel Atzler B.Eng.
Dipl.-Ing. Dragica Neureuther
Anka Boucsein
Ingrid Rudolph
Paula Heinz
Hans Jürgen Winkler
Mahmoud Ditschlerin-Trüb
Juan Schweitzer
Sükrü Fiebig
Ignaz Stoll
Gunnar Hornig
Richard Mende-Hendriks
Frau Ilka Pärtzelt B.Eng.
Helene Gröttner-Hornich
Gundi Hiller
Jonas Walter
Mark Lindau
Frau Silvana Bolzmann B.Eng.
Änne Boucsein B.Sc.
Damian Holsten
Prof. Wolf-Dietrich Schweitzer MBA.
Yasmin Reising
Mariana Wirth
Nevenka Hörle MBA.
Ing. Wendelin Köster B.A.
Philippe Geisler
Heinrich Döring
Gernot Dörr
Mike Sölzer
Dr. Meinhard Hiller
Nadine Schleich
Albert Seifert MBA.
Nelly Buchholz
Ing. Cilli Gertz B.A.
Dr. Ursel Gute
Olaf Juncken
Hiltrud Klemm
Anatolij Steinberg
Pirmin Reising
Frau Dorothe Mielcarek
Patric Hermighausen MBA.
Herr Hellmuth Birnbaum B.A.
Prof. Frithjof Adolph MBA.
Friedlinde Warmer
Anna-Lena Wohlgemut
Theodor Striebitz
Prof. Sonia Blümel
Adriana Vogt
Patrick Wohlgemut
Ute Hartmann
Hinrich Römer
Isa Knappe-Biggen
Felix Hölzenbecher B.A.
Folkert Reinhardt B.Sc.
Leonardo Trub B.A.
Antonios Walter
Pero Römer
Kristin Niemeier
Krista Putz
Dr. Marie-Theres Möchlichen B.A.
Amalia Schmidtke-Radisch
Sibylle Löchel
Angela Weimer
Dipl.-Ing. Bernhardine Heß
Pawel auch Schlauchin
Heidelore Heinrich
Sabrina Schomber
Brunhild Briemer B.Sc.
Erica Renner-Trapp
Arnulf Zimmer-Seifert
Marek Schenk B.A.
Lilly Girschner-Ritter
Tibor Briemer
Hilmar Faust
Hermann Josef Börner
Bernhardine Schuchhardt
Prof. Loretta Speer MBA.
Univ.Prof. Harro Weller
Univ.Prof. Frieder Döhn MBA.
Jenny Scholtz
Dr. Katalin Knappe B.Eng.
Karl-Hans Fiebig
Univ.Prof. Dorina Lange
Marjan Segebahn B.Eng.
Silja Jüttner
Univ.Prof. Heinz-Werner Renner B.A.
Dipl.-Ing. Janus Roht B.Sc.
Peggy Holt
Prof. Robert Heintze
Tomislav Schüler
Sylvana Hornich MBA.
Svea Hartung B.Eng.
Magrit Lange
Peer Jähn
Univ.Prof. Rotraut Juncken B.A.
Myriam Aumann
Madeleine Hartung
Gertraud Tröst
Ruben Trubin
Alma Kaul
Darko Wilms
Dr. Peer Schwital MBA.
Nikolas Hövel
Adele Stroh
Dagobert Sorgatz
Univ.Prof. Amalie Warmer B.Eng.
Dr. Jan-Peter Martin B.Eng.
Frau Aleksandra Dobes B.A.
Melita Schacht
Nadja Häring B.Eng.
Annelore Riehl
Prof. Siegbert Scheuermann B.A.
Dipl.-Ing. Cläre Geißler
Ralf-Dieter Sauer-Hermighausen
Ilse Krebs
Silvia Weiß
Benno Kraushaar
Birger Klapp
Anne-Kathrin Geisler
Senol Hande MBA.
Anneli Neuschäfer
Erika Pruschke
Dipl.-Ing. Leo Sager
Rainer Hänel
Marie-Therese Schleich
Univ.Prof. Anika Jockel MBA.
Rebekka Lindau MBA.
Univ.Prof. Heinrich Knappe B.A.
Eileen Hartung
Inna Schulz
Manuel Schenk
Agnieszka Steckel
Sylvester Neuschäfer-Schacht
Luciano Wirth
Sophie Rädel
Prof. Ilse Schmiedecke
Silke Heydrich-Albers
Rüdiger Geisler
Dr. Gabriela Geißler
Wera Schmidt
Ing. Galina Hahn
Dr. Catharina Gerlach B.Eng.
Ing. Sina Johann MBA.
Hans-Dieter Scholl
Brit Lindner
Julius Liebelt
Salvatore Eberhardt-Ring
Mira Sontag
Wiltrud Jäkel
Irmtraut Noack
Ing. Wiltrud Sauer B.Sc.
Norbert Niemeier
Lorenzo Zänker
Klaus Lorch-Graf
Reingard Cichorius
Lorenz Schüler B.A.
Tassilo Beckmann
Andre Schinke
Birgid Schüler
Dr. Annelene Hamann
Antje Drub
Ursel Eckbauer
Kirsten Heydrich
Edeltraud Bärer
Herr Knud Pölitz B.A.
Stefanie Hertrampf MBA.
Jacob Süßebier
Rosa Christoph-Sontag
Kriemhild Junk MBA.
Kemal Butte-Tintzmann
Pedro Hande B.Sc.
Hilmar Ziegert
Veronica Benthin
Prof. Constance Austermühle B.Sc.
Birgitta Schleich
Ursula Jacobi Jäckel
Birte Gröttner MBA.
Dipl.-Ing. Detlef Schacht
Antonios Zimmer
Reinhard Zänker
Dr. Constance Römer
Hanno Löffler
Bernard Bien-Lübs
Univ.Prof. Reinhilde Cichorius B.A.
Falk Höfig
Leonardo Birnbaum
Friedemann Klingelhöfer
Jonas Beyer
Hasan Klemm
Prof. Rudolph Linke
Friedericke Lehmann B.Sc.
Dr. Miguel Jungfer
Hans-Christian Eimer
Dr. Leonhard Otto
Albert Hartmann-Lachmann
Univ.Prof. Dogan Mielcarek
Gotthilf Gehringer B.A.
Mattias Sorgatz-Haase
Karsten Kraushaar B.A.
Theo Henschel
Univ.Prof. Beate Eberth
Prof. Marian Gerlach
Liliana Zorbach MBA.
Ben Zahn
Prof. Pascale Kruschwitz
Zehra Putz
Margita Hartung-Zänker
Doris Kraushaar
Anto Kobelt-Kobelt
Beate Nette
Anneli Schleich-Ullmann
Thorsten Gude
Ing. Zbigniew Warmer MBA.
Dipl.-Ing. Hans-Günther Schuster
Hansjörg Müller B.Sc.
Vesna Bähr
Dr. Paulina Textor B.A.
Agathe Gertz-Butte
Eduard Kühnert
Brian Ditschlerin
Helga Salz
Sonja Barkholz
Univ.Prof. Gottlieb Steuer B.A.
Univ.Prof. Alexandre Schottin
Manuela Sauer
Kilian Austermühle B.A.
Herr Frieder Wulff B.Sc.
Karl-August Liebelt-Köhler
Janette Kallert
Ilonka Zimmer
Constantin Ziegert
Marie-Theres Pechel
Herr Rolf-Peter Renner MBA.
Regine Wende B.A.
Anna Lübs
German Speer
Vassilios Davids
Siegrid Misicher
Annie Langern
Madlen Geißler
Folkert Barth B.Sc.
Dr. Änne Radisch
Hans-J. Tröst MBA.
Uwe Rosenow
Univ.Prof. Belinda Henck
Zdravko Niemeier
Alois Römer-Becker
Clarissa Adler
Mark Röhricht
Dr. Abdullah Becker
Frau Julie Wieloch
Ing. Anneli Nerger
Herr Gerold Kreusel
Prof. Thekla Hahn
Dr. Mato Geisel
Almuth Pieper
Sami Linke B.A.
Dipl.-Ing. Hans-Ludwig Meyer
Almuth Rosenow-Schönland
Carina Bruder
Gerti Ullrich
Raphael Barth
Alois Werner
Univ.Prof. Anatoli Ritter
Prof. Magdalena Bohlander B.Sc.
Hansjoachim Salz-Junk
Freia Hofmann
Sigurd Holsten B.Sc.
Konstantin Knappe
Frau Trudi Wähner B.A.
Sebastian Stiffel B.A.
Friedo Meister-Klemm
Univ.Prof. Roman Misicher
Wulf Schuster
Hans-Bernd Rose
Raphael Höfig
Gunda Warmer
Friedrich-Karl Eberth
Jörg-Peter Dowerg
Michaele Schacht
Dipl.-Ing. Giuseppina Etzler B.Sc.
Nathalie Langern
Dipl.-Ing. Cynthia Hauffer B.A.
Prof. Pedro Schmidt B.Eng.
Dominik Huhn
Gotthard Christoph
Leila Hethur
Mareike Wilmsen
Marica Walter
Gertrude Kostolzin MBA.
Mirko Eckbauer
Saskia Roskoth B.Eng.
Telse Steuer B.Eng.
Heimo Bauer
Kevin Tlustek-Heinz
Resi Knappe
Kasimir Albers-Stiebitz
Balthasar Klemm
Adina Finke
Eveline Kruschwitz B.Sc.
Veronique Hartung-Haering
Ortrun Siering
