Student
Prof. Marian Gerlach
Dipl.-Ing. Roland Bien B.Sc.
Orhan Dörr-Salz
Dipl.-Ing. Ekrem Thanel
Nikolas Hethur MBA.
Nico Drewes
Steven Käster B.Sc.
Freia Buchholz
Elfi Roht
Ing. Serpil Rudolph MBA.
Gerhart Staude
Ing. Marlene Wirth B.Sc.
Inge Paffrath
Hans-Helmut Wesack
Helmtrud Neureuther
Calogero Wende
Flora Gotthard
Dr. Jurij Nohlmans B.A.
Sören Trommler
Edwin Förster-Albers
Dipl.-Ing. Lara Tlustek
Viviane Kensy
Dogan Rogge
Viola Sager
Valerie Losekann
Catrin Weller
Leokadia Finke-Dippel
Vitali Walter-Krein
Ing. Czeslaw Geisel
Prof. Alina Barth
Annelene Reuter B.A.
Ilja Kitzmann B.A.
Severin Barkholz B.Eng.
Damian Bauer
Trudi Keudel B.A.
Univ.Prof. Woldemar Walter
Miroslav Paffrath
Hans-Georg Dörschner
Annelene Möchlichen-Weiß
Gusti Wagenknecht
Prof. Claudia Mude
Herr Ronny Tröst B.Sc.
Bernhardine Wilmsen
Frau Renate Geisler
Kaspar Hänel
Urte Caspar
Ante Gunpf
Murat Linke
Robin Weinhage B.A.
Dana Löwer MBA.
Peer Bärer
Adalbert Boucsein
Dipl.-Ing. Walfried Rosemann B.Eng.
Kathi Hering
Marianna Etzler
Aribert Herrmann
Herr Gordon Meister
Edeltraud Mülichen
Oda Henschel
Augustin Hoffmann MBA.
Ing. Gerold Gotthard
Carolin Etzler
Prof. Romy Bohnbach
Frau Kunigunda Schaaf B.A.
Uli Wohlgemut-Stadelmann
Ariane Löchel
Egbert Jüttner
Dorota Mude
Constantin Kostolzin
Gertrud Ditschlerin
Elfi Bolander
Benno Mohaupt
Dipl.-Ing. Nathalie Radisch
Gülsen Junck
Leonardo Birnbaum
Univ.Prof. Dolores Rust
Hans D. Schenk
Prof. Ludger Kohl MBA.
Louise Jessel
Ottfried Scheibe-Sauer
Frau Monique Wesack B.Eng.
Zlatko Kraus
Dipl.-Ing. Baldur Oderwald B.Sc.
Siegfried Schuster
Ilija Höfig
Herr Arnulf Kohl
Sieghard Hahn
Ernest Tlustek
Jozef Kostolzin
Univ.Prof. Franca Ritter B.Eng.
Hans-J. Bolander
Prof. Ivonne Boucsein B.Eng.
Ing. Hedi Wulf
Irma Atzler-Herrmann
Bertha Gotthard
Luka Zorbach
Ben Zahn
Lisette Stoll B.Eng.
Uli Schönland-Trupp
Roy Gumprich-Klemm
Nathalie Lehmann
Giesela Börner B.Eng.
Univ.Prof. Monja Staude MBA.
Waltraud Trapp-Pechel
Halina Austermühle-Bender
Prof. Alina Ziegert
Dana Schäfer
Arno Mude
Gülten Henschel
Falk Wagenknecht B.Eng.
Norma Jungfer
Gerhardt Barkholz B.Eng.
Elly Hande
Heinz-Willi Holt
Ferdinand Junitz B.Eng.
Monique Ullmann MBA.
Hans-Dietrich Fliegner
Maren Bachmann-Stumpf
Lia Heydrich
Janusz Kruschwitz B.Eng.
Danuta Löwer
Klaus Dieter Weimer-Hein
Univ.Prof. Gottfried Süßebier
Gudrun Heß B.Sc.
Gaetano Fröhlich
Dorle Zirme
Henriette Ladeck
Univ.Prof. Lydia Langern
Gretel Hande
Berndt Bähr
Maurizio Mans-Ullmann
Lioba Söding
Valeria Finke
Prof. Theodoros Paffrath B.A.
Wolf-Rüdiger Börner
Ria Stroh
Sören Spieß
Wolf-Dieter Eigenwillig
Utz Staude
Alois Knappe
Dr. Frederike Hering B.Eng.
Isa Weihmann
Josefine Rosenow-Hertrampf
Valeria Bonbach
Birgid Drewes-Seifert
Dipl.-Ing. Serge Nerger
Dr. Gudula Scheuermann
Gerdi Neureuther-Mälzer
Ing. Gislinde Ernst B.A.
Miroslav Kohl
Hansgeorg Kruschwitz
Ing. Wolf-Rüdiger Dietz B.Sc.
Ing. Ben Lindau MBA.
Apollonia Heß B.A.
Hans-Martin Kambs
Jose Tlustek B.Sc.
Senta Renner
Ing. Bernfried Haering
Fadime Heidrich B.A.
Dr. Philip Siering B.A.
Univ.Prof. Mira Mende B.Eng.
Dr. Annett Siering
Carina Killer
Abbas Segebahn
Dipl.-Ing. Gerdi Wende
Beatrice Fechner
Fabienne Conradi B.Eng.
Walli Baum-Kohl
Gerard Förster
Ing. Alexandros Vogt MBA.
Magda Berger B.A.
Woldemar Bolzmann B.A.
Gertraud Tröst
Christina Schlosser
Caterina Weinhage
Brunhild Karge B.A.
Ulrich Segebahn
Ing. Margot Bonbach B.Eng.
Volker Süßebier-Staude
Ing. Dirk Paffrath
Rosalinde Losekann
Gerd Beckmann-Gnatz
Dorothea Finke
Karlfried Karge-Wieloch
Prof. Ada Wähner
Ing. Abraham Thanel B.Eng.
Melissa Stey
Marian Vollbrecht MBA.
Nurten Henschel-Stroh
Waldemar Ladeck
Peggy Rogge-Lachmann
Kai-Uwe Stiebitz-Hentschel
Thorsten Ruppersberger
Dr. Damian Scheel
Irmgard Hövel
Prof. Wolf-Dieter Killer B.Sc.
Cora Steuer-Junken
Marco Schinke B.Eng.
Franjo Löffler B.Eng.
Univ.Prof. Hedwig Krein
Anika Holsten
Irmtraud Ladeck
Gunhild Zimmer
Willy Hornig
Ing. Nuran Schaaf
Anatoli Caspar
Geert Etzold
Gretchen Eimer-Wilmsen
Dipl.-Ing. Hanns Nette
Denny Bohlander B.A.
Herr Gerolf Hermann B.Eng.
Univ.Prof. Gesa Loos
Herr Roderich Hauffer
Annie Noack
Birthe Schüler
Prof. Heinz-Joachim Losekann
Dörte Nette
Wolfgang Beier-Mohaupt
Antonina Wagner
Dipl.-Ing. Cynthia Hauffer B.A.
Burkhard Holt-Schleich
Jo Reising
Gino Hartung
Prof. Gertrude Renner B.A.
Piotr Ruppersberger
Radmila Schomber B.Eng.
Marcella Höfig
Aribert Putz
Univ.Prof. Undine Becker MBA.
Hans-Georg Schmidt
Lissi Rust-Metz
Brigitta Walter
Prof. Reza Ebert B.Eng.
Janko Schulz-Becker
Prof. Trude Schäfer MBA.
Univ.Prof. Norbert Röhrdanz B.Sc.
Olivia Thies B.A.
Ing. Christa-Maria Liebelt
Univ.Prof. Viktoria Seifert
Hermann Josef Schmiedecke
Dipl.-Ing. Virginia Käster
Ernst-Dieter Geisler B.Eng.
Sandy Dietz
Rahel Hartmann
Sylvester Hamann
Ing. Britt Trupp B.Eng.
Marco Kostolzin-Bruder
Samir Krein B.A.
Leopold Rörricht
Ingried Bähr
Natalja Löchel-Beckmann
Dina Schmiedt MBA.
Kreszentia Pölitz-Karge
Prof. Tadeusz Mosemann B.Sc.
Evelin Stumpf
Andrei Säuberlich
Emmy Trub MBA.
Ing. Rosina Kabus MBA.
Annelore Täsche
Wilhelmine Knappe
Fredi Meyer-Weiß
Franz Josef Herrmann
Liane Reuter
Frau Hildegart Etzler B.A.
Kordula Lange
Patrizia Spieß
Annelore Bolander
Gert Naser
Michail Pechel
Gregor Dippel
Sylvio Gutknecht
John Gunpf B.Sc.
Prof. Karl-Hermann Pieper B.Eng.
Friedericke Lange
Stilla Hornig B.A.
Dipl.-Ing. Petar Wohlgemut
Hanns Zänker B.A.
André Segebahn
Klaus-Werner Bohlander
Stanislav Reuter
Fatma Löffler B.Sc.
Berthold Naser
Antje Kambs
Gülay Haase
Prof. Diether Neureuther
Prof. Ullrich Rosenow B.A.
Rico Cichorius
Hans-Heinrich Schüler-Seip
Gebhard Seidel
James Nohlmans
Reinhart Winkler B.Eng.
Luciano Klotz
James Ebert
Theresia Henck
Univ.Prof. Blanka Linke B.Eng.
Herr Gordon Weihmann B.Eng.
Prof. Swen Benthin MBA.
Karl-Peter Hofmann B.A.
Tomas Tlustek
Dr. Aribert Sontag
Irma Neureuther
Georgine Segebahn
Marie-Luise Zorbach MBA.
Dr. Ella Warmer
Ruth Hartung
Viktor Kusch
Friedrich-Wilhelm Höfig-Johann
Cathleen Mies MBA.
Sophie Rädel
Loni van der Dussen B.Sc.
Änne Schweitzer-Putz
Svea Hartung B.Eng.
Ilse Krebs
Prof. Marko Rohleder B.A.
Ing. Eckehard Bloch MBA.
Carla Schacht
Univ.Prof. Arne Hoffmann
Frau Yvonne Trupp B.A.
Prof. Auguste Scholz
Imre Mülichen
Vladimir Wulf B.A.
Tomas Säuberlich B.A.
Iris Kraushaar B.Sc.
Marica Seidel B.Eng.
Victor Butte
Edda Stahr
Käthe Langern-Jacob
Ismail Steinberg
Steven Trub
Ing. Baldur Blümel MBA.
Ing. Klaus-Dieter Karge MBA.
Friedrich-Karl Eberth
Elfi Harloff
Elli Meister
Univ.Prof. Dragan Thies MBA.
Andre Metz B.A.
Roberto Ritter-Fritsch
Alexandra Henk MBA.
Fredi Lindner
Ole Losekann
Joana Zimmer B.A.
Herr Herbert Dowerg
Ing. Hans-Joachim Ullrich
Frau Eugenia Matthäi
René Matthäi
Philip Renner
Gero Gumprich B.Sc.
Micha Albers-Wilms
Monja Weiß
Univ.Prof. Anika Jockel MBA.
Emine Vollbrecht B.Eng.
Dipl.-Ing. Dajana Beer
Dragica Rosenow
Janos Kobelt-Henck
Cord Benthin
Prof. Theobald Mangold
Nicolas Möchlichen MBA.
Frau Conny Klemt
Dr. Emin Dietz B.Sc.
Annekatrin Wende
Hans-Adolf Mosemann B.A.
Irmhild Lorch
Margitta Hethur MBA.
Dr. Heiderose Kallert B.Eng.
Inna Ditschlerin
Bekir Fechner
Rosita Köster B.A.
Knut Jacob
Karl-Hermann Rädel-Müller
Univ.Prof. Linus Seifert
Otmar Misicher
Irmtrud Mohaupt-Etzler
Kristin Jacob
Madlen Steinberg
Lucie Gutknecht
Prof. Woldemar Beier B.A.
Anne-Kathrin Ortmann
Adelgunde Thanel
Hakan Kühnert
Canan Heinrich
Guiseppe Kranz
Gönül Steinberg
Lieschen Röhrdanz
Hans-Josef Butte-Dussen van
Norbert Eimer
Ilonka Zimmer
Univ.Prof. Eugen Karz
Karolina Hartmann
Dr. Gerti Scheel
Maik Oestrovsky B.Sc.
Wilhelm Tlustek
Prof. Sylvana Trapp
Dipl.-Ing. Zenta Hornig B.Sc.
Frau Jane Caspar
Arif Pergande-Wagenknecht
Roswita Atzler
Sylke Binner B.A.
Magdalena Gude
Frau Ilka Pärtzelt B.Eng.
Dipl.-Ing. Cristina Vogt
Julia Conradi-Mentzel
Dr. Saban Hoffmann B.Eng.
Wenke Patberg
Elwira Wirth
Margarete Linke
Dipl.-Ing. Rüdiger Otto B.A.
Ricarda Steuer
Herr Erich Rosenow
Univ.Prof. Ilja Hentschel MBA.
Kaspar Aumann
Siegrid Misicher
Helmtrud Gerlach
Ortrun Pohl B.Eng.
Olga Krein
Valeska Zimmer-Schleich
Mark Gute-Faust
Dr. Lilija Dowerg MBA.
Giuseppina Linke
Semra Fiebig
Univ.Prof. Suse Lachmann B.Sc.
Raimund Hande
Prof. Kata Häring
Annegrete Jäkel
Mariana Steckel
Vittorio Hertrampf
Solveig Scheibe
Dr. Almut Peukert MBA.
Mahmut Hänel
Lilly Beckmann B.Sc.
Micha Eckbauer B.Sc.
Sylvester Zirme
Bodo Ullrich
Uli Oderwald-Freudenberger
Rebekka Lindau MBA.
Cecilia Killer
Tomislav Jopich-van der Dussen
Ing. Vesna Kroker B.Eng.
Prof. Ahmad Rörricht
Johannes Schuchhardt-Junitz
Sigmund Hentschel MBA.
Edit Rädel
Jann Cichorius
Juliana Weinhage
Guenter Kohl-Nette
Magdalene Fröhlich
Jeannine Lehmann
Damian Dörr
Magarete Klingelhöfer-Mans
Orhan Wieloch
Liesa Sauer
Rene Berger-Jäkel
Siegrun Ring
Frau Beatrix Bonbach B.A.
Univ.Prof. Catharina Neureuther B.Sc.
Catrin Bachmann
Ivana Mans-Bruder
Joachim Kramer
Ing. Kay-Uwe Flantz
Meinrad Barkholz B.Eng.
Annette Schwital
Branka Hering
Prof. Mechtild Steuer
Burkhardt Jäntsch B.A.
René Kruschwitz
Christel Bärer-Zirme
Harro Vogt-Gieß
Raissa Gehringer-Putz
Gudrun Geisler
Ing. Nikolai Niemeier B.A.
Stephan Haase MBA.
Thomas Drub
Elmar Förster
Irmengard Sauer
Danuta Lachmann-Dussen van
Dr. Editha Rohleder
Margitta Wulf-Nerger
Leif Wulff
Univ.Prof. Gunter Kaul
Alida Tröst
Ludger Stiffel
Heide Hesse-Bärer
Karsten Kraushaar B.A.
Marianne Hecker
Beate Johann
Ingried Hänel
Elena Wilmsen
Erhardt Loos
Danilo Hartmann
Danny Mälzer
Gerhart Davids B.A.
Dipl.-Ing. Nikolaus Conradi MBA.
Dr. Lilija Butte B.A.
Albert Seifert MBA.
Ing. Georgia Rogner
Herr Muzaffer Klotz B.Sc.
John Bauer
Pius Gierschner-Weitzel
Frau Kirsten Geißler
Hanspeter Benthin
Elfie Jäkel
Louis Kostolzin
Sofie Fiebig-Hermighausen
Univ.Prof. Pia Schlosser MBA.
Gunda Knappe
Adele Weimer B.Eng.
Josef Berger
Evi Heuser
Heribert Ring B.A.
Oscar Reinhardt B.A.
Eleonore Kuhl-Koch
Prof. Klaus-Ulrich Boucsein MBA.
Dominic Möchlichen
Hanne Junk
Manuel Schenk
Aloys Ruppert
Heide-Marie Koch II
Heinz Krebs B.Eng.
Tim Sorgatz
Ing. Zoltan Dobes B.A.
Hans-Uwe Noack-Fröhlich
Bodo Martin
Rainer Scheel B.Eng.
Marzena Neuschäfer
Univ.Prof. Janos Rörricht MBA.
Liesa Wilms B.A.
Inna Winkler
Erhardt Steinberg
Ing. Ronny Metz B.A.
Fatima Eckbauer-Rosemann
Mareile Löwer
Frau Inken Zimmer B.Eng.
Christiana Pohl
Elif Röhricht
Sybilla Herrmann-Pärtzelt
Dr. Angelica Trüb
Oxana Lübs
Wally Fliegner
Peter Rohleder
Ulrike Albers
Ramon Salz
Veronique Löwer
Jolanta Nohlmans-Tschentscher
Josip Kuhl
Erik Trupp MBA.
Ron Sorgatz-Eimer
Karl-Heinrich Karz
Metin Peukert-Lindner
Karlheinz Stahr
Kristin Bohlander B.Eng.
Gerd Wiek MBA.
Ing. Utz Klemt B.A.
Moritz Schönland
Swantje Heinz
Gino Ernst
Nadja Ladeck B.Sc.
Franca Mentzel
Herr Sylvester Jopich B.Eng.
Hans-Bernd Trubin-Klemt
Dr. Gundolf Römer MBA.
Prof. Jonas Scholtz
Guenter Wende
Univ.Prof. Theresia Lange MBA.
Tina Henschel
Univ.Prof. Antonina Becker
Antonino Rogge-Meyer
Evangelos Ring-Schmiedecke
Karl-Heinrich Sölzer
Ing. Jonas Schaaf
Ing. Justina Fiebig
Geraldine Wagner
Wolf Martin
Diethard Gude
Sevim Junitz
Konstanze Mohaupt
Frank-Peter Ullmann
Mercedes Sauer
Daria Liebelt
Judith Gerlach
Anka Gieß
Burghard Davids
Valeria Mende
Mariechen Nohlmans
Centa Krebs-Stadelmann
Dr. Denise Girschner B.Sc.
Harold Bähr B.A.
Laila Trüb
Ewa Bolnbach-Textor
Eberhardt Gute
Mariusz Baum
German Speer
Jessica Schottin
Marzena Jüttner-Jockel
Prof. Sergei Heser
Irina Hahn
Sieghard Stoll-Harloff
Dr. Lidija Metz
Hans Jürgen Grein Groth-Rudolph
Annemarie Häring
Patric Heinrich
Janet Kade
Rosa-Maria Seifert
Sybilla Hornig
Gregor Jungfer
Reinhart Becker
Wilfried Radisch
Gesa Keudel-Bauer
Christos Gumprich
Frau Anja Haering
Prof. Almuth Dippel
Janin Haase
Sigurd Höfig B.Sc.
Ioannis Klemt
Clarissa Wieloch
Gina Schmidtke
Malte Kallert-Möchlichen
Dr. Sükrü Hettner
Gilbert Steuer-Rosemann
Dr. Bernfried Bärer
Minna Wernecke-Gumprich
Prof. Freya Biggen B.Eng.
Gisbert Christoph
Isa Kramer-Matthäi
Dorle Schmidtke MBA.
Wiebke Caspar B.A.
Sabine Gude
Ing. Gerti Franke
Dr. Ellen Schlosser B.A.
Kerstin Heidrich B.A.
Bernadette Sorgatz
Frau Eleni Ziegert B.Sc.
Irmengard Jüttner B.Eng.
Bruno Siering MBA.
Frau Anne-Kathrin Wagner
Norman Ditschlerin MBA.
José Gröttner B.Sc.
Agathe Söding
Dipl.-Ing. Marc Stroh
Heimo Huhn B.A.
Marie-Luise Rogner
Herr Dimitri Mohaupt B.A.
Ing. Zlatko Gerlach
Steven Eimer
Prof. Aziz Stumpf
Eugenie Pieper
Filippo Hermann
Lorenzo Zänker
Ismail Junck-Trommler
Marek Adler
Karla Conradi
Ing. Torsten Hartung B.Eng.
Kenneth Kramer
Prof. Rabea Hettner B.Eng.
Camilla Gunpf
Mariusz Adler
Bettina Klapp
Harro Gunpf
Insa Peukert
Herr Klaus Peter Krause B.A.
Felix Hölzenbecher B.A.
Jeannine Gieß
Conrad Lindau
Annita Lorch
Ditmar Dehmel
Hans-Willi Ladeck
Univ.Prof. Katharina Werner MBA.
Antonie Heser B.Sc.
Helma Schaaf B.A.
Vincenzo Zirme
Zeljko Kobelt B.Eng.
Marcella Franke B.A.
Harold Bohlander B.Sc.
Frau Anka Hering
Irmela Krein-Bolzmann
Dipl.-Ing. Reimer Werner MBA.
Frau Annette Fiebig B.Eng.
Wanda Stoll B.A.
Univ.Prof. Siegrun Klingelhöfer MBA.
Niko Bähr B.Sc.
Gernot Dörr
Univ.Prof. Karl-Otto Dowerg MBA.
Dipl.-Ing. Lilly Boucsein B.Sc.
Eberhard Pechel
Ignatz Franke
Murat Meister
Ing. Giorgio Warmer B.Eng.
Hertha Gieß
Tanja Henk
Maria Döring B.Sc.
Gönül Barth-Zobel
Eitel Hethur
Saskia Wagenknecht
Mohammad Finke
Felix Freudenberger
Jasmina Zorbach
Lieschen Röhricht MBA.
Ayse Scheuermann-Sölzer
Dipl.-Ing. Werner Scholl B.Eng.
Kata Atzler
Jörgen Lorch
Kaspar Römer
Marianna Hofmann
Kornelius Heintze-Baum
Elwira Hellwig
Dr. Iris auch Schlauchin
Ing. Karl-Dieter Stroh
Krista Gertz B.Eng.
Eveline Putz
Janus Ring
Denny Salz
Hans-Helmut Eimer MBA.
Dr. Amir Jäkel
Prof. Monique Budig B.Eng.
Raymond Römer
Juliane Mentzel-Ziegert
Marliese Drubin
Veronika Kruschwitz B.A.
Ivonne Lachmann
Tibor Briemer
Tina van der Dussen
Ing. Amalia Walter
Damian Holsten
Simon Hahn
Curt Mühle
Yusuf Steinberg B.A.
Nikolai Rädel-Klemt
Caroline Harloff
Tatiana Kade-Rust
Bertram Eigenwillig
Ilija Rosenow
Frau Else Röhrdanz B.Sc.
Dr. Ralf Hölzenbecher
Ines Anders
Karl-Otto Winkler B.Eng.
Franz-Peter Preiß B.A.
Erica Renner-Trapp
Geert Rudolph
Georgios Knappe-Mälzer
Valentin Steuer-Mans
Herlinde Birnbaum
Uschi Keudel
Enrico Oderwald
Dr. Jens-Uwe Ruppert
Margareta Losekann
Friedrich-Wilhelm Holsten
Carmelo Stiebitz
Johanna Bohlander
Prof. Norbert Wilms B.A.
Franz Ortmann B.Eng.
Sigrid Schleich
Prof. Uschi Fliegner B.A.
Univ.Prof. Traudel Wernecke B.A.
Frieda Gröttner
Joachim Löffler-Riehl
Dr. Mohamed Kroker B.Eng.
Annemie Kade-Kuhl
Falko Schüler
Hans-Rudolf Fröhlich
Dr. Samuel Dobes B.Sc.
Dipl.-Ing. Bernward Putz B.Eng.
Ljiljana Löwer B.A.
Jessica Gotthard
Prof. Henriette Killer
Meryem Sager
Evangelia Meyer-Mielcarek
Dorle Rädel
Dr. Peggy Beyer B.Sc.
Dipl.-Ing. Theobald Knappe B.Eng.
Dr. Jan-Peter Döhn B.A.
Teresa Jessel
Hedi Bärer
Irmgard Liebelt
Herr Roman Schwital MBA.
Burghard Albers-Berger
Gerold Jacob
Rosina Klotz B.A.
Ewa Eimer-Linke
Univ.Prof. Albertine Köhler MBA.
Alwina Koch
Danuta Kensy
Gabi Harloff
Meike Rosenow
Ljudmila Krebs
Laura Wilms
Carolina Ditschlerin
Kay-Uwe Ziegert
Philipp Killer B.A.
Frida Stolze
Susanna Beyer B.Eng.
Ingried Ullrich
Univ.Prof. Antoinette Wende B.A.
Theresia Liebelt
Micha Röhricht B.A.
Ing. Heinz-Josef Hoffmann
Hildegart Scheel B.A.
Vincent Kranz B.A.
Xenia Hermann
Nadja Hethur
Arno Ullmann
Ilka Lachmann
Erdmute Mosemann
Dr. Frederik Dobes MBA.
Alwine Wulf
Gertraut Koch II
Heiner Rörricht
Annette Ullmann
Philipp Walter-Löffler
Annett Anders MBA.
Univ.Prof. Gottlieb Steuer B.A.
Univ.Prof. Damian Sorgatz B.Eng.
Emanuel Holsten
Krzysztof Kruschwitz
Prof. Josefa Beier B.Sc.
Dr. Caroline Ortmann
Paolo Weller-Heinrich
Irmtraud Freudenberger
George Hörle
Thorsten Kensy B.Eng.
Eleonora Gehringer
Lydia Jopich
Renate Austermühle B.Eng.
Anika Tschentscher
Sönke Gumprich
Sibel Hörle
Prof. Eckhart Jockel B.Eng.
Dr. Irmtraut Gnatz B.Eng.
Marleen Austermühle-Tintzmann
Frau Margitta Staude
Brunhilde Koch II
Mario Bärer
Christoph Löchel B.Sc.
Karl Zirme
Dipl.-Ing. Eberhardt Fechner
Justine Lindner
Reinhardt Pärtzelt
Maria-Luise Schaaf
Hans Misicher
Ibrahim Ditschlerin
Liane Gröttner
Prof. Henryk Kitzmann
Urszula Killer B.A.
Ansgar Seidel
Margita Schleich-Becker
Aleksandra Stey MBA.
Delia Rust
Wulf Schuster
Andree Budig B.Eng.
Viola Ackermann
Gundi Hiller
Susi Schuchhardt
Zofia Schönland B.Sc.
Ehrhard Bohnbach B.Eng.
Egbert Heintze
Janin Höfig B.A.
Nikolaus Rosenow
Mato Patberg-Heintze
Milan Holzapfel
Frank-Michael Sontag
Dogan Sauer
Goran Benthin
Ditmar Bien
Francoise Dippel B.Eng.
Larissa Löffler
Victoria Klingelhöfer
Gert Kensy B.A.
Prof. Folker Budig
Alicja Stiffel
Gerta Hartmann
Burkard Schlosser
Felicia Hamann
Amanda Stadelmann-Mende
Hardy Wende B.Sc.
Ramona Römer
