Student
Magarete Klingelhöfer-Mans
Irmingard Reising
Inna Schulz
Heinz-Joachim Jähn
Xenia Christoph
Ernst-August Gutknecht
Prof. Hans-H. Zimmer
Thies Rose
Necati Lindner
Friedericke Lange
Regine Häring
Ante Gunpf
Henning Fechner
Mina Segebahn B.A.
Dr. Achim Barth
Hans Kraus
Prof. Marko Rohleder B.A.
Ernst Koch II-Graf
Aribert Putz
Nadia Steckel
Ing. Gabriella Bähr
Gotthard Löwer
Gudrun Heß B.Sc.
Robin Sölzer
Dr. Natascha Schmidtke B.Eng.
Frau Siegried Margraf B.Sc.
Nick Jockel B.A.
Dipl.-Ing. Rouven Kallert MBA.
Pavel Pärtzelt B.Sc.
Isa Weihmann
Frida Süßebier
Laszlo Nerger MBA.
Prof. Maria-Luise Drub B.Sc.
Sigrid Schleich
Zehra Putz
Carl Jockel
Andy Jockel B.Eng.
Heinrich Döring
Guenther Metz
Klaus-Günter Kreusel
Joachim Höfig
Tilman Killer B.A.
Annaliese Lübs
Abram Peukert MBA.
Muharrem Rosemann-Heidrich
Rosa Kobelt
Jonas Budig
Prof. Gunther Klingelhöfer
Melitta Steinberg
Siegrid Schmiedt
Sylvester Neuschäfer-Schacht
Hildegart Weitzel
Ignaz Löwer
Agatha Kostolzin
Krzysztof Niemeier-Kostolzin
Herr Baptist Klotz
Leon Aumann
Jeannette Heuser
Jacek Klemt
Univ.Prof. Dana Seifert
William Zirme
Alois Knappe
Florian Weimer
Ing. Tina Schmiedt B.A.
Marcella Holzapfel
Nick Hermighausen-Krein
Ing. Tilman Kitzmann
Georgine Schäfer
Erik Trupp MBA.
Antonietta Hübel
Thilo Berger
Kunibert Hahn-Lindau
Otmar Schmidtke
Ing. Carmine Kroker
Robby Weller
Alfred Tröst-Stahr
Sandro Schmiedt
Prof. Johannes Holzapfel MBA.
Prof. Nikolai Gunpf
Hannchen Drewes B.Sc.
Rico Cichorius
Rosi Spieß
Ing. Gregor Lindau
Toni Scholl-Scholl
Theodora Wilmsen
Calogero Hoffmann B.Eng.
Hansgeorg Hettner
Henni Wagenknecht B.Sc.
Univ.Prof. Dorle Röhrdanz B.A.
Prof. Hansjürgen Langern
Kornelius Heintze-Baum
Vito Roht
Hans-Uwe Noack-Fröhlich
Dr. Laila Peukert
Kläre Mohaupt-Salz
Ida Buchholz B.Eng.
Gerwin Schuster
Cord Benthin
Clarissa Wieloch
Beatrix Gehringer
Wally Krein-Bien
Grete Rudolph
Univ.Prof. Michail Tintzmann B.Eng.
Univ.Prof. Paul-Gerhard Lübs MBA.
Reinhold Hellwig-Mülichen
Giuseppe Trupp
Ing. Dierk Striebitz
Zita Klemt
Dr. Anny Kallert
Vincenzo Haering
Ottilie Gute
Josephine Schweitzer
Caroline Haering MBA.
Tomislav Jopich-van der Dussen
Pavel Ehlert
Dipl.-Ing. Edda Barth MBA.
Dr. Ruth Dobes
Hildegunde Dörr
Herr Rigo Krebs B.Eng.
Jörgen Paffrath B.Sc.
Annelore Täsche
Hans-Herbert Flantz
Thea Nette
Univ.Prof. Fatima Hiller B.A.
Sybilla Herrmann-Pärtzelt
Alois Werner
Rosa-Maria Knappe
Dr. Tim Hornig B.Sc.
Maximilian Heß
Justina Neureuther
Wilfriede Blümel
Konstanze Mühle
Ansgar Tlustek MBA.
Raymund Thanel
Ingried Bähr
Kemal Butte-Tintzmann
Univ.Prof. Jaqueline Dehmel
Helmar Klapp
Brit Anders
Monique Stroh
Ottokar Döhn
Ekaterina Liebelt
Univ.Prof. Johan Lange
Frau Else Röhrdanz B.Sc.
Bruno Wagenknecht
Dipl.-Ing. Jozef Hartmann
Jaroslav Benthin
Svetlana Boucsein
Ing. Nikolai Niemeier B.A.
Gislinde Müller
Adelgunde Thanel
Carin Atzler
Frau Kordula Geisler MBA.
Isidor Täsche
Gönül Steinberg
Christiana Bauer
Polina Ladeck B.A.
Hermann Josef Weihmann
Ing. Wilhelmine Adler B.Sc.
Dittmar Graf
Franka Weinhold
Ludmila Dobes B.A.
Herr Herbert Dowerg
Dipl.-Ing. Laurenz Gerlach MBA.
Gottfried Hettner-Reising
Reimer Kitzmann
Frau Svenja Hövel B.Sc.
Prof. Sandy Butte
Heinz Dieter Barkholz
Flora Etzold
Kathleen Hahn B.A.
Aenne Sölzer B.A.
Klothilde Zänker
Herr Oliver Stahr
Frau Valentine Benthin
Ing. Wencke Speer
Frau Natalija Stey
Nicolaus Jessel
Univ.Prof. Kreszenz Wulf B.A.
Kordula Drub B.Sc.
Heinrich Putz B.Sc.
Edit Siering
Univ.Prof. Anne-Kathrin Gerlach B.Sc.
Univ.Prof. Claudio Schmiedt
Frau Heidelore Gehringer
Karl-Georg Römer B.A.
Elias Langern
Ing. Jens-Peter Tschentscher
Monja Riehl
Marianne Heser
Dr. Edit Scheibe B.A.
Ingried Ullmann
Univ.Prof. Rotraut Juncken B.A.
Cemil Schweitzer
Britta Nerger B.Eng.
Leo Gunpf-Bolzmann
Lydia Jopich
Tony Wende
Herr Ignatz Boucsein MBA.
Ilja Krause
Zoltan Preiß B.Eng.
Pedro Bärer
Magdalena Löwer B.Eng.
Frithjof Mielcarek MBA.
Prof. Arnold Caspar B.A.
Artur Kreusel
Benno Mohaupt
Sylvester Zirme
Detlef Köster
Marian Vollbrecht MBA.
Prof. Katalin Heinrich
Gerta Klemt
Miroslaw Holt
Ing. Friedhold Hartung B.Sc.
Bastian Röhrdanz
Klaus-Peter Schüler-Schaaf
Univ.Prof. Ladislaus Hande
Dominik Huhn
Lambert Misicher-Dörschner
Kata Atzler
Meral Reinhardt
Leokadia Herrmann
Hansjürgen Faust
Leonardo Rogge
Steven Eimer
Krista Bohnbach
Cindy Tschentscher
Univ.Prof. Catharina Neureuther B.Sc.
Thaddäus Geißler
Prof. Rosa Kruschwitz B.Sc.
Ing. Baldur Blümel MBA.
Ing. Anton Gotthard MBA.
Lili Weimer
Reimar Rädel
Phillip Hermann
Gesche Kühnert
Univ.Prof. Aloisia Fröhlich B.A.
Dagmar Schäfer
Harm Sontag-Wilms
Recep Weihmann
Bruno Henschel
Juan Noack
Herr Frank Bolnbach
Christl Wähner
Andrei Bolander-Jäkel
Georgia Ruppersberger
Renata Holt-Heintze
Marcella Höfig
Gerhart Schenk MBA.
Elise Hentschel
Jessika Thies
Adelinde Gumprich MBA.
Roy Schmidt B.Eng.
Elli Täsche B.Eng.
Herr Thomas Baum
Dorina Dowerg
Univ.Prof. Norbert Röhrdanz B.Sc.
Herr Dursun Hentschel B.Eng.
Janus Ring
Dr. Bernfried Schomber
Dr. Miguel Jungfer
Leonardo Klingelhöfer B.Sc.
Aleksandra Stey MBA.
Isa Rose
Cecilia Gertz
Reinhilde Hesse B.Sc.
Frau Therese Henk B.A.
Dr. Gero Röhricht B.Eng.
Xaver Schönland
H.-Dieter Gerlach
Ditmar Niemeier
Adam Krein-Karge
Stephan Haase MBA.
Kirsten Heydrich
Kornelia Bachmann
Adalbert Schmidtke
Bernhard Becker
Wulf Eberhardt
Liesel Klapp
Klaus Dieter Stoll-Wilms
Dr. Gabriel Freudenberger MBA.
Otmar Gierschner
Ing. Gerlinde Junken
Jurij Bärer
Miguel Gehringer-Reising
Hans Dieter Kallert
Tilman Eberhardt
Ann-Kathrin Mühle
Urs Ebert
Manuel Krause MBA.
Mirjana Drub
Prof. Eckhart Jockel B.Eng.
Ing. Anika Jüttner
Dipl.-Ing. Iris Stumpf MBA.
Andrej Geißler-Beckmann
René Kruschwitz
Anna Lübs
Prof. Gabriella Holt B.Eng.
Herr Gordon Heintze B.Eng.
Diether Blümel
Leonore Schacht
Dierk Beier
Kazim Junken
Annika Pieper B.A.
Christiane Mentzel
Georgia Liebelt
Evangelia Harloff B.A.
Paul-Gerhard Gunpf
Fatma Hesse
Dr. Jurij Nohlmans B.A.
Bruni Freudenberger
Dr. Lidija Weihmann
Dr. Cäcilia Henk B.Eng.
Univ.Prof. Hiltrud Löwer
Jonas Albers
Clemens Kabus
Reni Römer
Frau Mirjana Baum B.Sc.
Univ.Prof. Jann Schleich
Brigitta Walter
Evi Oestrovsky
Aleksandra Benthin
Marie-Theres Trupp
Dorit Zimmer-Krein
Reimund Eimer
Frau Rosemarie Stiffel
Gilda Tintzmann
Jolanda Rose
Johan Heydrich
Bayram Meister
Herta Weitzel
Richard Mende-Hendriks
Prof. Mahmut Barth B.A.
Kreszentia Pölitz-Karge
Kai-Uwe Bohnbach
Burkard Schlosser
Rainer Hänel
Hannelore Rädel-Keudel
Frau Linda Weiß B.Eng.
Frederike Dippel
Bernhardine Wilmsen
Burkhard Schweitzer
Evangelia Gierschner
Ryszard Lehmann
Ing. Giuseppe van der Dussen B.A.
Ing. Igor Barth
Hanns Ehlert MBA.
Frau Julia Fliegner
Herr Darius Heuser
Guido Wagenknecht-Kallert
Lara Stroh
Norbert Niemeier
Nils Hering-Loos
Franz-Xaver Scholtz
Rosa-Maria Losekann-Schulz
Günter Löwer
Helma Zorbach
Udo Grein Groth
Gaetano Fröhlich
Anneke Jähn
Prof. Johan van der Dussen
Sergei Ritter
Ron Sorgatz-Eimer
Maria Bruder
Prof. Henryk Kitzmann
Dr. Gaby Sontag MBA.
Gabriele Schmidt
Maren Anders
Dr. Ehrhard Gieß B.Sc.
Karl-Heinrich Schüler
Heinz-Günter Fischer
Geert Schuchhardt
Dora Jockel
Dr. Krista Jäkel B.A.
Dragica Kreusel
Domenico Nohlmans-Eberhardt
Victor Fritsch B.Eng.
Agathe Jäntsch-Käster
Dr. Mariusz Beckmann
Rene Wernecke
Linus Drub
Bayram Cichorius-Zobel
Cäcilie Roht-Misicher
Andy Mangold
Josefa Lange
Augusta Rosemann
Herr Filippo Rosemann B.A.
Dr. Hans-Peter Adolph MBA.
Dr. Ella Warmer
Frau Delia Hellwig B.Sc.
Manuel Hering-Jäntsch
Univ.Prof. Regina Salz B.Eng.
Univ.Prof. Milka Bähr
Daniela Löwer
Korbinian Werner
Friederike Sölzer-Hentschel
Dajana Trapp-Kreusel
Maria-Theresia Heinz B.A.
Elfi Harloff
Carlo Pohl
Christiane Wirth B.Eng.
Magdalene Mude
Dipl.-Ing. Utz Adler B.A.
Herr Gerolf Hermann B.Eng.
Lilija Kensy
Ing. Romuald Kreusel B.A.
Irina Täsche
Anastasios Karge
Dr. Marie-Louise Wohlgemut B.Sc.
Dr. Gabriela Geißler
Ellen Vogt
Ansgar Möchlichen-Höfig
Christoph Löchel B.Sc.
Reinhard Eigenwillig
Hans-Willi Benthin
Dipl.-Ing. Chantal Vollbrecht B.Eng.
Ing. Valerij Segebahn B.Eng.
Prof. Vadim Rogner
Herr Gotthard Wilms
Jost Gröttner-Mülichen
Thomas Hentschel
Ing. August Hellwig B.Eng.
Hugo Ruppert-Kade
Annamaria Baum MBA.
Guenter Lachmann
Hulda Junk
Leonard Kostolzin
Horst-Dieter Bähr
Ing. Henrike Kramer
Univ.Prof. Czeslaw Heuser
Sofia Hethur
Dolores Conradi
Chantal Fröhlich
Dan Schönland MBA.
Anika Trüb
Gerd Becker
Karlfried Rörricht
Filippo Kostolzin
Emin van der Dussen
Prof. Mirko Adolph B.A.
Kornelius Fröhlich B.Sc.
Margot Sontag MBA.
Tino Kensy
Milica Huhn
Antonia Köster B.A.
Jakob Pohl
Karl-Peter Häring-Kruschwitz
Lissi Thanel MBA.
Milka Scholl
Univ.Prof. Ahmet Birnbaum MBA.
Mehdi Neureuther
Margita Hartung-Zänker
Marko Renner
Anka Förster
Jann Cichorius
Maritta Boucsein
Bernward Fröhlich
Frau Lilli Möchlichen MBA.
Lene Hermann-Kaul
Isa Knappe-Biggen
Aleksander Klapp-Sauer
Jörg-Peter Jüttner-Winkler
Dr. Leonhard Otto
Anatolij Keudel
Siegrid Bachmann-Schaaf
Dr. Frithjof Weinhage MBA.
Univ.Prof. Milan Hande
Hannah Stiffel-Börner
Sevim Junitz
Aloys Barkholz
Gerwin Rust MBA.
Evangelia Misicher
Liesa Neureuther
Gottlob Seip
Hans Kostolzin-Ditschlerin
Olaf Hethur
Juliana Möchlichen
Horst-Dieter Gude
Gertrude Bärer
Elfi Bolander
Ilja Preiß
Karl-Wilhelm Meyer
Ing. Vesna Kroker B.Eng.
Dorit Ebert
Herr Eberhardt Gierschner
Horst Reising
Gaby Bähr
Falk Sorgatz-Ortmann
Vitus Schmidt
Paola Margraf
Anton Müller
Dana Ebert B.A.
Dr. Baldur Johann B.Eng.
Dipl.-Ing. Lidija Pölitz
Annelene Zänker
Nicolas Tschentscher
Stella Mülichen
Timm Schleich
Emilie Schmidt-Gröttner
Margaretha Heintze-Henk
Maurizio Hartmann
Volkmar Mosemann
Frieder Austermühle
Anne-Katrin Lorch
Lars Ullrich
Hermann-Josef Loos
Ilka Heß
Prof. Annita Wulff
Ben Schomber
Doris Kraushaar
Tülay Trapp
Univ.Prof. Markus Schottin
Anika Biggen MBA.
Leonhard Adolph
Jeannine Heinz-Tlustek
Nermin Martin
Univ.Prof. Etta Bohnbach
Ing. Eckart Becker B.Sc.
Silke Heydrich-Albers
Edda Junck-Eimer
Dr. Hildegund Söding B.A.
Wiltrud Wilmsen-Graf
Univ.Prof. Belinda Henck
Elfie Otto
Jaroslaw Eckbauer
Dipl.-Ing. Dragica Neureuther
Ralph Hellwig-Lachmann
Michail Pechel
Gerda Eberhardt B.Sc.
Dr. Trude Ziegert B.A.
Alfonso Grein Groth-Henck
Irmi Zobel
Ditmar Adolph
Magdalena Sauer
Frau Julie Gunpf
Prof. Carina Eimer
Dr. Karla Christoph
Calogero Wagner
Alfred Weinhage-Stiffel
Dr. Angelica Trüb
Mareen Mies B.Eng.
Dipl.-Ing. Eckhard Kallert B.Sc.
Gudula Holzapfel
Linda Kruschwitz
Senta Hiller
Gudrun Geisler
Prof. Jörgen Gieß B.Eng.
Frau Hilda Schweitzer B.Eng.
Augustin Lachmann
Adeline Hahn
Annemarie Wieloch
Kunigunda Zimmer
Jörg Pechel
Gertrud Ditschlerin
Augustin Ernst
Heinz-Joachim Spieß
Giuseppe Stahr
Hans-Martin Kambs
Inken Juncken
Evangelia Röhricht
Marie-Luise Ring
Filippo Juncken
Sofia Heinrich
Dipl.-Ing. Hildegunde Bachmann
Eckehard Steckel
Inga Ruppersberger
Raissa Gehringer-Putz
Annie Harloff B.A.
Paolo Hentschel-Zobel
Marica Seidel B.Eng.
Knud Zimmer
Ing. Eugenie Kreusel MBA.
Prof. Cäcilia Gertz B.Eng.
Karl-August Döhn B.A.
Harold Bähr B.A.
Ludmila Patberg
Klaus-Dieter Hecker
Leonie Möchlichen MBA.
Vesna Bähr
Elli Kuhl B.Eng.
Claus Juncken
Engelbert Sauer MBA.
Heinz-Werner Buchholz
Prof. Amir Reising MBA.
Frau Friederike Albers
Sigurd Süßebier
Mia Paffrath-Ortmann
Henryk Henk
Karl-Peter Grein Groth B.Eng.
Osman Schäfer
Frau Herlinde Kade B.A.
Eileen Geißler
Ing. Hans-Heinrich Reichmann B.Sc.
Sibylle Stey
Dipl.-Ing. Herta Fliegner MBA.
Wilma Matthäi
Dipl.-Ing. Ryszard Buchholz
Univ.Prof. Ilka Jäntsch B.A.
Adam Hölzenbecher-Hettner
Lara Oderwald
Karl-Ernst Reuter
Cord Mende B.Eng.
Franziska Jüttner
Ing. Romy Gieß
Andrew Schlosser
Rosita Wiek
Peter Sontag
Univ.Prof. Helmut Junitz B.Eng.
Dr. Francisco Hänel
Rene Berger-Jäkel
Tadeusz Kruschwitz B.Sc.
Dorle Dörschner
Rosalinde Trommler
Vadim Rose-Wulf
Annita Jähn
Irmtrud Schaaf-Jacobi Jäckel
Univ.Prof. Oscar Lindau MBA.
Dogan Kranz
Hulda Neuschäfer B.A.
Eugenia Stey
Maurizio Eckbauer
Marie-Luise Staude-Käster
Raymond Drub B.Sc.
Thorben Kitzmann
Prof. Jolanthe Gude
Prof. Tobias Börner
Käthi Faust-Gorlitz
Ljudmila Krebs
Theresa Hethur-Kabus
Dr. Ante Jüttner B.A.
Linus Mans-Röhrdanz
Sergio Kraushaar-Anders
Stephanie Krause
Mariola Heinrich
Elmar Förster
Frau Trudi Wähner B.A.
Bertha Heser MBA.
Cord Haase
Margareta Trub
Gero Gierschner
Heribert Römer-Lindau
Dr. Marian Rust
Prof. Alina Ziegert
Thoralf Eimer
Heide Hesse-Bärer
Änne Boucsein B.Sc.
Elisa Steinberg
Ing. Leopold Beier B.Sc.
Jörg Speer
Prof. Linda Beier
Alida Trupp
Guiseppe Rust
Miroslaw Hentschel-Stoll
Woldemar Heinz
Ing. Claire Hübel
Eugenia Sorgatz
Jadwiga Karge
Ildiko Mitschke B.Sc.
Polina Kostolzin
Mark Schottin B.Eng.
Serge Grein Groth
Frederik Bohlander
Irina Hahn
Hans-Otto Trubin B.Eng.
Sami Stolze-Döhn
Carin Binner
Herr Süleyman Karge MBA.
Angela Weimer
Univ.Prof. Friederike Bender B.Eng.
Aleksandr Schuster B.A.
Rosmarie Ullmann
Tobias Liebelt
Ehrhard Pruschke
Herr Julian Gotthard B.Eng.
Slavica Vollbrecht
Martine Zobel
Reinald Zahn
Prof. Knud Salz
Benita Ullmann
Wulf Fiebig B.A.
Louis Geisel
Resi Knappe
Prof. Falko Trapp B.Eng.
Siegbert Kranz
Lydia Wirth
Georg Nerger
Johann Oestrovsky
Eberhardt Warmer
Leon Linke
Nelly Schlosser
Pierre Ortmann
Ottilie Hartung
Ing. Magda Jäntsch
Heino Römer
Univ.Prof. Sonja Hande MBA.
Faruk Hoffmann
Loni Trubin
Selma Fritsch B.Eng.
Prof. Ruthild Nette B.A.
Stanislav Reuter
Timm Oderwald
Linus Lübs
Prof. Antonia Mielcarek B.Eng.
Joseph Austermühle
Trudi Keudel B.A.
Darko Wilms
Susanne Etzold
Ismail Geisler
Wolfhard Rosemann B.Eng.
Fredy Ring
Lena Ernst-Schenk
Milos Wiek
Arnulf Kusch
Josef Rädel
Isabell Briemer
Fadime Heidrich B.A.
Dagmar Schinke B.Sc.
Univ.Prof. Pamela Kambs MBA.
Nevenka Hörle MBA.
Curt Mühle
Cindy Schleich
Sebastian Warmer
Carl Scheibe
Reinhart Becker
Bayram Gertz-Hendriks
Univ.Prof. Fedor Eimer
Univ.Prof. Fredi Hölzenbecher
Gerwin Ortmann
Gabi Heinz
Czeslaw Fiebig
Tanja Henk
Gunhild Stroh-Jacob
Ing. Konstanze Geisel
Ing. Arthur Schwital B.Eng.
Dipl.-Ing. Freya Höfig
Slobodan Seip
Univ.Prof. Reinhilde Cichorius B.A.
Sören Liebelt
Janusz Killer
Prof. Rudolph Linke
Nuran Schäfer B.A.
Frau Brigitta Bohlander MBA.
Friedo Meister-Klemm
Fernando Tschentscher-Schacht
Franz Josef Hoffmann B.Sc.
Prof. Ursula Eigenwillig
Janusz Trub-Mühle
Dipl.-Ing. Edmund Franke
Willfried Kostolzin
Silvio Scholl B.Eng.
Ing. Valentina Börner
Univ.Prof. Reginald Lorch
Ignaz Warmer
Ingeburg Radisch-Steckel
Janko Rose
Albrecht Rust-Heinrich
Blanka Ladeck
Univ.Prof. Liliana Niemeier B.Eng.
Calogero Staude B.A.
Sigurd Lange-Seifert
Frau Raissa Radisch B.Eng.
Dipl.-Ing. Hans-Günther Peukert B.Eng.
Svenja Hartmann
Univ.Prof. Ilja Hentschel MBA.
Lili Birnbaum
Vlado Hübel B.Eng.
Alexej Kohl
Theres Heser
Adriane Wende
