Student
Justus Lorch
Karolina Reuter-Freudenberger
Frau Caren Schmidt MBA.
Frank-Peter Haase
Dr. Annette Linke MBA.
Frau Herlinde Schleich B.Sc.
Valentin Rädel
Alwine Riehl
Univ.Prof. Michail Tintzmann B.Eng.
Frauke Wilms
Univ.Prof. Harriet Heintze
Fernando Neuschäfer
Prof. Berend Käster B.A.
Johann Baum
Dr. Sandra Mangold B.Sc.
Annemie Margraf
Kenan Pieper
Max Fiebig
Univ.Prof. Karen Etzold B.A.
Mareile Tschentscher B.A.
Gordon Lehmann
Yasemin Hande
Dr. Sigfried Seip B.Eng.
Dipl.-Ing. Valeria Kühnert MBA.
Carina Bruder
Univ.Prof. Liliana Drub
Geraldine Reising MBA.
Romuald Kambs MBA.
Jenny Scholtz
Simone Jacobi Jäckel B.A.
Dana Löwer MBA.
Dr. Ella Warmer
Prof. Constance Austermühle B.Sc.
Gertraut Koch II
Claus Butte
Dipl.-Ing. Freya Höfig
Herr Jens Becker MBA.
Ing. Igor Barth
Woldemar Bolzmann B.A.
Ing. Anatolij Heintze
Annett Ullrich
Frau Anna-Luise Sontag
Hanna Jäntsch MBA.
Regina Fliegner
Ruth Barkholz-Koch II
Wolf Martin
Nicole Hoffmann
Andrei Bolander-Jäkel
Ing. Iwan Wagner
Siegmar Pergande B.Eng.
Heinz-Georg Döhn
Hannelore Rädel-Keudel
David Faust-Holsten
Rosi Spieß
Prof. Georgia Zirme MBA.
Daniele Pieper-Käster
Carlo Pohl
Traudel Loos
Geert Schuchhardt
Univ.Prof. Olivia Gnatz MBA.
Alwin Scholl
Hajo Ziegert-Noack
Dipl.-Ing. Dursun Köhler
Stephanie Dörr-Bärer
Dipl.-Ing. Marc Stroh
Wojciech Losekann-Seidel
Dr. Baldur Johann B.Eng.
Änne Boucsein B.Sc.
Marie Sorgatz MBA.
Ewa Eimer-Linke
Julia Heinrich
Gundi Sager
Nina Putz-Ritter
Dipl.-Ing. Manuel Kade
Roselinde Ebert
Nikolai Rädel-Klemt
Prof. Lutz Adolph
Amalia Hermann-Schäfer
Manuel Wagenknecht
Myriam Schäfer-Tschentscher
Moritz Holzapfel
Ursel Conradi
Henryk Plath-Jopich
Aloys Trupp
Edwin Förster-Albers
Josefa Junk
Hans Jörg Koch
Anto Kostolzin
Evi Oestrovsky
Caterina Weinhage
Rudi Schacht
Prof. Marie Plath
Gotthold Krause
Uli Schönland-Trupp
Cemal Budig-Holt
Prof. Mohammad Reinhardt
Eveline Kruschwitz B.Sc.
Ing. Konstanze Geisel
Rainer Scheel B.Eng.
Achim Budig
Olivia Jäkel
Zofia Schönland B.Sc.
Frau Dana Röhrdanz
Kai-Uwe Oderwald
Georgios Neuschäfer
Gunda Knappe
Hermine Franke B.Eng.
Prof. Knud Salz
Berndt Mohaupt MBA.
Freddy Hande
Univ.Prof. Gunter Kaul
Doreen Hornig
Annekatrin Wilms
Ing. Erwin Kobelt B.A.
Adolfine Fischer
Sören Liebelt
Gülten Ruppersberger-Wende
Volkmar Hentschel
Elfi Fröhlich-Löchel
Univ.Prof. Dolores Rust
Selma Fritsch B.Eng.
Hanspeter Davids
Ellen Weinhold
Gerda Sauer
Hardy Weller
Prof. Marius Herrmann
Emilia Römer
Valerie Kallert B.A.
Franka Peukert
Gregor Dippel
Simon Mude
Arnfried Scheuermann
Hans-Martin Bärer
Josephine Nerger-Mende
Thea Schmiedecke
Maria Mans B.Eng.
Jost Lindau
Leon Bauer
Maya Conradi
Univ.Prof. Hedwig Krein
Sergei Ritter
Diana Weitzel
Klara Löchel-Bien
Reni Roht-Binner
Gitte Briemer
Babette Rohleder
Louis Geisel
Benita Holzapfel-Hecker
Julie Mosemann
Slavica Ernst-Schmidtke
Dipl.-Ing. Sibylle Kensy
Kaspar Trub
Richard Kostolzin
Heidrun Lindner-Bolnbach
Prof. Friedbert Tschentscher B.Eng.
Dipl.-Ing. Heinz-Otto Jähn
Dipl.-Ing. Hermann-Josef Jüttner
Nathalie Lehmann
Reimar Rädel
Sinaida Ruppersberger
Irmi Täsche B.A.
Dursun Gehringer
Ingried Ullrich
Gisa Mohaupt
Arzu Ullrich
Univ.Prof. Viktoria Seifert
Kaspar Junken
Ing. Christiana Seip
Reimer Kitzmann
Univ.Prof. Harro Weller
Annie Harloff B.A.
Univ.Prof. Catharina Neureuther B.Sc.
Sandy Haering
Katherina Hesse
Maria-Luise Schaaf
Miriam Juncken
Aneta Kambs
Katrin Oestrovsky-Fechner
Ali Briemer-Klemm
Herr Frank Bolnbach
Dr. Mario Lorch
Univ.Prof. Jeanette Girschner B.Sc.
Prof. Annita Putz
Guenther Schmidt
Edeltraut Klemt
Univ.Prof. Beatrix Roskoth
Herr Louis Hövel
Erika Pruschke
Sabrina Schomber
Reimar Klemm MBA.
Karl-Georg Zahn
Marie-Therese Birnbaum
Lidwina Karz MBA.
Herr Hilmar Stumpf
Natalija Haering
Thies Pergande
Dipl.-Ing. Hardy Kohl
Dorothea Etzler
Rahel Dörschner
Dr. Jann Wesack B.A.
Folker Otto
Marlen Hesse
Gerd Beckmann-Gnatz
Dr. Sara Niemeier
Jörg-Peter Christoph
Fatima Rosemann-Schmidtke
Irmtraut Wende
Isa Koch
Reimar Kabus
Centa Bohlander-Stiebitz
Sylvio Gutknecht
Damian Bauer
Daria Jopich
Jennifer Berger
Elise Ackermann
Irmtraut Mülichen B.A.
Peter Rohleder
Hans-Otto Trubin B.Eng.
Dipl.-Ing. Sigrun Bärer
Dipl.-Ing. Margarethe Holt MBA.
Edeltrud Kambs
Frau Bruni Krein B.A.
Karolin Mitschke
Ing. Alberto Werner
Steve Scholl-Ladeck
Ing. Lisbeth Fritsch
Friedrich-Wilhelm Holsten
Waldtraut Hoffmann
Alan Stadelmann-Lindner
Univ.Prof. Amalia Köhler
Prof. Marian Gerlach
Judith Sorgatz
Prof. Heinz-Joachim Losekann
Hagen Girschner
Ortrun Eckbauer-Kohl
Anatolij Trub
Athanasios Bloch
Nikolaos Reichmann
Zeljko Meyer
Univ.Prof. Friedl Peukert B.Eng.
Dipl.-Ing. Tina Kranz MBA.
Gunhild Jessel
Walentina Hesse
Etta Hellwig
Lea Heuser
Hans-Hinrich Trub
Thaddäus Geißler
Eberhard Pechel
Rolf-Dieter Jacobi Jäckel-Nerger
Sigmund Kensy
Ute Hartmann
Ljiljana Kostolzin
Dr. Jost Hiller B.Sc.
Frieda Tintzmann-Löchel
Jeannine Heinz-Tlustek
Frau Anja Haering
Inga Ruppersberger
Dr. Edelgard Sauer B.Sc.
Dr. Lidija Weihmann
Rosi Renner-Graf
Clara Gehringer
Dominic Gunpf MBA.
Frau Helena Nette
Dr. Jurij Nohlmans B.A.
Gabi Meister
Prof. Maria-Luise Drub B.Sc.
Dipl.-Ing. Dajana Beer
Anna Linke
Ing. Justina Beckmann
Hubertine Krein
Sylvester Zirme
Dr. Natascha Schmidtke B.Eng.
Adam Hölzenbecher-Hettner
Ute Möchlichen
Frau Emilia Pruschke B.A.
Milos Wiek
Marian Vollbrecht MBA.
Elke Scholl MBA.
Fabian Pechel-Dippel
Rosa Kobelt
Univ.Prof. Annekatrin Neureuther B.A.
Univ.Prof. Inga Hermighausen B.Eng.
Marc Henck B.Eng.
Ilija Höfig
Gabor Steuer
Dorina Weinhold
Kordula Drub B.Sc.
Markus Eimer
Dr. Ingried Sorgatz B.A.
Janet Kade
Ing. Karin Werner
Hedy Rudolph MBA.
Univ.Prof. Gusti Schlosser
Burghard Davids
Univ.Prof. Alberto Steuer
Myriam Aumann
Henner Schweitzer
Joseph Austermühle
Prof. Klaas Geißler B.A.
Korinna Spieß MBA.
Hans Kostolzin-Ditschlerin
Gino Häring
Univ.Prof. Reinhilde Cichorius B.A.
Reinhold Bloch
Hildegard Roht B.Sc.
Gotthard Scheuermann
Kornelius Winkler
Mandy Loos
Patricia Wiek
Radmila Linke MBA.
Prof. Urs Flantz
Ilse Nette
Dr. Elena Kade B.Sc.
Dipl.-Ing. Arthur Ziegert
Ing. Giuseppe van der Dussen B.A.
Vito Roht
Dr. Elfie Tintzmann
Gundula Vollbrecht
Annerose Eckbauer
Valentin Döring
Lieschen Rörricht
Silvia Lübs
Cordula Mangold
Herr Simon Fliegner MBA.
Ing. Jo Caspar
Jane Patberg
Dr. Klothilde Lachmann B.A.
Ing. Josip Ruppert
Filippo Jungfer-Kabus
Heribert Austermühle-Trupp
Timm Oderwald
Alexej Hornig-Radisch
Hilma Berger
Anni Hänel B.Eng.
Süleyman Wende
Frau Marie-Therese Mielcarek
Janet Ullrich
Agathe Trommler
Dr. Gunther Jähn B.A.
Detlev Stadelmann
Alexander Hörle
Elisabeth Wieloch-Boucsein
Inge Dehmel
Gundula Scheel-Döring
Klaus-D. Zänker-Hein
Hans-Herbert Eckbauer
Falk Wagenknecht B.Eng.
Johannes Bärer
Stanislav Hoffmann
Univ.Prof. Ilka Jäntsch B.A.
Lina Hörle
Linda Kruschwitz
Dipl.-Ing. Ismet Käster B.Eng.
Hasso Zahn
Bernd Blümel
Ole Süßebier MBA.
Ira Scholz-Pohl
Susan Riehl B.Sc.
Gabriel Werner
Flora Gotthard
Siegmar Ullmann-Fritsch
Dr. Gerd Fechner
Jonas Adler
Prof. Lotti Löffler
Anatoli Caspar
Meral Bolnbach
Alfred Rose
Annett Anders MBA.
Ing. Zofia Ernst
Pierre Köster
Alice Hesse
Urban Klemt
August Weihmann
Joana Wähner
Herr Valentin Warmer
Prof. Sepp Blümel
Dr. Leonhard Otto
Lutz Mies-Hesse
Herr Rigo Krebs B.Eng.
Fadime Heidrich B.A.
Prof. Guenter Mosemann
Sergej Hauffer MBA.
Ingetraud Austermühle-Dowerg
Hans-Theo Vogt-Beckmann
Mato Patberg-Heintze
Dr. Valeri Sölzer B.Sc.
Deborah Finke
Reinhild Patberg
Victoria Hornig
Herr Andrej Rose
Univ.Prof. Jeannette Schleich B.Sc.
Birte Jüttner
Dietlinde Schönland
Frau Elfi Winkler MBA.
Erol Röhrdanz
David Warmer
Dr. Annekatrin Striebitz
Herr Gerolf Hermann B.Eng.
Univ.Prof. Natalie Noack MBA.
Eitel Ernst
Dipl.-Ing. Denise Beier
Klemens Thies
Metin Hande
Karlfried Ruppersberger
Gesche Kühnert
Mariele Peukert
Dr. Wilfriede Reuter
Agnes Tröst
Julian Lehmann-Ortmann
Ingried Hauffer-Lübs
Frau Annette Fiebig B.Eng.
Univ.Prof. Arno Kramer B.Eng.
Anastasios Drub
Gislinde Klapp B.Sc.
Univ.Prof. Resi Knappe
Tilman Eberhardt
Annelene Zänker
Ewa Bolnbach-Textor
Ing. Celal Textor
Janin Höfig B.A.
Ing. Leopold Beier B.Sc.
Ingeborg Wesack
Dipl.-Ing. Svea Neureuther
Ing. Tina Schmiedt B.A.
Natalia Hauffer
Silke Heydrich-Albers
Frau Annita Beckmann
Adelinde Zimmer
Ing. Antonius Jacobi Jäckel MBA.
Stephen Heidrich
Evelyn Bien
Helmar Barth
Radmila Kraus-Schacht
Victoria Hiller
Horst-Dieter Bähr
Paolo Wernecke
Boris Stumpf
Frauke Dörschner
Prof. Ursula Niemeier B.Eng.
Margarete Mohaupt B.Sc.
Bernadette Löffler
Elena Linke-Wohlgemut
Heinz-Otto Wende
Mike Matthäi
Dunja Trub
Ing. Gregor Lindau
Katharina Süßebier B.A.
Hans Dieter Junk
Rosina Ortmann
Hedi Bärer
Heimo Hübel MBA.
Andre Schönland B.Sc.
Zeljko Kobelt B.Eng.
Prof. Eckhart Jockel B.Eng.
Prof. Olga Steckel B.A.
Heinz-Joachim Trüb B.Sc.
Salvatore Eberhardt-Ring
Hans-Gerd Holt
Günther Bähr
Annegrete Jüttner
Bertram Segebahn
Gerta Klemt
Krystyna Rust-Baum
Damaris Zirme
Frau Mechtild Fliegner
Janine Söding
Isabell Kroker B.Eng.
Justus Schüler MBA.
Carola Köhler MBA.
Frank-Michael Köhler
Gitte Buchholz
Dariusz Rädel
Konstantinos Lindner
Univ.Prof. Milka Bähr
Heide-Marie Zirme
Oda Barkholz
Ivanka Gierschner-Pergande
Prof. Hans-Peter Noack B.A.
Wilfriede Blümel
Maren Scholz-Bohlander
Reimund Kraushaar
Elfi Harloff
Andrea Wulf
Kunigunde Ziegert
Dolores auch Schlauchin
Bayram Cichorius-Zobel
Prof. Ruth Gehringer
Tabea Birnbaum
Herr Wieland Hartmann MBA.
Diedrich Lachmann-Oestrovsky
Manuel Krause MBA.
Raymond Speer
Ali Schmidt-Knappe
Orhan Mude
Dr. Myriam Pieper B.Eng.
Karl-Peter Grein Groth B.Eng.
Herlinde Schenk B.A.
Jutta Franke-Rosenow
Dipl.-Ing. Lotte Austermühle B.A.
Prof. Heinz-Peter Sager
Ing. Siegmar Meyer B.A.
Elly Hande
Carmine Hauffer
Anton Gute
Dipl.-Ing. Wilfried Ortmann
Faruk Birnbaum
Svea Hartung B.Eng.
Klaudia Seidel
Jörg-Peter Jüttner-Winkler
Dr. Uta Gumprich
Gordon Klemt-Rörricht
Frau Carola Scheibe MBA.
Cemal Klingelhöfer-Otto
Dr. Markus Roskoth B.Sc.
Dr. Annelene Geisel B.Sc.
Roselinde Kusch-Röhrdanz
Jakob Seifert
Herr Imre Kohl
Ludwina Haase
Ludmila Patberg
Clara Stroh
Willibald Gude
Kunigunda Hänel-Briemer
Martina Keudel
Hans-Jochen Gorlitz B.Sc.
Saskia Wagenknecht
Anke Hettner
Theo Neuschäfer
Engelbert Carsten-Hiller
Constantin Jacob B.Sc.
Annekatrin Wende
Undine Jopich
Alena Hänel
Carola Franke
Thorsten Kensy B.Eng.
Augustin Lachmann
Hermann Josef Junck
Prof. Gertraude Mangold B.Eng.
Univ.Prof. Almuth Cichorius B.Eng.
Ing. Klothilde Hörle B.A.
Ing. Alf Lachmann
Melissa Dietz
Daria Stiffel
Elisa Mälzer
Josephine Schweitzer
Marianne Ernst-Zirme
Ludwina Hölzenbecher
Tobias Wirth
Herr Darko Gutknecht MBA.
Telse Steuer B.Eng.
Herr Hartmuth Pruschke
Dipl.-Ing. Rouven Kallert MBA.
Lena Ernst-Schenk
Mirjana Schlosser B.Eng.
Bruno Hesse
Senol Harloff-Lindau
Ilka Lachmann
Dagobert Sorgatz
Esther Eberth-Kensy
Dr. Diedrich Gerlach B.A.
Dr. Alwina Lorch MBA.
Andreas Birnbaum-Kallert
Prof. Uschi Fliegner B.A.
Anatolij Steinberg
Anton Drubin
Ing. Melanie Hamann
Prof. Anna-Lena Wagner MBA.
Reimund Bohlander
Hedi Gumprich
Sami Mitschke
Teresa Schomber B.A.
Dr. Bernfried Bärer
Magdalene Fröhlich
Peter Sontag
Anatolij Kroker B.Eng.
Julie Schweitzer
Univ.Prof. Herlinde Klotz
Ilija Kohl
Ing. Ramazan Kallert MBA.
Bekir Bonbach
Miodrag Fliegner B.A.
Cosimo Zimmer
Francoise Zänker-Knappe
Elzbieta Putz B.Eng.
Notburga Pechel B.Eng.
Attila Rogner
Herr Heinz-Josef Wende MBA.
Rena Rohleder
Geert Rudolph
Rosemarie Hethur
Hellmuth Hörle
Malte Davids
Dipl.-Ing. Korinna Pärtzelt
Heinz-Joachim Trupp
Prof. Henriette Killer
Jens-Peter Heinrich
Falk Ritter
James Ebert
Univ.Prof. Gunda Höfig
Ing. Edeltraud Zirme
Nadine Sauer
Prof. Sylvester Bender
Heike Karge
Emil Grein Groth
Serge Kade
Marjan Pölitz B.Eng.
Anny Wähner
Ing. Therese Rust
Adalbert Schmidtke
Vinko Reuter
Zoltan Wilms
Ing. Swen Ehlert
Walli Jopich
Pedro Pölitz
Prof. Manuela Schleich B.Sc.
Niklas Schleich
Imre Mülichen
Janko Rose
Stanislaus Geißler
Athanasios Jacobi Jäckel
Univ.Prof. Emil Jacobi Jäckel B.Eng.
Dipl.-Ing. Virginia Käster
Ing. Bianka Bärer MBA.
Inna Hande
Ria Walter
Victoria Binner
Anne-Katrin Höfig
Dorit Köster
Kristin Niemeier
Selma Girschner B.Sc.
Reingard Geisel
Kay-Uwe Finke
Gisa Hendriks
Maximilian Pohl B.A.
Torben Säuberlich-Linke
Ing. Dierk Striebitz
Dorle Knappe
Francesco Nerger
Frau Constanze Heidrich B.Sc.
Dariusz Reising-Ernst
Oliver Kohl
Attila Atzler
Hans-Ulrich Dussen van
Hans-Christian Trüb
Magdalene Mude
Hans-Bernd Trubin-Klemt
Herbert Budig
Elizabeth Wulf
Timm Schönland
Heinrich Rogner
Sybilla Herrmann-Pärtzelt
Ing. Svenja Aumann
Kamil Hecker-Hahn
Jasmina Cichorius-Barth
Ing. Henning Drub
Amanda Weller
Willfried Kostolzin
Ehrenfried Drubin-Paffrath
Ben Bonbach B.A.
Traudl Christoph
Felix Hölzenbecher B.A.
Fedor Röhrdanz
Aysel Löchel
Berend Gertz B.Eng.
Heinz-Werner Buchholz
Hans Kraus
Univ.Prof. Liliana Niemeier B.Eng.
Robin Sölzer
Herr Ilhan Tröst B.A.
Dipl.-Ing. Sarina Dörr
Pavel Jessel
Ansgar Seidel
Wilhelm Klemm B.A.
Wenke Neureuther-Hermighausen
Nikolas Heß
Urs Ebert
Ing. Pius Börner
Burkhard Fröhlich-Dussen van
Ing. Mariechen Nerger B.Eng.
Damian Söding
Stefano Wagenknecht
Mareile Löwer
Margita Hentschel
Albin Budig
Burghard Wohlgemut
Theo Döring
Anka Rohleder
Sina Wulff-Dussen van
Guiseppe Rust
Emilie Bolander
Wilfried Börner
Theo Henschel
Branka Mentzel
Aleksej Fröhlich
Bogdan Steckel B.Eng.
Anneliese Trub
Klara Schlosser
Dr. Theodor Sager
Univ.Prof. Johan Lange
Univ.Prof. Diedrich Köhler B.A.
Ing. Ronny Metz B.A.
Anneli Wernecke
Univ.Prof. Erna Köhler B.A.
Univ.Prof. Siegfried Karz B.Sc.
Stanislaus Davids MBA.
Darius Trupp
Dipl.-Ing. Ernst-Dieter Harloff MBA.
Ing. Valerij Segebahn B.Eng.
Univ.Prof. Giovanna Bachmann B.Eng.
Stephen Reichmann
Felicia Ritter
Sibilla Mitschke-Losekann
Ing. Meinhard Schweitzer
Prof. Gunter Mentzel
Mareen Mans
Mariana Kranz
Natascha Eigenwillig
Hellmut Siering
Anica Sorgatz B.Sc.
Kathi Christoph
Mathilde Wähner-Bien
Prof. Heinz-Joachim Seidel
Jolanta Kühnert
Irina Hahn
Ernst-August Oestrovsky-Kreusel
Frau Elsa Mälzer
Bodo Ullrich
Prof. Luzie Killer B.Sc.
Karsten Wohlgemut
Dipl.-Ing. Zeljko Stumpf B.A.
Florian Finke
Isa Rose
Dr. Halina Mälzer
Heinz Krebs B.Eng.
Lisette Mühle
Karlfried Sorgatz
Annelene Reuter B.A.
Ignaz Stoll
Franz Ortmann B.Eng.
Olaf Weinhage
Marina Hofmann
Ottomar Kraus
Peer Hölzenbecher
Dr. Gerold Dörschner
Dipl.-Ing. Hans-Karl Dussen van B.A.
Markus Albers
Sigmund Mosemann
Michaele Schwital
Sören Pechel
Dipl.-Ing. Götz Bloch
Gretel Stroh
Bruni Freudenberger
Jörgen Paffrath B.Sc.
Malgorzata Rohleder
Catharina Jacob
Marijan Killer
Tina van der Dussen
Josip Kuhl
Ludwig Zimmer MBA.
Prof. Hubert Heß
Klaus-Peter Kitzmann
Hellmut Bruder
Maren Roht
Hans-Rudolf Dehmel
Prof. Gertrude Renner B.A.
Magarete Krause
Birgitt Seip-Klemm
Ingo Heinz
Liesa Wilms B.A.
Herr Vito Roskoth B.Sc.
Stefano Koch B.Eng.
Henning Fechner
Alfred Weinhage-Stiffel
Brian van der Dussen
Magdalena Tintzmann B.Sc.
Valeska Geisler B.Eng.
Gerwin Rust MBA.
Berndt Grein Groth B.Sc.
Univ.Prof. Ivo Mies
Gabriele Stahr
Dr. Gerhart Käster
Friedrich-Karl Sorgatz-Schmiedt
Charles Heinz
Boris Kruschwitz
Hans-Heinrich Schüler-Seip
Henry Austermühle
Dipl.-Ing. Bekir Boucsein
Magda Geißler
Enver Dehmel
Louis Kostolzin
Ing. Berthold Rosenow
Klaus-D. Segebahn
Prof. Hermann Josef Söding
Univ.Prof. Sergio Kreusel MBA.
Mehmet Beckmann-Geisel
Denis Weimer
Ing. Luisa Oestrovsky
Gotthard Löwer
Siegried Caspar B.A.
Edgar Jüttner
Elias Gierschner
Giorgio Trüb
Tony Henk MBA.
Frau Eleni Ziegert B.Sc.
Univ.Prof. Reginald Lorch
Frau Magarete Mans B.Sc.
Dragica Kreusel
Dipl.-Ing. Betti Löffler MBA.
Mahmut Rose B.A.
Univ.Prof. Antoinette Wende B.A.
Murat Linke
Irmtraud Freudenberger
Dr. Aziz Adolph MBA.
Svetlana Bonbach B.A.
Ing. Marko Linke
Ing. Alexandros Vogt MBA.
Utz Christoph-Henck
Annemarie Seidel
Dr. Heinz Dieter Dörschner
Bernward Fröhlich
Antonia Mohaupt
Pero Gnatz
Carin Atzler
Edeltraud Bärer
Maurice Möchlichen
Hans-Michael Krein-Wernecke
Ekkehart Bruder
Heinz-Günter Weimer B.Sc.
Ellen Liebelt
Corinne Koch II
Henning Scholl
Frau Swantje Heinrich B.A.
Prof. Kordula Vollbrecht B.A.
Artur Berger
Slavica Vollbrecht
Frau Pascale Hettner B.Eng.
Geraldine Wagner
Ida Hendriks B.A.
Meike Rosenow
Ing. Tillmann Geisel
Herr Hans-Martin Heuser
Siegried Otto
Nadia Thanel
Wilfriede Misicher
Eberhardt Schäfer
Mehmet Löwer-Trupp
Ingrid Rudolph
Dajana Ruppert
Senta Weihmann
Martine Trupp
Ramona Römer
Univ.Prof. Dorle Fröhlich
Vinzenz Bruder
Dragan Trub
Hüseyin Stahr
Hans Josef Thanel
Anthony Heintze
Frank-Peter Bien
Senta Ruppersberger
Meta Eigenwillig
Herlinde Birnbaum
Jens Drubin
Ing. Silja Heser
Dipl.-Ing. Henrike Hörle B.A.
Univ.Prof. Maxim Matthäi
Heide Knappe
Zita Winkler
Imke Austermühle-Löwer
Massimo Hecker
Gitta Römer
Dr. Gabriela Geißler
Annegrete Pohl-Sölzer
Urszula Fliegner
Cathrin Weitzel MBA.
Antonio Margraf
Constantin Beckmann
Gertraude Ruppersberger
Annett Sorgatz B.Eng.
Hanni Scholz-Weitzel
Leander Dobes-Schlosser
Emma Sorgatz-Radisch
Frau Wenke Riehl
Ing. Wolf-Rüdiger Weihmann B.Eng.
Dagmar Schinke B.Sc.
Ing. Gerlinde Junken
Theodora Wilmsen
Mechthild Finke
Nadia Rosenow
Liesbeth Huhn
Elizabeth Budig
Ing. Mike Stolze
Leon Linke
Dr. Philip Siering B.A.
Therese Rohleder
Fatma Hesse
Raymund Thanel
Ing. Gerold Gotthard
Irmgard Liebelt
Hertha Gieß
Monja Heidrich
Heinz-Werner Schleich-Mies
Univ.Prof. Czeslaw Heuser
Ivo Börner
Hanny Martin
Wendelin Schäfer B.Sc.
Univ.Prof. Josip Hartung
Freia Buchholz
Maik Tintzmann B.Sc.
Danica Atzler
Adelgunde Beer
Univ.Prof. Edelgard Naser B.A.
Gina Stolze
Heide-Marie Beckmann B.Sc.
Rosa Gnatz
Volker Süßebier-Staude
Gertraud Mentzel
Univ.Prof. Steffen Tröst
Moritz Roht
Heidelore Pärtzelt MBA.
Friedrich-Karl Weimer
Univ.Prof. Virginia Pechel
Timo Huhn
Annelie Schomber
Dipl.-Ing. Undine Warmer
Hans Dieter Kallert
Sieghard Hahn
Andre Stroh
Florentine Eimer
Dr. Annita Kallert
Amalia Schmidtke-Radisch
Univ.Prof. Vadim Vollbrecht B.A.
Dr. Gaby Sontag MBA.
Reni Henk
Waltraud Wernecke
Kornelius Pergande-Weiß
Wilma Matthäi
Dipl.-Ing. Jens-Uwe Dobes
Marianne Hecker
Dr. Halina Haase
Werner Kramer B.A.
Herr Emin Trubin
Kreszentia Bloch-Steckel
Frau Minna Steinberg B.Sc.
Marek Ackermann
Faruk Hoffmann
Cläre Heser
Monica Drub-Davids
Siegbert Hartmann B.A.
Dr. Annelene Hamann
Aurelia Sorgatz
Henni Mälzer-Tlustek
Gislinde Müller
Madeleine Hartung
Silvester Scheibe
Klaus-Günter Kreusel
Anica Kade-Steuer
Michel Kuhl
Frau Tatiana Hande B.Sc.
Lars Ullrich
Ulrich Plath-Weihmann
Alida Tröst
Alwine Bien
Andrea Hamann
Frau Edeltraud Radisch B.A.
Deborah Etzler
Calogero Staude B.A.
Stavros Vollbrecht-Geißler
Zofia Schulz
Univ.Prof. Eugen Karz
Hanna Knappe
Ing. Anton Gotthard MBA.
Arnulf Heidrich
Gülay Werner
Dr. Ellen Schlosser B.A.
Cosimo Bender
Siegrun Schomber
Peter-Michael Spieß
Margit Walter
Prof. Götz Finke
Samir Krein B.A.
Prof. Thekla Hahn
Hans-Bernd Rose
Ilonka Döring-Schulz
Janin Haase
Helge Pohl
Folkert Reinhardt B.Sc.
Adrian Trupp
Kunigunda Heser
Gunnar Hentschel
Jens Löchel
Myriam Hänel
Dr. Leonie Köster
Giuseppina Keudel
Egbert Tschentscher
Tülay Gnatz-Sorgatz
Evelyn Ortmann
Dusan Zahn B.A.
Andree Budig B.Eng.
Gerda Eberhardt B.Sc.
Dipl.-Ing. Gisela Schuster B.A.
Geza Hertrampf B.A.
Helen Tschentscher
Martha Wilmsen
Leon Aumann
Dipl.-Ing. Henriette Lindau
Frau Delia Hellwig B.Sc.
Brunhilde Nohlmans
Monja Siering
Jeannine Lehmann
Natalia Fröhlich-Kabus
Ole Ritter MBA.
Natascha Gotthard
Danuta Kensy
Prof. Helga Hesse
Elisabet Schuster B.A.
Stella Mülichen
