Student
Natalie Neureuther
Ing. Catrin Dippel MBA.
Rainer Gunpf B.Eng.
Karl-Wilhelm Geisel
Peer Hölzenbecher
Frau Mareile Birnbaum
Frau Bianka Henk B.Sc.
Dipl.-Ing. Ehrenfried Kranz MBA.
Heinz-Otto Hermighausen
Dietlind Drubin
Arnim Bärer
Vesna Wähner
Nathalie Lehmann
Dr. Ella Warmer
Lena Holzapfel
Rudolf Mentzel
Norma Jungfer
Ludmila Karge B.A.
Tilmann Geisler
Curt Jopich
Nico Hartung-Linke
Thea Nette
Victor Fritsch B.Eng.
Dr. Karla Christoph
Frau Friederike Albers
Willy Trub-Freudenberger
Univ.Prof. Nadine Gnatz
Fredy Ring
Reinhart Winkler B.Eng.
Hildegunde Stiebitz-Mude
Wiltrud Jäkel
Anica Sorgatz B.Sc.
Kathi Christoph
Cindy Stahr
Geert Schuchhardt
Wolfhard Fiebig
Ivo Börner
Slavko Schüler B.Eng.
Adalbert Ullmann
Dr. Leila Gunpf B.Sc.
Almuth Haase
Univ.Prof. Heinrich Knappe B.A.
Hanspeter Juncken
Dipl.-Ing. Serge Nerger
Dipl.-Ing. Dragica Neureuther
Luzia Eckbauer
Marlen Flantz
Clemens Thanel
Karl-Ludwig Hoffmann
Angela Hamann
Lieschen Rörricht
Frau Änne Gunpf B.Sc.
Ralph Fröhlich
Bernhardine Mangold
Dipl.-Ing. Petar Lübs
Notburga Heuser
Nick Jockel B.A.
Ing. Marga Lehmann MBA.
Iris Kraushaar B.Sc.
Monja Siering
Univ.Prof. Gregor Gieß MBA.
Bernhardine Bender MBA.
Ditmar Pölitz B.A.
Frau Delia Hellwig B.Sc.
Ekkehart Grein Groth
Mirjam Stumpf
Gislinde Müller
Philip Weller B.A.
Tülay Trapp
Dipl.-Ing. Christel Beer B.Eng.
Ing. Nelli Hornig
Adelgunde Wagenknecht
Frau Almut Kuhl
Theo Döring
Marianna Rosenow-Weiß
Nicolai Röhricht-Spieß
Gebhard Eberth B.Eng.
Marek Hesse B.Eng.
Herr Wieslaw Trupp
Tilman Killer B.A.
Katharina Krause-Hornig
Burghard Davids
Ing. Frederic Christoph B.Eng.
Heinz-Georg Döhn
Univ.Prof. Ortwin Geisler MBA.
Tilman Henschel
Anka Rohleder
Carmen Weinhold
Jacek Klemt
Adele Weimer B.Eng.
Ottilie Scheel
Heinz-Günther Mosemann
Irmi Koch
Hanna Knappe
Prof. Wolfgang Mohaupt
Nermin Martin
Jurij Zahn B.Sc.
Lorenzo Adler-Trommler
Yvette Margraf-Wernecke
Franz Schweitzer
Mariechen Scholl
Roberto Ritter-Fritsch
Theres Beer
Bianka Holsten
Veit Etzler
Hasso Zahn
Melissa Gehringer
Wolf-Dietrich Berger
Hanns Ehlert MBA.
Frau Kunigunda Schaaf B.A.
Annelene Reuter B.A.
Nina Müller B.Eng.
Sükrü Walter B.Eng.
Freia Hofmann
Evelin Wagenknecht-Döhn
Ing. Kläre Radisch
Timm Schönland
Woldemar Jacob B.A.
Zeljko Jessel
Maria Döring B.Sc.
Univ.Prof. Mira Mende B.Eng.
Herr Augustin Karge B.Eng.
Freddy Hande
Dr. Edit Scheibe B.A.
Heidelore Stolze
Barbara Kambs
Ing. Marcel Gute
Hans-Theo Thies
Alwina Neureuther
Mariusz Baum
Hans-Michael Rudolph
Lisbeth Karge
Univ.Prof. Marko Schmiedecke MBA.
Zita Winkler
Gesa Bender
Marlen Weihmann-Trub
Anneli Heintze
Halina Römer-Hartung
Herr Thorben Jacob
Stilla Dobes
Korbinian Bolander
Luisa Hecker
Herr Baptist Klotz
Univ.Prof. Markus Schottin
Univ.Prof. Claudia Freudenberger B.Sc.
Wilma Röhrdanz
Edelgard Neureuther-Vollbrecht
Nicolaus Seifert B.A.
Antonina Pärtzelt-Gerlach
Reinhard Zänker
Johann Oestrovsky
Frau Xenia Blümel
Dr. Anna-Maria Zahn B.Sc.
Valerij Barth
Leonid Mühle
Herr Siegmar Geisler
Birthe Trommler
Antonie Ladeck
Heiner Rörricht
Frau Marie-Therese Mielcarek
Wiltrud Wilmsen-Graf
Margot Ullmann
Ing. Hedi Wulf
Janette Kallert
Prof. Heinz-Joachim Losekann
Brunhilde Tröst
Kamil Hendriks
Frida Süßebier
Samuel Ackermann
Frithjof Gertz
Silja Jüttner
Ing. Alf Lachmann
Aribert Schulz B.Eng.
Jiri Förster
Carsten Junken
Ilias Weiß MBA.
Hanne-Lore Johann
Maxim Wilms-Meister
Aleksander Dowerg
Desiree Wulf-Jüttner
Marek Adler
Silvia Henschel
Hans-Rudolf Fröhlich
Dr. Edelbert Wieloch MBA.
Frau Anna-Luise Sontag
Christos Bolander
Univ.Prof. Dorina Lange
Dr. Adriane Bärer B.Eng.
Ludmila Patberg
Cosima Johann
Ditmar Briemer
Dr. Hans-Detlef Lindau B.Eng.
Herta Hendriks
Renate Bärer
Dipl.-Ing. Gudula Margraf B.Sc.
Stilla Klotz
Dr. Jan-Peter Martin B.Eng.
Marcel Oestrovsky
Ing. Rosina Kabus MBA.
Antonia Mohaupt
Gaetano Paffrath
Roswita Gumprich-Butte
Ute Möchlichen
Gabriel Roskoth
Maurizio Hermann
Camilla Wiek
Dusan Ruppersberger B.Sc.
Vadim Jacobi Jäckel
Prof. Gunter Mentzel
Bastian Röhrdanz
Univ.Prof. Teresa Weinhage B.A.
Sedat Gude
Tomislav Steckel
Elizabeth Budig
Lars Walter
Torsten Schwital-Gude
Iwan Wilmsen-Weihmann
Adalbert Reising
Ursula Jacobi Jäckel
Suse Hornich
Jadwiga Karge
Tatiana Kade-Rust
Ignaz Stoll
Miroslawa Rose
Heinz-Otto Linke
Prof. Hermann Josef Söding
Nelly Schlosser
Victor Butte
Hermine Franke B.Eng.
Dipl.-Ing. Louis Spieß B.A.
Marlen Schenk-Schuchhardt
Prof. Lotti Löffler
Sibylle Stey
Dragica Rosenow
Fatima Rosemann-Schmidtke
Hedi Butte-Neuschäfer
Yusuf Seifert
Piotr Ruppersberger
Dipl.-Ing. Maik Mende B.Sc.
Pauline Mosemann
Veit Beckmann
Ing. Margarete auch Schlauchin MBA.
Hugo Keudel B.A.
Heide-Marie Koch II
Raymund Thanel
René Gude B.A.
Gönül Barth-Zobel
Othmar Täsche-Loos
Hans-J. Tröst MBA.
Dipl.-Ing. Jörg-Peter Conradi B.Sc.
Zdravko Niemeier
Gertraude Pärtzelt MBA.
Ing. Emanuel Tintzmann
Hilda Metz-Dehmel
Ing. Käthe Plath B.Eng.
Ulla Fliegner-Sölzer
Kristin Kabus
Frau Clarissa Rosenow B.A.
Norbert Niemeier
Antonina Christoph MBA.
Undine Eimer
Hans-Rudolf Dehmel
Herr Falk Holzapfel
Ing. Magda Jäntsch
Herr Tino van der Dussen MBA.
Gilda Tintzmann
Univ.Prof. Margrit Davids B.Eng.
Jeanette Mälzer
Doris Karz
Cemal Budig-Holt
Vinko Kraus-Schmiedt
Ing. Bianca Paffrath
Edward Hering MBA.
Dipl.-Ing. Mahmoud Mühle B.Eng.
Hermann Josef Weihmann
Corinne Berger
Gerolf auch Schlauchin
Mahmut Rose B.A.
Gisa Budig-Löwer
Ignatz Budig
Frau Anka Hering
Kristian Albers
Hans-Bernd Rose
Rüdiger Heinrich
Theresia Paffrath
Evangelia Gierschner
Alexandre Geisel
Timm Wende
Lilly Naser
Oxana Stumpf
Inka Trapp
Isa Tlustek
Helmtrud Atzler
Nurettin Mans-Klemt
Prof. Ralf-Peter Schlosser B.Eng.
Univ.Prof. Anna-Luise Faust
Ulf Dörschner
Dorina Weinhold
Helmar Barth
Kevin Etzler
Herr Imre Kohl
Johannes Freudenberger
Eberhardt Gute
Anton Müller
Prof. Heinz-Peter Sager
Kira Eckbauer
Frau Aleksandra Dobes B.A.
Danilo Ladeck-Köhler
Helge Pohl
Helene Gröttner-Hornich
Laurenz Scholl
Kenneth Köhler-Kaul
Carina Killer
Brita Kaul
Tilman Hövel
Vladimir Wulf B.A.
Benno Kraushaar
Marco Schinke B.Eng.
Sinaida Roskoth B.A.
Domenico Gerlach-Kramer
Julia Pärtzelt
Jerzy Wagenknecht B.A.
Frauke Söding
Joerg Zimmer-Kusch
Rotraut Bachmann
Ing. Willfried Kostolzin
Ing. Massimo Losekann
Karla Etzler-Metz
Mareile Tschentscher B.A.
Friedbert Sorgatz
Ruben Trubin
Cecilia Scholz-Barth
Anneliese Trub
Halina Austermühle-Bender
Willy Hornig
Mechtild Niemeier
Klaus-Dieter Hänel B.Sc.
Ernestine Tröst
Gesche Kühnert
Fabienne Matthäi-Heß
Gerhart Davids B.A.
Oskar Rosemann
Elsa Preiß
Ing. Leopold Hoffmann
Käthe Langern-Jacob
Carola Kusch
Achim Etzold MBA.
Alfonso Grein Groth-Henck
Mechthild Finke
Manja Koch II-Heuser
Univ.Prof. Francesco Schulz B.Eng.
Margarete Kabus
Pirmin Boucsein MBA.
Ing. Edeltraud Zirme
Oda Barkholz
Herr Alwin Sager B.A.
Heiner Pieper
Maurice Hübel
Edith Hettner
Kristiane Steckel
Edit Martin B.Sc.
Dipl.-Ing. Elif Hartmann B.A.
Hans-Jörg Trupp-Säuberlich
Deborah Beier
Ellen Haase
Wanda Vollbrecht-Reinhardt
Prof. Volkmar Wirth B.Eng.
Jonas Beyer
Caroline Linke
Hans Jürgen Winkler
Wendelin Zorbach MBA.
Dagmar Franke-Schleich
Walter Schleich-Segebahn
Gerhart Karz
Raimund Gieß
Herr Hans-Martin Heuser
Herr Hans Rogge
Univ.Prof. Tomasz Atzler B.Sc.
Anto Tröst-Schäfer
Dominik Jungfer
Franca Börner
Hans-Gerd Holt
Alban Butte
Osman Liebelt
Alwin Schaaf
Gunter Misicher
Frau Natalija Stey
Univ.Prof. Gottlob Tröst B.Eng.
Klaus Lorch-Graf
Dr. Aziz Adolph MBA.
Lena Dowerg
Univ.Prof. Hans-Albert Ruppert
Annamaria Scholtz
Univ.Prof. Pius Kühnert
Univ.Prof. Sebastian Sontag
Univ.Prof. Fatima Hiller B.A.
Hellmut Bruder
Univ.Prof. Diethard Klotz
Jose Tlustek B.Sc.
Ingried Hauffer-Lübs
Charles Anders
Ing. Luisa Oestrovsky
Leopold Jungfer
Milena Weitzel-Steinberg
Chantal Kramer
Regina Wende
Roger Hendriks-Ruppersberger
Marcel Hermighausen
Henning Scholl
Gunhild Stroh-Jacob
Ing. Monika Ullrich
Robin Junk-Henk
Michail Schmidt
Elwira Pölitz B.Sc.
Hardy Weller
Hans-Günther Wilmsen
Herr Hartwig Henk B.A.
Jacek Täsche
Ing. Abraham Thanel B.Eng.
Univ.Prof. Karen Etzold B.A.
Ing. Fredi Löffler
Artur Schaaf
Günter Rudolph B.Eng.
Teresa Ladeck-Rädel
Antonius Käster
Aenne Beyer
Mara Roht
Bertha Rose
Marlen Gute-Hauffer
Burkhardt Holt
Eckhard Lindau B.A.
Milan Holzapfel
Ing. Jaqueline Wende B.A.
Otmar Gierschner
Herr Ignatz Boucsein MBA.
Magarete Krause
Rüdiger Bien-Hübel
Nils Stey
Frau Almuth Kostolzin B.A.
Ing. Christiana Seip
Herbert Budig
Insa Bloch B.A.
Bernard Steinberg
Mike Hofmann
Franz Ortmann B.Eng.
Ilias Seip
Siegmund Schleich MBA.
Heinrich Köster
Prof. Liane Jungfer
Anatolij Trub
Dipl.-Ing. Reinhart Gotthard B.Eng.
Univ.Prof. Ricardo Sorgatz B.A.
Rosi Renner-Graf
Christel Bärer-Zirme
Sergej Hauffer MBA.
Gitte Rohleder-Bruder
Marlene Steckel B.A.
Salvatore Ruppersberger
Franca Buchholz
Louise Jessel
Ilonka Rose
Abdul Klapp-Hethur
Bernfried Roht
Anne-Katrin Seip
Friedo Meister-Klemm
Prof. Juliane Henck MBA.
Lilly Seifert
Rabea Weiß MBA.
Dr. Siegfried Heinz B.Eng.
Kläre Beier B.A.
Karl-Otto Winkler B.Eng.
Erica Holsten
Margarete Mohaupt B.Sc.
Fernando Tschentscher-Schacht
Alf Jacobi Jäckel-Fritsch
Univ.Prof. Paul-Gerhard Lübs MBA.
Brigitta Walter
Ehrhard Förster
Prof. Sepp Blümel
Dipl.-Ing. Ana Rosemann
Edeltrud Koch
Hülya Stadelmann
Hanne Gierschner
Theresia Henck
Angelo Schmidtke
Friedemann Kostolzin
Sieghard Kensy
Herr Hendrik Fritsch B.Eng.
Bekir Cichorius-Döring
Univ.Prof. Ewald Rogner B.Sc.
Bodo Ullrich
Luigi Wähner
Dr. Cäcilia Henk B.Eng.
Lene Hermann-Kaul
Gotthard Scheuermann
Dipl.-Ing. Jiri Wesack B.A.
Tillmann Dobes-Trupp
Prof. Grete Müller
Franz-Peter Benthin-Reichmann
Carlo Ackermann-Birnbaum
Dr. Sedat Schäfer
Miriam Haering
Ing. Nuran Schaaf
Carl Schomber-Mälzer
Univ.Prof. Charlotte Lindner MBA.
Univ.Prof. Francisco Tröst B.Eng.
Sylvie Neuschäfer
Mehmet Beckmann-Geisel
José Gröttner B.Sc.
Antje Etzold
Frau Pascale Hettner B.Eng.
Mariana Jüttner
Eva Wende B.Eng.
Sylvester Hamann
Elke Huhn
Oxana Ladeck
Dr. Marliese Junck B.Sc.
Frau Emma Kaul B.Eng.
Anatolij Jüttner-Bauer
Gotthold Krause
Frau Carola Scheibe MBA.
Pasquale Karge
Dipl.-Ing. Woldemar Benthin B.A.
Tino Metz
Ing. Toralf Wiek
Violetta Beyer
Damian Hentschel
Tanja Rörricht-Haering
Friederike Geisler
Sylvana Holzapfel
Wulf Eberhardt
Jakob Seifert
Alwine Bien
Dogan Häring MBA.
Cord Tröst
Michaela Loos-Mentzel
Annelore Bolander
Kläre Kohl
Andres Sager
Helma Schaaf B.A.
Massimo Hecker
Gilda Segebahn
Mariechen Nohlmans
Isabell Kroker B.Eng.
Guenter Wende
Svetlana Bonbach B.A.
Irmtrud Pohl
Univ.Prof. Antonina Becker
Kilian Austermühle B.A.
Frau Jane Caspar
Prof. Monica Beer MBA.
Ing. Alberto Werner
Melanie Hauffer
Emma Sorgatz-Radisch
Ole Süßebier MBA.
Sigmar Zobel
Annegret Atzler
Ulrike Rädel B.Eng.
Dipl.-Ing. Charles Täsche
Hildburg Tlustek
Senol Harloff-Lindau
Leokadia Karge
Abram Gunpf
Christa Kabus
Friedlinde Sauer
Elzbieta Hartung
Eggert Börner-Geisler
Liesa Wilms B.A.
Czeslaw Jacobi Jäckel-Zahn
Marcella Höfig
Olivia Schleich
Dipl.-Ing. Walburga Steckel
Ben Ullmann MBA.
Bert Junck
Juliane Mentzel-Ziegert
Herr Laurenz Häring
Stephen Reichmann
Anna-Lena Bloch
Dr. Uli Segebahn
Wera Schmidt
Abraham Carsten
Univ.Prof. Lissi Schomber
Elisabet Schuster B.A.
Käte Ditschlerin-Roht
Hüseyin Wulf-Schmidt
Magret Mans
Ditmar Dehmel
Bayram Lübs B.Eng.
Univ.Prof. Nadja Jacob B.Eng.
Markus Albers
Falk Höfig
Elke Scholl MBA.
Bruno Wagenknecht
René Kruschwitz
Sinaida Ruppersberger
Kirstin Kusch-Meister
Gudrun Heß B.Sc.
Univ.Prof. Ivonne Haase B.Sc.
Univ.Prof. Jörg Jessel MBA.
Hans-Helmut Eimer MBA.
Irmi Döhn
Ulrike Klemt B.Sc.
Jana Langern
Aleksander Klapp-Sauer
Harm Hein
Ulf Kensy MBA.
Hartmuth Koch II
Frank-Michael Köhler
Rosita Möchlichen-Stumpf
Götz Hofmann B.A.
Paolo Wernecke
Friedericke Käster B.A.
German Speer
Univ.Prof. Anne-Kathrin Gerlach B.Sc.
Hans-Otto Trubin B.Eng.
Herr Rudi Neuschäfer
Reinhild Patberg
Ing. Dietlind Gieß
Wibke Pärtzelt-Wieloch
Annette Schwital
Univ.Prof. Claus-Dieter Dippel B.Eng.
Ansgar Hande
Ingried Ullmann
Dr. Annedore Wulff B.Sc.
Annelies Seifert
Kornelius Hornig MBA.
Konstantinos Lindner
Herr Karl Dippel B.A.
Bela Köster
Ernst-Dieter Rörricht B.Eng.
Engin Trub
Gotthard Christoph
Ekrem Pruschke-Jäkel
Korbinian Werner
Lilli Meyer-Reuter
Hanife Ackermann
Wera Klemt
Ludwig Reinhardt
Herr Muzaffer Schäfer
Annelene Adolph B.A.
Patricia Trubin
Mara Vollbrecht B.A.
Cordula Schmiedecke-Wilms
Dipl.-Ing. Wilfried Ortmann
Anni Seidel B.Eng.
Loni van der Dussen B.Sc.
Leonhard Adolph
Esther Ehlert
Gaetano Lübs
Heinz-Werner Briemer B.A.
Prof. Friedo Reuter
Aziz Anders
Ing. Jens-Peter Tschentscher
Tim Sorgatz
Hanno Salz
Ria Stroh
Augustin Ernst
Dr. Slawomir Hande
Aziz Bauer MBA.
Burckhard Caspar
Roselinde Ebert
Judith Boucsein-Aumann
Prof. Kathy Warmer MBA.
Dipl.-Ing. Jaqueline Striebitz
Christoph Löchel B.Sc.
Fatma Seidel B.A.
Urszula Fliegner
Nurten Henschel-Stroh
Mirko Bolander
Dominik Naser B.A.
Cengiz Dehmel
Ing. Thomas Drewes B.A.
Niklas Scholtz
Ing. Petar Wilmsen
Dipl.-Ing. Götz Bloch
Notburga Pechel B.Eng.
Ing. Marten Hering
Vitali Faust B.Eng.
Rahel Hartmann
Josef Butte-Lindau
Ing. Igor Barth
Gerta Klemt
Ismail Junck-Trommler
Danilo Hande MBA.
Adrian Trupp
Phillip Rosemann-Bachmann
Marcella Karz B.A.
Nadeshda Schenk
Maja Fischer B.A.
Leo Roskoth B.Sc.
Ilka Lachmann
Dr. Wilfriede Reuter
Berndt Riehl-Bohlander
Nada Hänel
Aribert Putz
Maja Jungfer
Steven Käster B.Sc.
Senol Heintze-Gerlach
Hans-Georg Anders
Alfons Schleich B.A.
Inga Wieloch
Ing. Ralf Sölzer B.A.
Hellmuth Hörle
Prof. Emil Kruschwitz
Fritz Nerger
Gerhild Beyer
Dr. Gerard Dörr
Elena Ditschlerin
Priska Wende
Jacek Bärer
Otmar Misicher
Steffen Schlosser
Gertrude Bärer
Dr. Agathe Jähn B.A.
Ann Stumpf
Hans-Uwe Noack-Fröhlich
Theresa Caspar
Horst-Peter Faust
Henryk Henk
Adelheid Schmidtke
Conny Fliegner
Ralph Hellwig-Lachmann
Herr Simon Fliegner MBA.
Univ.Prof. Czeslaw Heuser
Leif Christoph
Hannelore Weinhold B.Sc.
Berthold Haase-Trub
Riza Römer
Robin Weinhage B.A.
Anto Niemeier
Dr. Jacqueline Trubin B.Sc.
Götz Budig
Univ.Prof. Fredi Hölzenbecher
Dr. Erkan Stroh
Elise Heinz
Ing. Hanne-Lore Ackermann
Brigitte Knappe
Tino Wagenknecht B.Eng.
Reinhart Jopich
Prof. Jelena Naser
Arzu Stiffel-Drubin
Herr Oliver Stahr
Gottfried Keudel MBA.
Thomas Hänel
Hildburg Dowerg-Pergande
Anni Kraus
Univ.Prof. Edit Ehlert B.Eng.
Pero Gutknecht
Gabi Meister
Dipl.-Ing. Gusti Ditschlerin B.Eng.
Wilma Drub B.Eng.
Roselinde Metz MBA.
Dr. Sandra Mangold B.Sc.
Centa Krebs-Stadelmann
Ing. Leo Schulz
Stanislav Löffler MBA.
Milka Hahn
Miroslawa Gude B.Sc.
Robert Herrmann
Paulo Trommler
Hans-Gerhard Döhn
Univ.Prof. Norma Schleich B.Sc.
Ann Werner-Wilms
Dipl.-Ing. Jan-Peter Mende MBA.
Leonore Hettner-Staude
Annaliese Klingelhöfer
Dr. Daniela Linke MBA.
Anny Dietz
Ing. Brunhilde Albers
Hans-Hinrich Stiffel
Prof. Robert Heintze
Tülay Scholtz
Nada Girschner
Ana Klapp MBA.
Lukas Zirme
Reni Putz-Tintzmann
Dana Köster
Nurettin Börner
Damian Bauer
Urs Matthäi
Ariane Tintzmann
Wolf-Dieter Rudolph-Bruder
Josephine Schweitzer
Prof. Mathias Schmiedt
Beata Stahr
Jonas Budig
Teresa Möchlichen
Zenta Gertz B.A.
Undine Lindner
Olav Gumprich-Täsche
Mike Sölzer
Krzysztof Niemeier-Kostolzin
Damian Söding
Rebekka Lindau MBA.
Dr. Zehra Etzler
Herr Vladimir Zimmer MBA.
Denis Etzold
Univ.Prof. Annekatrin Neureuther B.A.
Evelin Gerlach
Gundi Hiller
