Student
Anastasios Kuhl
Klaus-D. Dippel MBA.
Ing. August Hellwig B.Eng.
Frau Jane Caspar
Carmela Lindau
Freia Lübs
Dr. Mohammed Höfig
Prof. Reza Ebert B.Eng.
Miroslaw auch Schlauchin
Rotraut Ullrich
Herr Rüdiger Ruppersberger
Herr Tino van der Dussen MBA.
Rigo Conradi
Katarina Knappe
Genoveva Gieß
Frank-Peter Bien
Rupert Kallert
Nada Butte
Melita Hein
Alban Dippel
Martine Trupp
Recep Röhricht B.Sc.
Univ.Prof. Karen Etzold B.A.
Dr. Aribert Sontag
Friedhilde Hornig B.A.
Lorenzo Hornig
Branka Hering
Dipl.-Ing. Mariana Mohaupt B.Sc.
Ferenc Trüb B.A.
Janko Schulz-Becker
Gülsen Benthin
Ekaterina Liebelt
Dagobert Bohnbach
Otmar Wende
Annemie Margraf
Vitus Pruschke B.A.
Brunhilde Mälzer-Warmer
Univ.Prof. Theresia Lange MBA.
Dipl.-Ing. Oskar Vogt B.A.
Astrid Dehmel
Prof. Ivonne Boucsein B.Eng.
Gilbert Steuer-Rosemann
Gerda Eberhardt B.Sc.
Benno Ritter
Hannchen Zahn
Jessika Schacht
Frau Hildegart Etzler B.A.
Joachim Rogge
Jakob Seifert
Alina Schmiedecke
Fabienne Dobes-Heuser
Flora Gotthard
Herr Wolfhard Hövel
Guiseppe Tschentscher
Harold Bohlander B.Sc.
Stavros Schinke
Stefani Caspar
Adele Stroh
Ing. Janin Winkler MBA.
Emilie Schmiedecke
Gabriel Werner
Sylke Ehlert
Lorenz Kohl
Melissa Dietz
Gerhart Staude
Marcel Oestrovsky
Univ.Prof. Irene Budig
Falko Kusch B.A.
Annegrete Jäkel
Dipl.-Ing. Enver Drubin
Ing. Rolf Gertz
Gülten Röhrdanz
Mirella Löchel
Gerd Beckmann-Gnatz
Ing. Ramazan Kallert MBA.
Dipl.-Ing. Danuta Stumpf B.Eng.
Hanns Bender
Gerwin Salz
Klaus-Dieter van der Dussen
Ing. Louis Eckbauer B.Eng.
Serge Trubin
Giorgio Trüb
Bastian Röhrdanz
Ing. Hans-Walter Ackermann
Wencke Riehl-Stoll
Wenzel Ebert
Roswita Henck
Lisette Mühle
Lisa Rädel-Bender
Francoise Vollbrecht B.Sc.
Magdalena Löwer B.Eng.
Ing. Heinz-Josef Hoffmann
Hans Jörg Koch
Dipl.-Ing. Louis Spieß B.A.
Ing. Konstanze Geisel
Malte Schäfer
Fritz Nerger
Ing. Knud Vogt
Sina Patberg
Prof. Henryk Kitzmann
Prof. Anica Haering B.A.
Manfred Juncken
Ronny Dippel
Prof. Gundula Dörr B.Sc.
Klaus Lorch-Graf
Irmgard Weinhage-Wieloch
Frau Camilla Kruschwitz
Edda Jungfer
Undine Scheibe-Stey
Marita Henk
Univ.Prof. Veli Etzler
Antonina Wagner
Alwine Riehl
Prof. Ana Textor
Univ.Prof. Therese Hänel
Anne-Rose Klapp-Jockel
Daniela van der Dussen B.Eng.
Gaetano Paffrath
Dipl.-Ing. Virginia Käster
Raymund Thanel
Patrizia Spieß
Univ.Prof. Philip Kranz B.Sc.
Hans Dieter Stahr
Frau Pascale Hettner B.Eng.
Dipl.-Ing. Adriana Geißler
Ottfried Peukert-Schulz
Ralf-Dieter Kroker
Raimund Hande
Alicia Kroker
Erica Schlosser
Katerina Bolzmann B.Eng.
Gerard Förster
Woldemar Jacob B.A.
Trudel Bloch
Herr Peter-Michael Kensy B.Sc.
Ing. Carolin Matthäi
Mohammad Karz MBA.
Monika Hornich MBA.
Achim Etzold MBA.
Gilda Rohleder
Gotthard Christoph
Univ.Prof. Dragan Thies MBA.
Beatrix Gehringer
Natalie Bender MBA.
Dipl.-Ing. Janet Ruppersberger
Frauke Dörschner
Gunhild Stroh-Jacob
Lisbeth Karge
Cornelia Römer
Ismet Kroker
Karl-Dieter Speer
Univ.Prof. Lisbeth Köhler
Karl-Georg Sontag B.Sc.
Irmtrud Schmiedt B.Sc.
Adele Boucsein B.Sc.
Prof. Apollonia Gerlach B.Sc.
Dipl.-Ing. Rudi Wiek B.Eng.
Nermin Jopich
Janet Jüttner
Calogero Seip
Marta Herrmann
Maurizio Eckbauer
Heinz-Otto Hermighausen
Clemens Barth
Reingard Jungfer
Carmine Schacht
Elisabeth Wieloch-Boucsein
Prof. Constance Austermühle B.Sc.
Paul-Gerhard Hein
Dr. Angelica Trüb
Antje Drub
Herr David Löchel B.A.
Czeslaw Fiebig
Paulo Trommler
Kevin Tlustek-Heinz
Ing. Antonius Jacobi Jäckel MBA.
Ing. Siglinde Speer MBA.
Erhardt Heidrich
Edda Gertz B.Eng.
Karlfried Sorgatz
Ing. Margarete auch Schlauchin MBA.
Friedhilde Dobes
Frau Theodora Hettner B.A.
Sami Mans-Ullrich
Heino Lindau B.Eng.
Prof. Liane Jungfer
Monica Drub-Davids
Rosina Ortmann
Wenzel Wilmsen
Geert Schuchhardt
Judith Hering B.A.
Lioba Söding
Univ.Prof. Milan Hande
Reinhard Beckmann
Prof. Svea Putz MBA.
Herr Herbert Dowerg
Ing. Alma Rudolph B.Sc.
Ingmar Beckmann
Theo Henschel
Annita Jähn
Dipl.-Ing. Margarita Stey
Dr. Marija Stiebitz
Wojciech Girschner B.A.
Bruni Vogt MBA.
Heimo Förster
Univ.Prof. Leni Bonbach
Marvin Kabus B.A.
Katharine Renner
Natalie Carsten B.A.
Hans-Jochen Stolze
Kenan Wulff-Plath
Josip Kuhl
Dipl.-Ing. Mirella Franke MBA.
Regine Sorgatz
Benita Juncken
Friedl Hölzenbecher-Eberth
Alina Finke
Hans-J. Atzler
Henriette Sager
Louise Jessel
Prof. Gerda Barkholz MBA.
Univ.Prof. Almuth Cichorius B.Eng.
Ellen Hahn-Spieß
Prof. Arif Mielcarek B.Eng.
Traudel Loos
Dipl.-Ing. Bernhardine Heß
Prof. Berend Käster B.A.
Herr Imre Kohl
Nuri Jopich
Univ.Prof. Melita Langern
Dr. Friedhilde Adler MBA.
Domenico Kade B.A.
Prof. Grete Müller
Christoph Löchel B.Sc.
Christl Pölitz
Kamil Hendriks
Wolfhard Fiebig
Mercedes Kobelt MBA.
Dipl.-Ing. Apollonia Steuer
Hella Pergande MBA.
Prof. Volkmar Wirth B.Eng.
Alois Römer-Becker
Sonia Säuberlich-Langern
Ing. Leni Rosenow B.Eng.
Ing. Henrike Kramer
Horst-Dieter Gude
Jakob Pohl
Gisela Hornich-Metz
Trudi Kranz B.Eng.
Tina Radisch
Dr. Jann Wesack B.A.
Kira Tschentscher MBA.
Dr. Wencke Junken B.Eng.
Karl Heinz Stiebitz
Herr Arnulf Kohl
Rico Cichorius
Dr. Daniela Linke MBA.
Renate Bärer
Tino Gnatz
Herr Burkhardt Bauer B.Eng.
Frau Dora Rosemann B.A.
Alena Seip
Prof. Marijan Hoffmann
Philip Mangold
Kristian Anders B.Sc.
Prof. Miguel Dowerg B.A.
Beatrix Scheibe B.Sc.
Stephan Warmer B.Eng.
Nils Hermighausen
Gisela Paffrath
Ernestine Trommler
Dipl.-Ing. Miguel Bärer
Emmy Bohnbach
Hans-Hermann Hande
Annaliese Klingelhöfer
Eugenia Stey
Ursula Löffler
Dipl.-Ing. Engin Jähn B.A.
Frau Natalija Stey
Kathi Wesack
Ivanka Berger-Kraus
Vito Davids-Schwital
Verena Hornich
Geraldine Reising MBA.
Gabi Heinz
Viktor Kusch
Ignatz Börner
Dorothea Weihmann
Tülay Schmidtke B.Sc.
Brian Lehmann B.Eng.
Elizabeth Schlosser B.A.
Uschi Trüb
Harriet Rohleder
Christos Ruppert B.A.
Ing. Katarzyna Noack
Celal Pohl
Edmund Schmidt-Fliegner
Helen Dehmel
Muharrem Rosemann-Heidrich
Hans-Theo Thies
Andree Budig B.Eng.
Dipl.-Ing. Lucia Renner B.A.
Heiner Pieper
Marcella Holzapfel
Aleksej Lehmann
Natali Löffler
Antonios Walter
Francisco Budig-Geisler
Sibilla Mälzer
Univ.Prof. Kirstin Killer B.Eng.
Edelbert Stey-Scholz
Siegmar Kramer
Dipl.-Ing. Alla Karge
Hans-J. Bolander
Horst-Günter Renner
Magdalene Mude
Janus Jessel-Hermann
Romy Etzold
Dr. Samuel Dobes B.Sc.
Zofia Schönland B.Sc.
Ing. Leopold Hoffmann
Stilla Dobes
Frau Danica Davids B.A.
Geza Bloch-Mühle
Ullrich Preiß
Arnulf Säuberlich
Dolores Conradi
Rosita Peukert-Scheibe
Ing. Alberto Schlosser
Georgios Neuschäfer
Nicolaus Seifert B.A.
Diethard Trommler
Wolf Martin
Dörthe Mitschke-Holt
Ing. Toralf Wiek
Heinz-Günter Schuster
Dr. Damian Scheel
Herr Darko Gutknecht MBA.
Yvette Margraf-Wernecke
Stanislaw Misicher
Viola Sager
Patricia Schäfer
Mirjam Stumpf
Jörn Barth-Möchlichen
Gerd Becker
Henny Herrmann
Univ.Prof. Czeslaw Tröst
Konstantin Eimer-Lehmann
Burkard Schlosser
Ilja Preiß
Friedrich-Wilhelm Höfig-Johann
Prof. Friedo Reuter
Carina Kusch
Peter Rohleder
Adelinde Geisler
Leonardo Vogt
Prof. Bärbel Ladeck B.Eng.
Bertram Caspar
Herr Rupert Jüttner MBA.
Eileen Geißler
Walther Hofmann
Victoria Hiller
Knut Jacob
Dr. Theodor Sager
Maria Hellwig
Marcella Höfig
Vladimir Patberg-Weller
Gabriela Girschner
Adelheid Schinke
Dr. Elvira Cichorius B.A.
Gertraude Salz-Gnatz
Antonie Fischer-Margraf
Prof. Auguste Scholz
Marieluise Kruschwitz
Lars Walter
Lieschen Rörricht
Univ.Prof. Paul-Heinz Heinz
Thorben Henk-Mende
Rocco Rosemann B.A.
Esther Eberth-Kensy
Lidija Pärtzelt
Bartholomäus Trapp
Hasso Zahn
Edith Kostolzin
Frau Heidelore Gehringer
Marjan Pölitz B.Eng.
Mercedes Rädel-Drub
Eckehard Wernecke
Gunhild Ullmann
Ing. Ramazan Kabus B.Eng.
Ben Ullmann MBA.
Dana Löwer MBA.
Ing. Alf Lachmann
Antonia Mohaupt
Tobias Mühle
Fredo Bärer
Vincenzo Zirme
Frau Wendelin Heinrich B.Eng.
Ing. Willfried Kostolzin
Marcella Ehlert
Heinz-Günther Mosemann
Undine Jopich
Milos Kuhl B.Sc.
Univ.Prof. German Rörricht
Univ.Prof. Nurten Neuschäfer MBA.
Herr Augustin Thies B.A.
Anne-Kathrin Ortmann
Vesna Wähner
Albrecht Rust-Heinrich
Gislinde Klapp B.Sc.
Dr. Cengiz Säuberlich
Ing. Canan Gutknecht B.A.
Kunigunda Reising
Univ.Prof. Jeannette Schleich B.Sc.
Mira Rohleder
Maxim Wilms-Meister
Karl-Peter Heser
Desiree Klotz
Saskia Heidrich
Herr Klaus Peter Krause B.A.
Emilie Schmidt-Gröttner
Dipl.-Ing. Grete Stiebitz
Dagmar Dussen van
Prof. Hans-Hinrich Schmidt
Milos Trüb
Herr Dietrich Gotthard B.A.
Gisbert Christoph
Dipl.-Ing. Rüdiger Otto B.A.
Aleksander Klapp-Sauer
Univ.Prof. Sibylle Zirme B.Sc.
Hajo Ziegert-Noack
Frida Süßebier
Magret Mans
Univ.Prof. Amalia Köhler
Dietrich Adolph MBA.
Dipl.-Ing. Tina Kranz MBA.
Albert Seifert MBA.
Jadwiga Karge
Stefania Möchlichen
Gotthilf Gertz
Meryem Graf-Lange
Mario Bärer
Mia Ullmann
Pius Gierschner-Weitzel
Hatice Jessel
Franziska Beer
Thilo Berger
Univ.Prof. Alexei Mülichen MBA.
Magret Bähr
Wilfried Börner
Clarissa Buchholz
Damian Bauer
Sigmund Heydrich
Hans-Martin Kambs
Johann Oestrovsky
Anica Tintzmann B.Eng.
Univ.Prof. Baptist Mende MBA.
Gertraud Jüttner
Lothar Ladeck
Erkan Beier
Dipl.-Ing. Georgine Adolph B.Eng.
Frau Emma Kaul B.Eng.
Leonardo Rogge
Ing. Cosimo Steinberg
Hans-Dieter Scholl
Ole Süßebier MBA.
Emine Haase B.A.
Tobias Liebelt
Ing. Margot Bonbach B.Eng.
Dr. Arzu Martin B.Eng.
Inna Schulz
Krista Bohnbach
Waltraud Trapp-Pechel
Dr. Vitus Franke
Gisa Atzler
Hannah Jacobi Jäckel
Melissa Stey
Sara Rogge
Ing. Hedi Wulf
Brian Preiß
Ing. Ben Lindau MBA.
Luis Ackermann
Univ.Prof. Sonja Hande MBA.
Natascha Gotthard
Susi Hendriks
Inken Juncken
Romuald Kambs MBA.
Dr. Daniel Trommler
Burghard Davids
Almuth Rosenow-Schönland
Dr. Hans-Herbert Losekann B.A.
Janusz Rädel B.Sc.
Miroslawa Jessel B.Sc.
Dipl.-Ing. Heinz-Otto Jähn
Greta Baum
Helga Mosemann-Hecker
Herr Jerzy Drub
H.-Dieter Mülichen B.A.
Peter-Michael Kostolzin
Hüseyin Stahr
Univ.Prof. Henryk Kostolzin
Carola Franke
Herr Kurt Weitzel B.Sc.
Annelene Möchlichen-Weiß
Sandy Haering
Bertram Segebahn
Lukas Juncken MBA.
Sami Mitschke
Hans-Wolfgang Harloff
Angelica Lindau-Heß
Elly Hande
Dr. Frieda Metz
Dr. Ehrhard Gieß B.Sc.
Hartwig Sorgatz B.Eng.
Ilias Weiß MBA.
Ing. Tanja Scheibe B.Eng.
Prof. Tania Grein Groth
Hans-Gerhard Staude
Paola Kroker-Klotz
Erich Klotz B.Sc.
Claus Jähn B.Eng.
Dipl.-Ing. Sigrid Hahn
Georgia Liebelt
Ing. Roy Dippel B.A.
Irmtraut Haase-Hendriks
Bianka Holsten
Ivo Wesack B.Sc.
Corinna Täsche B.A.
Freia Hamann-Eckbauer
Mariusz Baum
Bernt Jessel
Bernhard Fischer
Dipl.-Ing. Astrid Kade
Philomena Bloch
Ben Schomber
Univ.Prof. Lydia Langern
Gaby Noack
Frieder Austermühle
Anastasios Drub
Felicia Flantz-Lehmann
Branka Mentzel
Anatolij Steinberg
Elfie Kreusel
Dietlinde Käster
Dipl.-Ing. Patric Fröhlich
Franco Radisch
Herr Hans-Detlef Grein Groth
Darius Gieß
Elias Langern
Daniel Zänker
Dina Schmidtke
Marlene Heuser-Trub
Karl Heinz Hörle
Dr. Matthias Niemeier
Hans-Dietrich Fliegner
Univ.Prof. Cläre Weihmann B.A.
Friedlinde Mühle B.A.
Miroslaw Holt
Kristian Meyer
Carsten Wieloch-Kranz
Dipl.-Ing. Angelina Mälzer B.Eng.
Prof. Oswald Ehlert MBA.
Stavros Vollbrecht-Geißler
Marek Mitschke B.Sc.
Dipl.-Ing. Mathias Metz B.A.
Gabriel Klotz
Emma Briemer B.Eng.
Adriane Gröttner
Ladislaus Stadelmann
Thorsten Kensy B.Eng.
Prof. Rudolph Linke
Univ.Prof. Kathi Noack B.Eng.
Robin Weinhage B.A.
Ing. Gerold Mende
Arzu Stiffel-Drubin
Freia Kraushaar B.A.
Sibel Hörle
Ron Dobes-Weihmann
Anke Hettner
Dariusz Rädel
Univ.Prof. Ricardo Sorgatz B.A.
Herr Swen Kraushaar B.A.
Veronique Oestrovsky
Engelbert Sauer MBA.
Prof. Sahin Kreusel
Arno Ullmann
Tibor Budig
Stephen Reichmann
Wilfried Radisch
Wilma Drub B.Eng.
Kai-Uwe Rogner
Nico Hartung-Linke
Aleksander Dowerg
Hartmuth Gude B.Eng.
Torben Säuberlich-Linke
Arnulf Ullmann
Stanislav Reuter
Agnes Tröst
Aysel van der Dussen-Jäntsch
Gudrun Rörricht
Ilias Seip
Tomislav Schüler
Stephen Ackermann B.A.
Dajana Ring
Roger Wagenknecht
Zofia Gumprich
Univ.Prof. Ferenc Knappe B.Sc.
Hertha Stoll
Prof. Ingeborg Noack
Sieghard Sorgatz
Artur Berger
Cynthia Langern
Slawomir Ortmann
Univ.Prof. Metin Martin B.Sc.
Marijan Huhn
Dipl.-Ing. Gertraut Stolze
Edmund Scholtz B.Sc.
Kazim Hörle
Ehrenfried Seidel MBA.
Dipl.-Ing. Iris Stumpf MBA.
Sylvie Neuschäfer
Hans-Joachim Pohl
Ute Conradi-Trüb
Pero Römer
Prof. Helmut Hellwig MBA.
Hildegunde Dörr
Fatima Eckbauer-Rosemann
Sibilla Bachmann
Alicja Gieß
Dr. Jonas Fechner
Klaus-Michael Fiebig
Hansgeorg Klotz
Cecilia Scholz-Barth
Clara Mans
Laura Wilms
Clara Stroh
Nina Putz-Ritter
Magdalena Gude
Carmelo Weinhold
Frau Elfi Winkler MBA.
Wilfriede Blümel
Erhard Otto
Herr Gerolf Hermann B.Eng.
Jasmina Heuser
Romuald Hartmann
Susi Grein Groth-Steuer
Nikolaos Ebert-Grein Groth
Dipl.-Ing. Cora Baum
Franziska Hörle B.Sc.
Carolin Stumpf B.Eng.
Bernhardine Schuchhardt
Ing. Karl-Peter Weinhold B.Sc.
Danuta Kreusel
Univ.Prof. Alexa Junitz B.Eng.
Elsbeth Schmiedecke-Wulf
Hasso Renner
Matthäus Hübel
Jann Cichorius
Michaela Kade
Emmy Koch
Eugenia Riehl
Robin Junk-Henk
Jessica Schottin
Carolin Siering
Marcel Hermighausen
Univ.Prof. Gunter Kaul
Univ.Prof. Arne Hoffmann
Lidija Löchel B.A.
Univ.Prof. Ottfried Scholl
Dipl.-Ing. Babette Bauer B.Sc.
Concetta Wohlgemut
Gerhart Davids B.A.
Lilija Ruppert
Denis Etzold
Anett Wieloch
Lidwina Jockel
Ing. Jeanette Rosemann B.Eng.
Thea Nette
Zbigniew Weinhage
Prof. Klaus Peter Bruder
Hans Kraus
Gunther Tschentscher
Liesa Wilms B.A.
Horst-Peter Faust
Dr. Bernfried Bärer
Hans-Uwe Sager
Sybilla Herrmann-Pärtzelt
Nelli Stiebitz
Thorben Stiebitz
Prof. Karl-Friedrich Geisler B.A.
Annika Pieper B.A.
Wulf Kusch
Ignatz Gutknecht
Radmila Linke MBA.
Ernst-Dieter Rörricht B.Eng.
Vladimir Kruschwitz
Irene Rogner
Anna-Marie Steckel
Heinz-Joachim Stiebitz
Bianka Dobes-Seifert
Hans-Günther Wilmsen
Jurij Bärer
Frau Änne Gunpf B.Sc.
Arnfried Lorch B.A.
Dina Rose
Dagobert Hornig
Ing. Rotraud Schmidt
Rene Lindau-Jäkel
Alexej Röhrdanz
Pamela Mies B.Eng.
Emma Sauer B.Eng.
Dipl.-Ing. Gunnar Rohleder B.Sc.
Dr. Silvio Täsche
Ing. Anna-Maria Stey
Erik Trupp MBA.
Dipl.-Ing. Traudel Eigenwillig
Stella Mülichen
Jeannine Heinz-Tlustek
Univ.Prof. Dolores Rust
Hermine Eberhardt
Leif Christoph
Mattias Sorgatz-Haase
Sigmund Kensy
Maria-Theresia Tschentscher
Matthias Hendriks-Koch
Ing. Nelli Hornig
Univ.Prof. Gunda Höfig
Dipl.-Ing. Ingbert Krebs B.Eng.
Ing. Natalie Oderwald B.Sc.
Hans-Otto Trubin B.Eng.
Herr David Freudenberger B.Eng.
Stella Barth
Dr. Emin Dietz B.Sc.
Univ.Prof. Halina Hamann MBA.
Ferenc Bolzmann-Girschner
Eleni Krause B.A.
Sina Mende
Marit Weller
Frau Corinna Wähner
Ing. Karin Werner
Siegmar Mies-Baum
Willibald Gude
Marianna Segebahn-Wernecke
Berthold Rudolph
Dr. Burkard Bolzmann B.A.
Univ.Prof. Philippe Thies B.Eng.
Dr. Sonia Hornich B.Eng.
Nicolas Tschentscher
Selim Pieper
Herr Gisbert Langern
Hans D. Kusch B.Sc.
Czeslaw Jacob B.Eng.
Christian Jacobi Jäckel
Univ.Prof. Anika Pärtzelt MBA.
Ing. Wenke Karge B.Sc.
Celal Mühle
Dr. Hans-Hermann Rosemann B.A.
Marvin Kade-Ladeck
Verena Höfig
Prof. Anka Schulz
Birger Klapp
Aloys Trupp
Dr. Jane Kostolzin
Caroline Wende
Gusti Vollbrecht
Elfriede Gnatz
Silvia Eberth
Patrizia Biggen
Ursula Jacobi Jäckel
Nadeshda Schenk
Dr. Karl-Ludwig Stoll MBA.
Frank-Peter Haase
Gunhild Zimmer
Dr. Meinhard Hiller
Charles Anders
Jan Gumprich
Wolfram Klingelhöfer B.Eng.
Sibilla Eimer
Ing. Igor Barth
Birgitt Seip-Klemm
Ing. Marten Hering
Helga Franke
Jane Patberg
Rolf-Dieter Preiß
Siegrid Bachmann-Schaaf
Brita Schwital
Ignaz Schottin
Silvester Scheibe
Karl-August Reichmann B.Sc.
Friedemann Stoll
Univ.Prof. Margitta Wagenknecht B.Eng.
Giovanna Zobel-Liebelt
Carin Binner
Ahmet Stumpf
Henrik Hein B.A.
Irene Stumpf
Katharina Etzler
Prof. Heinz-Peter Thies
Univ.Prof. Othmar Geisel
Jonas Löchel
Prof. Tillmann Holt B.A.
Bert Ortmann
Betti Adolph
Marek Adler
Kenneth Kramer
Emil Grein Groth
Dr. Gerhart Käster
Franz Josef Girschner
Lambert Gehringer
Sebastian Karge
Stefanie Hertrampf MBA.
Alessandro Werner
Vanessa Hornig
Egbert Bender
Univ.Prof. Virginia Pechel
Willfried Werner
Petar Hamann
Ing. Madlen Beier B.A.
Käthe Hande
Heino Schönland-Hermann
Hanno Hölzenbecher B.Sc.
Gerhild Gude
Silvester Etzold
Dipl.-Ing. Lotte Austermühle B.A.
Evangelia Misicher
Oscar Nerger
Karlfried Karge-Wieloch
Timm Oderwald
Sara Johann
Slavko Fliegner B.Sc.
Ing. Liesa Zirme
Prof. Antonia Mielcarek B.Eng.
Annelene Steinberg
Victoria Werner MBA.
Waltrud Jockel B.Eng.
Ing. Petar Hänel MBA.
Ortrun Pohl B.Eng.
Murat Linke
Jutta Aumann
Heinz-Joachim Kobelt
Ludmila Karge B.A.
Miriam Juncken
Dipl.-Ing. Mara Otto B.Sc.
Herr Jonathan Hänel MBA.
Dr. Wanda Dippel
Bodo Finke
Vlado Hübel B.Eng.
Univ.Prof. Maria-Luise Trüb B.Sc.
Jerzy Hermighausen-Lübs
Milos Seifert
Kordula Drub B.Sc.
Vlado Lindner
Emilia Römer
Heidemarie Köhler
Sükrü Schüler MBA.
Prof. Cäcilia Gertz B.Eng.
Prof. Evelyn Henk
Univ.Prof. Josefine Gerlach
Hartmut Biggen-Trapp
Frau Edda Hornig B.Eng.
Paolo Meister
Jolanta Nohlmans-Tschentscher
Juergen Bähr
Mattias Henk
Laszlo Nerger MBA.
Walli Baum-Kohl
Fabian Pechel-Dippel
Wulf Caspar
Anne-Katrin Höfig
Burkhardt Jäntsch B.A.
Heiner Ruppersberger-Hentschel
Deborah Becker
Herr Bastian Ritter B.Sc.
Linus Schuchhardt
Eva-Maria Zänker
Annelie Metz
Maren Anders
Teresa Jessel
Astrid Dowerg-Stroh
Karla Gunpf
Prof. Wilma Mangold
Ottomar Hermann
Harri Heuser
Mariusz Adler
Julia Heinrich
Vincenzo Lübs
Tatiana Pechel
Zeynep Lehmann
Dr. Reinhilde Thies B.Eng.
Ursel Juncken-Buchholz
Dorle Henck-Sorgatz
Anika Tschentscher
