Student
Hiltrud Klemm
Kathrin Beckmann-Heinz
Ulla Hamann
Ottfried Scheibe-Sauer
Gesine Graf
Daniel Stiebitz
Gertrude Bärer
Dipl.-Ing. Aleksandra Wagner MBA.
Jonas Löchel
Friedbert Sorgatz
Univ.Prof. Diedrich Köhler B.A.
Marzena Neuschäfer
Ann Werner-Wilms
Wilhelm Walter
Siegmar Kramer
Rolf-Peter Rosenow MBA.
Burkhard Schweitzer
Ing. Andrew Nerger
Kirsten Stey B.A.
Dr. Wolf-Rüdiger Trüb
Ben Schomber
Geza Hertrampf B.A.
Gunnar Ernst
Patric Hermighausen MBA.
Helga Franke
Dr. Gerold Dörschner
Dr. Aysel Kohl
Leonardo Trub B.A.
Traudel Loos
Marie-Therese Schleich
Volker Adler
Margareta Trub
Gülay Weinhold
Käthi Löffler
Mercedes Kobelt MBA.
Elfi Roht
Frau Theodora Hettner B.A.
Slawomir Tlustek B.A.
Hans-Albert Lindau
Theodor Niemeier
Prof. Ana Textor
Zbigniew Hahn MBA.
Dr. Ottfried Lachmann B.Sc.
Mona Söding
Dr. Edith Ring B.Sc.
Manuel Stolze MBA.
Wiltrud Wilmsen-Graf
Paolo Schmidt B.A.
Friedericke Ring MBA.
Arndt Bachmann B.Eng.
Britt Gorlitz
Dr. Gerard Dörr
Klaus-Dieter van der Dussen
Ludwina Beer
Rainer Scheel B.Eng.
Gunnar Hornig
Traudl Röhrdanz-Spieß
Pawel auch Schlauchin
Roger Gunpf-Paffrath
Lambert Misicher-Dörschner
Swen Schweitzer B.Sc.
Johan Baum
Burghard Hamann-Dippel
Reinhilde Hesse B.Sc.
René Hölzenbecher-Berger
Univ.Prof. Almuth Cichorius B.Eng.
Prof. Patrik Scheel
Dr. Carmela Rudolph
Adelinde Gumprich MBA.
Angela Hamann
Calogero Staude B.A.
Prof. Ines Kuhl
Univ.Prof. Luisa Scholz B.Eng.
Geraldine Gutknecht
Univ.Prof. Kevin Juncken B.Eng.
Ingelore Heinz
Univ.Prof. Marcella Trüb
Univ.Prof. Anny Stolze
Albin Schuchhardt
Anastasia Gunpf
Karl-Georg Zahn
Herr Hans-Ludwig Steinberg
Dipl.-Ing. Walfried Rosemann B.Eng.
Univ.Prof. Czeslaw Heuser
Aysel Löchel
Denny Kusch
Ada Heser B.Sc.
Eckehard Mude
Prof. Heinz-Willi Hertrampf
Frau Eleni Ziegert B.Sc.
Milica Reichmann
Margareta Schmidt
René Säuberlich B.Eng.
Prof. Gaby Ernst MBA.
Ruth Wiek-Bloch
Univ.Prof. Undine Becker MBA.
Bayram Kostolzin-Rosenow
Gerta Kallert-auch Schlauchin
Klaus-Werner Koch II B.Sc.
Ditmar Pölitz B.A.
Hans-Herbert Eckbauer
Ullrich Preiß
Theda Stumpf B.Eng.
Rainer Gunpf B.Eng.
Alicja Pergande
Brigitte Knappe
Vito Gorlitz
Mohamed Stiebitz-Pärtzelt
Ralph Jacobi Jäckel
Erhardt Loos
Ehrentraud Kroker
Adriane Gröttner
Gebhard Sauer
Josephine Nerger-Mende
Dipl.-Ing. Elisabeth Wiek
Annamaria Hänel-Zimmer
Francisco Harloff
Hertha Caspar MBA.
Siegmar Mies-Baum
Janus Jessel-Hermann
Flora Gotthard
Oda Berger
Ludwina Fritsch
Ildiko Mitschke B.Sc.
Annamaria Margraf
Nick Hermighausen-Krein
Eleni Matthäi
Edeltrud Margraf
Carolin Siering
Dorit Ebert
Tilman Henschel
Dr. Silvio Täsche
Balthasar Kruschwitz B.A.
Suse Hornich
Ing. Toralf Wiek
Miroslaw auch Schlauchin
Senta Weihmann
Vincenzo Jopich
Isa Tlustek
Marianna Karge
Franz Josef Girschner
Alwine Riehl
Sylvana Holzapfel
Dr. Thekla Lindau B.Sc.
Rolf-Dieter Kensy
Kuno Mälzer B.Eng.
Ilonka Döring-Schulz
Sina Barkholz
Frau Käte Zahn
Univ.Prof. Guido Carsten MBA.
Franz Josef Nette-Werner
Gottfried Keudel MBA.
Univ.Prof. Trudel Gierschner MBA.
Damaris Bien
Riza Römer
Dr. Daniela Linke MBA.
Dorle Rädel
Aleksander Drub
Guenter Kohl-Nette
Urs Ebert
Heinz-Günther Mosemann
Giesela Börner B.Eng.
Jo Gnatz
Heide Hesse-Bärer
Adrian Trupp
Karl-Wilhelm Weiß
Claire Junk
Bozena Carsten B.Sc.
Marcella Holzapfel
Klaus-D. Zirme-Bachmann
Uwe Dussen van
Hans-Willi Benthin
Inken Ziegert
Bernhardine Ruppersberger
Heinrich Bohlander-Ullrich
Albert Hartmann-Lachmann
Mira Hoffmann
Raymond Misicher
Dr. Mechthilde Hellwig
Alina Hoffmann
Fredy Birnbaum-Kensy
Univ.Prof. Teresa Weinhage B.A.
Alicja Stiffel
Hedy Kobelt
Romana Wulff
Adem Mühle-Ruppert
Ing. Tomas Fischer B.Sc.
Dajana Ruppert
Hans-J. Tröst MBA.
Frau Conny Klemt
Angela Stiffel
Evi Wilmsen MBA.
Herr Roman Sontag B.Sc.
Philippe Geisler
Sieghard Hahn
Philip Fritsch
Stephan Stolze-Holt
Sieghard Stoll-Harloff
Theresa Caspar
Bertha Heser MBA.
Erdal Bruder
Bekir Fechner
Dipl.-Ing. Jörg-Peter Conradi B.Sc.
Hansgeorg Klotz
Ing. Meik Eberhardt B.A.
Hans-Rudolf Dehmel
Rosa Kobelt
Ing. Jürgen Jopich B.A.
André Kraushaar-Henck
Hülya Stadelmann
Henner Schmidt
Heinz-Otto Geisler B.Sc.
Dr. Jan-Peter Martin B.Eng.
Ing. Gundolf Steinberg B.Sc.
Agathe Gertz-Butte
Gudrun Geisler
Ing. Sebastian Killer B.A.
Herr Bertold Löffler
Karl-Dieter Thies
Enrico Drewes
Bogdan Löffler
Ljiljana Ruppert
Hannchen Zahn
Bernward Fröhlich
Boris Stumpf
Mira Sontag
Aldo Förster
Christel Bärer-Zirme
Holger Gröttner B.Eng.
Gerda Gröttner B.Sc.
Janin Haase
Dipl.-Ing. Emmy Börner
Gloria Bruder B.A.
Univ.Prof. Zofia Rust
Edelgard Neureuther-Vollbrecht
Ottilie Gute
Hans-Helmut Binner B.Sc.
Univ.Prof. Ortwin Geisler MBA.
Dr. Damian Scheel
Brit Anders
Kevin Tlustek-Heinz
Sylvester Bender-Boucsein
Käthi Naser-Tlustek
Jennifer Trapp
Samir Krein B.A.
Kai-Uwe Rogner
Mesut Trommler
Ilja Kitzmann B.A.
Herr Rupert Jüttner MBA.
Friedl Hölzenbecher-Eberth
Frau Ingelore Gertz
Marta Eigenwillig-Hörle
Monja Siering
Hardy Weller
Walentina auch Schlauchin-Albers
Beatrice Bender
Philipp Walter-Löffler
Fatma Möchlichen
Hildegart Weitzel
Erkan Beier
Oskar Rosemann
Ismail Junck-Trommler
Augustin Hoffmann MBA.
Univ.Prof. Lydia Langern
Univ.Prof. Nadja Jacob B.Eng.
Theodor Bolnbach-Kroker
Kornelia Bachmann
Florence Davids
Hermann Josef Schmiedecke
Severin Mende B.A.
Sebastian Aumann
Univ.Prof. Hans D. Ullrich
Prof. Ildiko Adler MBA.
Adam Hölzenbecher-Hettner
Bozena Meyer
Ursel Conradi
Frau Evamaria Geißler
Elfie Jäkel
Herr Darius Heuser
Isabell Eberth-Pechel
Antonina Pärtzelt-Gerlach
Anatol Adler
Dr. Alma Warmer MBA.
Cecilia Stoll
Corinne Berger
Ljiljana Kostolzin
Lissi Rust-Metz
Raimund Gieß
Kemal Heinz
Vesna Bähr
Danny Mälzer
Friedl Hartmann
Oscar Junitz
Renate Franke B.A.
Melitta Salz
Kathrin Johann-Schulz
Karl-Georg Dörschner
Viktoria Trub-Budig
Ralf-Dieter Rörricht B.Eng.
Hulda Neuschäfer B.A.
Anne-Katrin Butte MBA.
Alicja Sorgatz
Edda Klemt
Dr. Reinhilde Thies B.Eng.
Albina Stadelmann
Amalie Gotthard-Beckmann
Heinz Dieter Barkholz
Prof. Wolf-Dietrich Schweitzer MBA.
Melita Schacht
Zofia Roht
Frau Margrit Beckmann
Frau Ellinor Tintzmann
Univ.Prof. Gustav Sölzer
Gerta Stey-Klemm
Milan Holzapfel
Frau Beatrix Bonbach B.A.
Abraham Junken-Beckmann
Gudula Stroh-Bien
Alwine Sager
Liesbeth Huhn
Semra Gorlitz
Jan-Peter Scheuermann-Jungfer
Prof. Sofie Gröttner
Mary Hofmann B.A.
Ing. Selim Tintzmann B.A.
Asta Mielcarek-Blümel
Elwira Pölitz B.Sc.
Univ.Prof. Edit Ehlert B.Eng.
Ramon Salz
Dr. Stefania Gnatz
Maren Anders
Denis Ruppersberger
Till Tlustek
Helmut Renner
Univ.Prof. Melita Langern
Jerzy Hermighausen-Lübs
Jeanette Mälzer
Dr. Lidwina Oestrovsky
Prof. Hermann Josef Söding
Hans-Rudolf Fröhlich
Univ.Prof. Bela Kraus
Darius Kallert
Univ.Prof. Othmar Geisel
Prof. Mario Butte
Dipl.-Ing. Lieselotte Trüb B.A.
Kuno Kreusel
Univ.Prof. Halina Hamann MBA.
Sigurd Holsten B.Sc.
Dr. Alwina Lorch MBA.
Maria-Luise Schaaf
Birgitt Seip-Klemm
Leokadia Karge
Calogero Hoffmann B.Eng.
Mehmet Sauer
Univ.Prof. Niklas Mohaupt MBA.
Kornelius Heintze-Baum
Prof. Volkmar Heuser
Anatoli Anders
Diether Dussen van-Rohleder
Bodo Martin
Malte Schäfer
Hanne Gierschner
Dorle Knappe
Dusan Dussen van
Stella Barth
Jolanda Rose
Lorenzo Zänker
Konstantinos Linke B.Eng.
Ekkehart Grein Groth
Jens-Uwe Schlosser
Ing. Jeanette Rosemann B.Eng.
Urban Klemt
Selma Fritsch B.Eng.
Henri Wilms
Alois Knappe
Dipl.-Ing. Slobodan Sölzer
Jann Geisler
Anna-Marie Heidrich
Ing. Monika Ullrich
Almuth Haase
Hedi Gumprich
Calogero Seip
Gudrun Heß B.Sc.
Tibor Bolzmann MBA.
Edda Jungfer
Guido Pieper
Amanda Eimer B.Sc.
Prof. Arnold Caspar B.A.
Ekaterina auch Schlauchin
Sören Etzler
Ilija Fischer
Irmtrud Pohl
Gundolf Schomber-Hellwig
Wolfhard Rosemann B.Eng.
Beate Nette
Danielle Ritter B.Eng.
Marian Hande
Gabriela Freudenberger B.A.
Denny Salz
Prof. Lene Oestrovsky B.Sc.
Thies Pergande
Annamaria Scholtz
Heinz-Gerd Gorlitz B.Eng.
Antonina Wagner
Univ.Prof. Ricardo Sorgatz B.A.
Dorina Weinhold
Raissa Gehringer-Putz
Bernt Conradi
Wilfriede Blümel
Dana Jäntsch
Gerfried Dippel
Gretel Hande
Ronald Stiebitz
Rosina Klotz B.A.
Dipl.-Ing. Tina Wagenknecht MBA.
Magret Mans
Janette Kallert
Evelyne Beyer
Katja Heidrich
Maria Hellwig
Aribert Herrmann
Frau Camilla Kruschwitz
Univ.Prof. Sergio Kreusel MBA.
Prof. Knud Salz
Centa Bohlander-Stiebitz
Karl Heinz Kruschwitz-Reising
Ryszard Lorch
Herr Alwin Sager B.A.
Dina Koch
Hans-Herbert Harloff
Karsten Wohlgemut
Gereon Trapp
Irmi Zobel
Univ.Prof. Erhard Heuser MBA.
Josef Langern
Mirella Löchel
Simon Meyer
Horst Reising
Dr. Patrizia Dörschner B.A.
Burkhardt Holt
Dr. Helma Kohl B.A.
Karl-Dieter Segebahn-Köster
Dr. Ian Grein Groth
Ing. Justina Fiebig
Georgios Knappe-Mälzer
Ottokar Fliegner
Theresia Liebelt
Gaetano Köhler
Klaus-Peter Zorbach
Univ.Prof. Josip Hartung
Christiane Blümel
Peter Rohleder
Marcel Schlosser
Ing. Christiana Seip
Frau Aleksandra Dobes B.A.
Oxana Schmidtke
Lara Oderwald
Konstantin Rogner
Univ.Prof. Jeannette Schleich B.Sc.
Silja Jüttner
Benita Ullmann
Arif Heinrich
Anneli Schleich-Ullmann
Sibilla Eimer
Ignatz Gutknecht
Univ.Prof. Margrit Davids B.Eng.
Marc Henck B.Eng.
Kriemhild Junk MBA.
Malte Herrmann-Zänker
Uli Zimmer
Janin Hermann
Catrin Caspar
Mike Hofmann
Louis Loos B.Eng.
Christopher Gertz-Kade
Kristina Röhricht
Ing. Siglinde Speer MBA.
Ralph Stahr
Faruk Hoffmann
Catharina auch Schlauchin
Enrico Kobelt-Klemt
Prof. John Jessel
Anne-Kathrin Bachmann
Marko Renner
Sandra Hornig
Peer Jähn
Cilli Röhricht
Hanni Wieloch
Krzysztof Niemeier-Kostolzin
Vadim Bender B.A.
Dipl.-Ing. Wilfried Ortmann
Lilly Naser
Karl-Otto Putz
Clara Ruppersberger
Karl-Peter Heser
Magrit Lange
Univ.Prof. Arne Hoffmann
Herr Ansgar Gnatz
Maria-Theresia Scholl
Thilo Berger
Dr. Valentin Eigenwillig
Hans-Adolf Mosemann B.A.
Univ.Prof. Undine Jungfer
Herr Benedikt Säuberlich
Kilian Austermühle B.A.
Ing. Willi Warmer B.Eng.
Marcel Hermighausen
Bernard Karge
Hans-Martin Kohl
Nancy Karz-Bolzmann
Gertraude Pärtzelt MBA.
Univ.Prof. Gretl Langern B.A.
Dörte Schlosser
Nikolai Haase B.Sc.
Univ.Prof. Claus-Dieter Dippel B.Eng.
Univ.Prof. Hans-Dietrich Grein Groth B.A.
Ernest Schönland B.Eng.
Hans Josef Striebitz
Gertraude Salz-Gnatz
Freia Buchholz
Ing. Hanny Noack MBA.
Karl-August Reichmann B.Sc.
Univ.Prof. Erna Köhler B.A.
Leonardo Klingelhöfer B.Sc.
Hella Pergande MBA.
Elias Langern
Senol Hölzenbecher
Karen Hendriks
Jacek Bärer
Francisco Schmidtke-Albers
Rüdiger Heinrich
Trudel Bloch
Bekir Bonbach
Marko Trupp
Irmi Schacht
Renate Bärer
Torben Hartung
Gudrun Rörricht
Heidelore Stolze
Dr. Arzu Martin B.Eng.
Univ.Prof. Brigitte Rogner
Gerhart Hentschel
Franjo Junitz-Hahn
Meike Berger
Dipl.-Ing. Edda Barth MBA.
Dr. Annelene Hamann
Eva-Maria Eberth B.A.
Kati Radisch
Helmtrud Gerlach
Kazim Rohleder
Olav Gumprich-Täsche
Darius Loos
Anny Dietz
Karoline Römer
Hanife Ackermann
Prof. Emil Kruschwitz
Alicia van der Dussen-Patberg
Saban Hendriks
Piotr Speer-Seifert
Gisela Hornich-Metz
Ursula Löffler
Markus Albers
Edit Martin B.Sc.
Dr. Rotraud Gorlitz
Joana Preiß
Marco Kostolzin-Bruder
Dipl.-Ing. Gerold Kusch B.Eng.
Jann Schleich
Prof. Pascale Kruschwitz
Herta Hendriks
Prof. Horst Mälzer B.Sc.
Daniel Zänker
Dipl.-Ing. Jens-Peter Dippel MBA.
Konstanze Mohaupt
Dipl.-Ing. Melanie Kreusel B.A.
Mehmet Löwer-Trupp
Damian Hentschel
Dipl.-Ing. Eberhardt Fechner
Eva-Marie Berger MBA.
Univ.Prof. Francesco Schulz B.Eng.
Prof. Emine Wulf B.Eng.
Halil Löwer
Arndt Weinhold MBA.
Irmingard Meyer MBA.
Ivana Wilmsen-Gumprich
Ing. Britt Trupp B.Eng.
Jörn Barth-Möchlichen
Volker Süßebier-Staude
Herlinde Birnbaum
Marie-Louise Wulff
Gilbert Steuer-Rosemann
Hans-Günther Wilmsen
Harm Hein
Stefani Caspar
Uwe Sorgatz
