Student
Herr Karl Dippel B.A.
Ing. Bernard Schleich B.Sc.
Ing. Willi Warmer B.Eng.
Gislinde Lehmann
Heiderose Bärer
Denis Weimer
Prof. Klaas Geißler B.A.
Frau Katarina Bolander B.Sc.
Falko Klemm B.Sc.
Beatrice Fechner
Adelinde Gumprich MBA.
Lea Heuser
Victoria Hornig
Iris Kraushaar B.Sc.
Roderich Ehlert-Henk
Victoria Werner MBA.
Brian Dussen van
Anna-Lena Sontag-Köhler
Danny auch Schlauchin
Alena Holzapfel
Elsa Sontag
Prof. Ferdinand Gertz B.Sc.
Univ.Prof. Ilja Hentschel MBA.
Carsten Jüttner B.Eng.
Herr Filippo Rosemann B.A.
Bruni Meister B.Sc.
Heinz-Jürgen Adolph
Charlotte Hecker B.Eng.
Ferdinand Junck-Hölzenbecher
Jeannette Heuser
Wolf-Dietrich Gotthard-Dussen van
Aneta Schlosser-Köster
Gönül Kallert
Univ.Prof. Bela Kraus
Heinz-Peter Butte B.Eng.
Dr. Hans-Herbert Losekann B.A.
Slobodan Hauffer
Claus Juncken
Sibylle Stey
Gebhard Krein
Eberhard Rust B.A.
Aleksander Wagner-Barth
Hans Dieter Fiebig B.Eng.
Elias Langern
Traudel Loos
Hanne Gierschner
Solveig Scheibe
Adele Stroh
Frau Clarissa Rosenow B.A.
Ing. Paolo Meister
Slawomir Drub-Gute
Margareta Dörschner B.Sc.
Margarete Mohaupt B.Sc.
Marek Schenk B.A.
Dipl.-Ing. Christoph Jockel B.Sc.
Frau Gülay Rogner B.A.
Bianka Holsten
Annaliese Hettner B.A.
Rita Käster B.A.
Theodoros Vollbrecht-Gutknecht
Milka Hahn
Ing. Torben Hande MBA.
Adriane Gröttner
Robert Budig-Ullmann
Alicja Pergande
Osman Liebelt
Wolf-Rüdiger Börner
Univ.Prof. Jürgen Weiß
Frau Anja Haering
Univ.Prof. Traude Gertz
Ing. Ralf Sölzer B.A.
Gino Häring
Gerhild Gude
Anatoli Anders
Lissy Dippel
Leila Hethur
Hannes Patberg
Dipl.-Ing. Mariechen Bonbach
Univ.Prof. Trudel Gierschner MBA.
Dominik Naser B.A.
Prof. Oswald Ehlert MBA.
Helma Zorbach
Mara Roht
Anthony Bonbach
Ing. Mohammed Geißler B.Eng.
Patrick Haering
Kunibert Trommler-Renner
Ellen Hahn-Spieß
Cäcilie Patberg
Conny Zirme B.Sc.
Pierre Köster
Frau Käte Zahn
Deborah Etzler
Rosina Klotz B.A.
Brunhilde Heinz MBA.
Mia Roskoth
Ahmet Pärtzelt
Ing. Sibel Mies
Anneliese Wähner
Alicja Gieß
Anne-Rose Sorgatz
Frau Mirjana Baum B.Sc.
Hiltraud Köster MBA.
Reinhold Hellwig-Mülichen
Hannelore Weinhold B.Sc.
Frau Natalija Stey
Marijan Huhn
Dr. Matthias Niemeier
Athanasios Bloch
Isidor Niemeier
Joerg Fritsch-Pieper
Wilfriede Blümel
Hiltrud Bolander-Ziegert
Anselm Mühle
Herr Bertold Löffler
Jasmina Koch MBA.
Dr. Tim Hornig B.Sc.
Dr. Paulina Textor B.A.
Dr. Lisa Kusch
Selma Fritsch B.Eng.
Siegrun Reichmann
Wilhelm Klemm B.A.
Philip Weller B.A.
Ing. Eugenie Kreusel MBA.
Ing. Ahmet Häring
Brigitte Geisler
Margareta Klingelhöfer
Florian Finke
Igor Zobel B.A.
Friedrich Austermühle-Döring
Univ.Prof. Harro Weller
Heribert Kensy
Ing. Swen Sorgatz B.Eng.
Herr Simon Fliegner MBA.
Dipl.-Ing. Klaus Geisler
Fatima Heser B.Eng.
Herr Steven Eberhardt
Lena Dowerg
Hardy Weller
Frau Evelin Löffler
Hans Jürgen Grein Groth-Rudolph
Klemens Förster
Dipl.-Ing. Gudula Margraf B.Sc.
Julia Mosemann
Univ.Prof. Heinz-Dieter Schuster
Wolfgang Beier-Mohaupt
Hagen Weimer
Anatolij Jüttner-Bauer
Ruben Trubin
Hülya Stadelmann
Patrick Döring
Ferdinand Junitz B.Eng.
Anastasia Gunpf
Cordula Mangold
Helfried Seifert-Schönland
Evangelia Meyer-Mielcarek
Dr. Marie-Luise Klingelhöfer B.Eng.
Ing. Utz Klemt B.A.
Olaf Juncken
Gebhard Kitzmann
Sigismund Junitz
Bekir Fechner
Heiner Pieper
Prof. Britt Drub B.Eng.
Jonas Beyer
Prof. Irmhild Fritsch
Rosl Trupp
Gilda Faust
Jacob Süßebier
Vitali Walter-Krein
Rosalia Johann
Kathleen Hahn B.A.
Justina Zirme
Ernest Tlustek
Gertrude Gumprich
Erkan Kuhl-Oestrovsky
Lidwina Sorgatz-Weihmann
Miroslawa Jäkel-Bohnbach
Lena Ernst-Schenk
Dagmar Franke-Schleich
Lorenz Kohl
Ing. Josip Ruppert
Ing. Gundolf Steinberg B.Sc.
Günter Fischer
Vitali Neureuther
Sami Mitschke
Dorothee Koch II
Henryk Jacobi Jäckel B.Sc.
Adina Mitschke
Marija Stahr
Jens-Uwe Neureuther
Prof. Mathias Schmiedt
Prof. Roy Blümel
Hans-J. Atzler
Babett Adler
Prof. Hans-H. Zimmer
Marlies Mude
Hildegart Scheel B.A.
Lili Weimer
Enno Jockel MBA.
Mareike Wilmsen
Zeynep Keudel
Lissi Kohl
Cosima Johann
Rosita Peukert-Scheibe
Pavel Ehlert
Edeltraut Klemt
Helene Ullrich
Elfi Bolander
Otmar Gierschner
Paola Kroker-Klotz
Prof. Ahmad Rörricht
Univ.Prof. Wibke Reinhardt B.Eng.
Rüdiger Heinrich
Eva-Maria Geisler
Univ.Prof. Beatrix Roskoth
Heinz Krebs B.Eng.
Ilija Kohl
Univ.Prof. Monja Staude MBA.
Edmund Schmidt-Fliegner
Helena Hettner
Univ.Prof. Nadine Gnatz
Helmar Klapp
Stilla Dobes
Francoise Freudenberger-Stey
Filippo Juncken
Beate Nette
Jörgen Putz B.A.
Irmela Höfig B.Sc.
Prof. Pedro Schmidt B.Eng.
Elfie Otto
Christl Eigenwillig
Lucia Kohl
Teresa Schönland
Siegward Weinhold
Urszula Fliegner
Prof. Frithjof Adolph MBA.
Celal Seifert
Theresa Hethur-Kabus
Irmengard Rudolph
Dr. Meral Thies B.Sc.
Myriam Aumann
Prof. Annita Wulff
Peter Mitschke
Annekatrin Neureuther
Univ.Prof. Halina Hamann MBA.
Dorle Henck-Sorgatz
Irina Birnbaum
Aurelia Mude
Gotthard Christoph
Marco Schinke B.Eng.
Prof. Meik Blümel B.Sc.
Annelie Kitzmann
Dr. Heinz-Georg Aumann MBA.
Susi Hendriks
Ekrem Spieß
Ing. Mahmoud Becker
Emilia Scheel
Frau Waltraud Weitzel B.A.
Dr. Almut Peukert MBA.
Kay-Uwe Trapp
Inka Hornig B.A.
Insa Jacobi Jäckel
Univ.Prof. Gesa Loos
Prof. Dolores Butte
Dipl.-Ing. Georgine Adolph B.Eng.
Frau Alexandra Beckmann B.A.
Frank-Peter Bien
Karl-Heinrich Schüler
Hildegunde Aumann
Victor Häring
Karl-Wilhelm Weiß
Konstanze Sontag
Arif Killer
Martha Dowerg
Gertrude Bärer
Edgar Karge
Ing. Tina Schmiedt B.A.
Hanspeter Juncken
Sylvie Börner
Herr Hermann-Josef Lehmann B.A.
Rose-Marie Jäkel
Hans Peter Beckmann
Gerold Schuchhardt B.Sc.
Frau Stella Plath B.A.
Melita Schacht
Mattias Sorgatz-Haase
Hans-Werner Mohaupt
Ing. Rolf Gertz
Luigi Gude
Dr. Mohammed Höfig
Dolores Stey-Matthäi
Silke Heydrich-Albers
Marcella Sölzer
Heinz-Joachim Trüb B.Sc.
Benita Heser
Dipl.-Ing. Bertram Gieß MBA.
Dorit Ebert
Ing. Cilli Gertz B.A.
Karl-Wilhelm Meyer
Kristiane Steckel
Dariusz Rädel
Mareike Scholl
Frauke Dörschner
Katharina Süßebier B.A.
Dipl.-Ing. Birgitta Boucsein
Hartmut Biggen-Trapp
Claire Faust B.A.
Jeanette Mälzer
Annaliese Klingelhöfer
Frau Katarina Lindner
Prof. Grete Müller
Horst-Peter Riehl
Oxana Ortmann MBA.
Lidia Franke
René Kruschwitz
Gerolf Döring-Buchholz
Univ.Prof. Gundel Atzler B.Eng.
Concetta Karge
Isa Knappe-Biggen
Tatjana Käster-Schüler
Herr Ronny Tröst B.Sc.
Nadin Stiebitz B.Eng.
Ferenc Pergande B.Eng.
Ing. Leopold Hoffmann
Dipl.-Ing. Herta Fliegner MBA.
Edit Siering
Dipl.-Ing. Angelina Mälzer B.Eng.
Gabi Gertz
Elfriede Gnatz
Frau Therese Henk B.A.
Wally Schmidt
Arif Heinrich
Aenne Sölzer B.A.
Laura Beier
Alois Werner
Edward Hering MBA.
Xenia Margraf
Bernhardine Mangold
Nikolaos Ebert-Grein Groth
Gunter Grein Groth B.Eng.
Friedhilde Wernecke
Mehdi Bähr B.A.
Irmingard Meyer MBA.
Geraldine Eckbauer
Paolo Wernecke
Marco Stey
Claus Heser B.Sc.
Sylvana Hornich MBA.
Univ.Prof. Olivia Gnatz MBA.
Univ.Prof. Lara Hoffmann MBA.
Nico Drewes
Hans-Rudolf Dehmel
Herr Siegmar Geisler
Melita Schleich
Heimo Ziegert
Emma Blümel
Sevim Schmiedt-Döhn
Klaus-Michael Hahn
Dr. Editha Rohleder
Dipl.-Ing. Jiri Wesack B.A.
Necati Koch
Frau Ayten Pärtzelt MBA.
Gereon Textor
Wladimir Möchlichen MBA.
Fanny Zänker-Hein
Franz-Josef Kohl
Agnes Ullmann
Univ.Prof. Betty Conradi B.A.
Inka Meyer
Mariechen Nohlmans
Herr Johann Kostolzin
Achim Budig
Herr Hans Rogge
Frau Anny Niemeier B.A.
Frithjof van der Dussen
Andrea Hamann
John Roskoth-Rädel
Gülay Werner
Eberhard Pechel
Gilda Scholz
Elif Röhricht
Till Bolander
Albin Fischer B.Eng.
Maya Conradi
Ing. André Christoph
Egbert Gertz
Holger Roskoth B.Sc.
Olga Krein
Dipl.-Ing. Undine Warmer
Dr. Margarethe Ernst
Heimo Knappe
Dipl.-Ing. Christoph Schulz B.Sc.
Eva-Maria Zänker
Dr. Siegfried Heinz B.Eng.
Viola Ackermann
Anne-Marie Stumpf
Gerd Süßebier
Helmuth Jäntsch
Janko Stey MBA.
Brunhilde Nohlmans
Renata Holt-Heintze
Woldemar Heinz
Prof. Cäcilie Staude B.A.
Elisabeth Wieloch-Boucsein
Oxana Henschel
Anne-Kathrin Ortmann
Ladislaus Killer
Ing. Giuseppe van der Dussen B.A.
Margaret Kramer B.A.
Lukas Juncken MBA.
Norman Wulf
Adalbert Vollbrecht
Florian Wulff
Luis Jacob
Univ.Prof. Kirstin Killer B.Eng.
Marga Scholz
Tamara Nette-Ladeck
Guntram Warmer
Univ.Prof. Baptist Mende MBA.
Catharina auch Schlauchin
Univ.Prof. Edit Ehlert B.Eng.
Radmila Kraus-Schacht
Damian Holsten
Sedat Matthäi
Univ.Prof. Ahmet Birnbaum MBA.
Univ.Prof. Margrit Davids B.Eng.
Sigfried Franke B.Sc.
Berndt Bähr
Gesche Trub
Sibilla Hofmann
Krystyna Holsten B.A.
Kordula Drub B.Sc.
Dogan Häring MBA.
Alessandro Krause
Prof. Miguel Dowerg B.A.
Wendelin Zorbach MBA.
Carmen Berger
Hans-Theo Vogt-Beckmann
Dipl.-Ing. Hannelore Kostolzin
Dipl.-Ing. Patricia Werner B.Sc.
Hilda Metz-Dehmel
Elsa Preiß
Nadin Radisch
Janin Höfig B.A.
Gotthilf Bohnbach-Seip
Gisela Carsten B.Sc.
Augusta Beer
Dipl.-Ing. Edgar Gehringer B.Eng.
Frau Etta Wesack MBA.
Rico Cichorius
Ilhan Budig
Univ.Prof. Pamela Kambs MBA.
Fritz Schenk B.A.
Univ.Prof. Agathe Steinberg MBA.
Hans-Theo Thies
Bozena Carsten B.Sc.
Lydia Jopich
Oliver Schwital
Johanna Fischer
Konstanze Zänker MBA.
Fatima Weinhage-Boucsein
Hans-Wilhelm Weller
Emanuel Scholz B.Eng.
Hannelore Rädel-Keudel
Nils Stey
Tilman Henschel
Thorsten Herrmann
Jane Reuter
Rosa-Maria Losekann-Schulz
Gerwin Bonbach-Fliegner
Karl Heinz Hörle
Francisco Trupp
Zita Winkler
Valeska Blümel B.A.
Uwe Rosenow
Severin Mende B.A.
Helen Dehmel
Tino Metz
Hans-Friedrich Ruppert-Ullrich
Dipl.-Ing. Charles Täsche
Kevin Trubin
Ansgar Seidel
Jaroslaw Eckbauer
Stavros Hentschel B.Eng.
Marleen Langern-Oderwald
Adelinde Gutknecht-Beier
Adelinde Ackermann-Knappe
Janine Dehmel B.Eng.
Univ.Prof. Hans-Rudolf Wohlgemut
Elizabeth Schlosser B.A.
Malte Bohlander
Käthi Faust-Gorlitz
Anka Gieß
Eckard Textor
Rosa Gnatz
Rose Beer
Heribert Steuer
Valerij Schulz B.A.
Günther Mude B.A.
Tino Paffrath B.Eng.
Käthe Langern-Jacob
Annita Jähn
Prof. Beatrice Misicher
Dörte Schlosser
Sinaida Adolph
Prof. Juan Hamann
Gunnar Hentschel
Inna Ditschlerin
Elsa Beer
Dimitrios Kraushaar-Adolph
Franz Josef Herrmann
Herr Wolfhard Hövel
Birgid Graf
Lilo Scholz
Herr Valentin Warmer
Herr Guido Knappe B.Eng.
Kornelius Hornig MBA.
Hedda Schönland
Philipp Killer B.A.
Ing. Zbigniew Warmer MBA.
Ayse Scheuermann-Sölzer
Kordula Lange
