Student
Paul-Gerhard Gunpf
Ing. Hartmuth Gute B.A.
Carl Scheibe
Klemens Knappe
Ivo Lorch
Gertrude Bärer
Univ.Prof. Regina Salz B.Eng.
Sabrina Kohl
Kristian Anders B.Sc.
Elizabeth Jacob
Harri Mans
Jozef Bohlander
Univ.Prof. Henryk Kostolzin
Elise Trupp
Lorenz Schwital-Stadelmann
Annelise Jungfer
Dipl.-Ing. Betti Löffler MBA.
Dr. Amir Jäkel
Ramon Jäntsch-Gertz
Univ.Prof. Aysel Lindau
Gabriel Kreusel
Frau Zdenka Boucsein B.Eng.
Dr. Selma Geisel B.Sc.
Josephine Rogge
Prof. Magdalena Bohlander B.Sc.
Apostolos Kreusel-Noack
Ulrich Plath-Weihmann
Hellmuth Drubin-Tschentscher
Zdenka Weiß
Annelene Steinberg
Dr. Natascha Trüb
Maik Oestrovsky B.Sc.
Ing. Jenny Oestrovsky
Dr. Jost Hiller B.Sc.
Kristian Rosemann B.Sc.
Rosa-Maria Losekann-Schulz
Stephen Kensy
Kirstin Kusch-Meister
Burkhard Fröhlich-Dussen van
Svetlana Boucsein
Univ.Prof. Kirstin Killer B.Eng.
Justus Schüler MBA.
Rocco Trub
Wally Anders B.Eng.
Eva-Maria Eberth B.A.
Albina Stadelmann
Henny Rose
Hanife Thies
Helmuth Zirme
Dipl.-Ing. Harm van der Dussen
Dipl.-Ing. Janus Roht B.Sc.
Ing. Valeria Kruschwitz
Herr Wladimir Bolnbach
Klaus-D. Sölzer
Anna-Marie Heidrich
Alicja Gieß
Abdul Klapp-Hethur
Guido Wagenknecht-Kallert
Evi Wilmsen MBA.
Dr. Damian Scheel
Ing. Siglinde Speer MBA.
Prof. Marijan Hoffmann
Antonia Stey
Christos Bolander
Univ.Prof. Isabel Ladeck
Marie-Luise Rogner
Heinz-Günter Fischer
Dagobert Eberhardt B.A.
Dipl.-Ing. Gunar Kuhl
Ing. Ramazan Kabus B.Eng.
Univ.Prof. Vadim Vollbrecht B.A.
Hans-Christian Finke
Dipl.-Ing. Hans-Ludwig Meyer
Klaus-Ulrich Tlustek-Förster
Maximilian Hellwig
Melanie Scheel B.A.
Dipl.-Ing. Roland Bien B.Sc.
Engin Hofmann
Frau Trudi Wähner B.A.
Phillip Salz B.Sc.
Karl-Dieter Süßebier
Freddy Hande
Ditmar Pölitz B.A.
David Warmer
Danilo Hande MBA.
Univ.Prof. Willfried Werner B.Sc.
Gertraude Ruppersberger
Luka Zorbach
Karoline Carsten
Harold Bähr B.A.
Prof. Achim Rose
Cindy Schleich
Miroslawa Rose
Alwin Schaaf
Edit Siering
Domenico Gertz
Babette Rohleder
Hermine Schüler
Dr. Cäcilia Henk B.Eng.
Heinz-Joachim Jähn
Dr. Ellen Schlosser B.A.
Ing. Nelli Hornig
Margitta Hethur MBA.
Herr Franz Geisler B.A.
Sofia Austermühle
Selma Girschner B.Sc.
Marcel Oestrovsky
Gerold Loos-Rogge
Amalia Schmidtke-Radisch
Rosa-Maria Steckel
Reinhard Beer-Etzler
Jaroslaw Pieper MBA.
Lilija Kensy
Alfred Rose
Annaliese Klingelhöfer
Lutz Mies-Hesse
Horst Hauffer B.Eng.
Frau Annegrete Junk B.A.
Bernhard Fischer
Tino Metz
Denny Lachmann
Arnulf Kusch
Brita Klemm
Daniel Zänker
Nadeshda Hänel-Kaul
Ing. Christiana Seip
Dr. Stefania Gnatz
Mareile Tschentscher B.A.
Reinhild Pergande
Dipl.-Ing. Claas Ladeck
Wilhelm Klemm B.A.
Ing. Steffen Röhrdanz B.A.
Wilfried Börner
Stilla Köhler
Irmi Jüttner
Dipl.-Ing. Richard Gröttner B.A.
Dina Johann
Auguste Pruschke
Ilja Preiß
Mike Sölzer
Dipl.-Ing. Marc Stroh
Ing. Liesa Zirme
Dr. Edda Hecker B.Eng.
Gislinde Wagenknecht
Prof. Theodoros Paffrath B.A.
Gislinde Schlosser
Maria Mans B.Eng.
Ottokar Fliegner
Yvette Süßebier
Julia Ruppersberger
Dipl.-Ing. Friedrich Hiller B.Eng.
Frau Ingelore Gertz
Hanny Martin
Ehrenfried Drubin-Paffrath
Dipl.-Ing. Serge Nerger
Prof. Lotti Löffler
Frau Renate Geisler
Ing. Heide Winkler
Cora Stumpf-Gunpf
Herr Louis Hövel
Yasmin Reising
Heiner Ruppersberger-Hentschel
Leonore Schacht
Frau Siegried Margraf B.Sc.
Franca Mentzel
Prof. Juan Hamann
Ing. Cynthia Weihmann B.Eng.
Ing. Meik Eberhardt B.A.
Yusuf Schacht
Dana Ebert B.A.
Sigmund Mosemann
Detlev Stadelmann
Univ.Prof. Heinz-Dieter Schuster
Melissa Gehringer
Marica Walter
Univ.Prof. Nicole Höfig B.Sc.
Leander Dobes-Schlosser
Silvester Scheibe
Käthi Löffler
Dr. Guntram Kusch
Julia Graf
Univ.Prof. Heimo Dobes B.A.
Nikolaos Ebert-Grein Groth
Gundel Bien MBA.
Angelika Rosemann
Kaspar Römer
Milos Knappe-Scholz
Monique Ullmann MBA.
Prof. Maria-Luise Drub B.Sc.
Wencke Salz
Nadia Rosenow
Prof. Freya Biggen B.Eng.
Prof. Torsten Geisel B.Sc.
Magarete Beyer B.Eng.
Franz-Josef Schmidtke
Britt Schwital-Seip
Tomasz Preiß
Sylvester Neuschäfer-Schacht
Stavros Hentschel B.Eng.
Dr. Gerti Scheel
Silvester Etzold
Woldemar Heinz
Lisbeth Hentschel
Heinz-Günter Weimer B.Sc.
Dipl.-Ing. Wanda Dussen van
Univ.Prof. Hans-Peter Schmidt MBA.
Christian Jacobi Jäckel
Hans-Jochen Mude
Ben Eimer-Loos
Herr Gustav Noack
Luciano Aumann
Gert Kensy B.A.
Emil Grein Groth
Marianne Killer
Jaroslaw Eckbauer
Helmar Klapp
Erik Trupp MBA.
Prof. Sylvester Bender
Univ.Prof. Catharina Neureuther B.Sc.
Gerold Thanel
Ing. Lisette Kaul B.A.
Günther Bähr
Franz Josef Herrmann
Dr. Samuel Dobes B.Sc.
Katrin Oestrovsky-Fechner
Hilda Stey B.Eng.
Prof. Augustin Stey B.A.
Philip Heß MBA.
Oskar Löwer B.Eng.
Kathrin Dussen van
Ing. Dirk Paffrath
Alice Nette
Prof. Gülay Birnbaum
Alan Eigenwillig
Kerstin Eigenwillig B.Eng.
Inna Ditschlerin
Madlen Lübs
Dr. Myriam Häring
Ursel Conradi
Uli Schönland-Trupp
Grete Rudolph
Herr Osman Gerlach B.Sc.
Mary Staude
Ercan Kühnert
Walfried Wohlgemut B.Eng.
Nadeschda Rädel
Univ.Prof. Marc Schmiedt
Dr. Lina Hiller
Sonia Säuberlich-Langern
Ing. Dörte Freudenberger
Univ.Prof. Tomasz Atzler B.Sc.
Prof. Maya Peukert
Milka Hahn
Chantal Kade
Dorit Ebert
Ing. Arthur Schwital B.Eng.
Vassilios Trommler-Gieß
Friedemann Klingelhöfer
Hans Jürgen Grein Groth-Rudolph
Herr Alois Thanel B.Sc.
Siegried Otto
Univ.Prof. Czeslaw Heuser
Nada Hänel
Geert Zänker
Alwina Hettner
Ulrike Hiller
Herr Darko Gutknecht MBA.
Dr. Daniela Linke MBA.
Evangelia Schlosser-Boucsein
Lorenzo Zänker
Valeria Mende
Karola Zorbach B.Eng.
Dipl.-Ing. Enver Drubin
Ing. Ivo Weinhold
Prof. Berend Käster B.A.
Adalbert Reising
Romuald Hartmann
Sibille Kallert
Johanna Stumpf
Univ.Prof. Franca Ritter B.Eng.
Franz Josef Girschner
Herr Heinz-Josef Wende MBA.
Tassilo Gehringer
Paul Hettner
Lena Ernst-Schenk
Karlfried Sorgatz
Sonia Gorlitz-Mude
Albert Seifert MBA.
Sibylla Pohl
Univ.Prof. Amalie Warmer B.Eng.
Karl-Wilhelm Rogner
Else Gröttner
Josefine Rosemann
Ing. Hansgeorg Jockel B.Eng.
Cecilia Gertz
Sibylle Löchel
Ing. Rosalinde Käster MBA.
Annie Schlosser
Kornelia Dörr
Gretchen Pohl
Walentina auch Schlauchin-Albers
Frau Mira Klemm
Marie-Luise Staude-Käster
Helmtrud Neureuther
Univ.Prof. Herlinde Klotz
Herr Goran Paffrath
Anika Sager
Ansgar Seidel
Claire Junk
Dorina Rust
Ernest Tlustek
Dipl.-Ing. Hanns Killer B.Sc.
Karl-Heinz Hahn
Ehrhard Klotz
Prof. Salvatore Römer
Klothilde Blümel B.A.
Dimitrios Kraushaar-Adolph
Aziz Bauer MBA.
Theresa Caspar
Darius Trupp
Hendrik Herrmann
Ing. Leonore Haering MBA.
Nadin Hertrampf-Killer
Dipl.-Ing. Georgine Adolph B.Eng.
Dr. Miguel Jungfer
Herr Gordon Meister
Solveig Trapp MBA.
Eugenia Riehl
Dipl.-Ing. Charles Täsche
Heinz-Otto Geisler B.Sc.
Micha Schottin
Ing. Magarete Herrmann B.Eng.
Editha Jacob
Justine Patberg-Metz
Frau Aleksandra Dobes B.A.
Dagmar Jungfer
Tomasz Niemeier
Bodo Martin
Nicolaus Jessel
Gudula Niemeier
Damaris Holsten-Schleich
Radmila Kraus-Schacht
Univ.Prof. Traudl Mentzel B.Eng.
Athanasios Bloch
Frank-Peter Haase
Wulf Fiebig B.A.
Darius Gieß
Babett Süßebier B.A.
Wieslaw Löchel
Trudi Kranz B.Eng.
Dipl.-Ing. Gisela Schuster B.A.
Jeannine Lehmann
Ronny Dippel
Undine Eimer
Joana Zimmer B.A.
Gunnar Weimer
Univ.Prof. Waldtraut Riehl
Prof. Sahin Kreusel
Siegbert Schweitzer
Beatrix Gehringer
Thomas Hänel
Dr. Ralf Hölzenbecher
Hans-Theo Vogt-Beckmann
Siegbert Kranz
Frau Trude Walter B.A.
Wolf-Dieter Schmiedt
Louise Jessel
Harm Hein
Ing. Dagmar Bohnbach B.Eng.
Arnfried Scheuermann
Edelbert Bruder
Sedat Gude
Ing. Tina Schmiedt B.A.
Hilmar Spieß
Dipl.-Ing. Elisabeth Wiek
Heinz-Werner Buchholz
Kriemhild Jähn
Gert Nette
Dipl.-Ing. Giorgio Drubin B.Eng.
Michelle Klingelhöfer B.Eng.
Ing. Ortrun Weimer
Micha Eckbauer B.Sc.
Kati Radisch
Dogan Rogge
Woldemar Heydrich B.Eng.
Herr Hermann-Josef Hauffer
Tülay Trapp
Patric Geisler-Becker
Anneliese Trub
Prof. Urs Salz
Frau Natalija Stey
Cengiz Dehmel
Dr. Editha Rohleder
Univ.Prof. Dragan Thies MBA.
Univ.Prof. Jeanette Girschner B.Sc.
Dipl.-Ing. Gabriel Roskoth
Gina Schmidtke
Monique Stroh
Pirmin Wulf B.Sc.
Annamaria Hesse
Meral Stroh-Henschel
Ing. Danica Gieß MBA.
Lucie Gutknecht
Monika Mühle-Hiller
Hedi Gumprich
Paolo Klotz-Hein
Dorle Killer
Julie Radisch MBA.
Zehra Putz
Raimund Gieß
Dr. Jan-Peter Martin B.Eng.
Christoph Löchel B.Sc.
Aenne Sölzer B.A.
Esther Ehlert
Dariusz Wirth
Univ.Prof. Alberto Steuer
Augusta Flantz
Annie Langern
Justina Zirme
Herr Valentin Warmer
Dr. Sükrü Hettner
Rigo Conradi
Univ.Prof. Beate Gude
Karla Wirth
Baldur Knappe
Ronald Hofmann
Daria Jopich
Dipl.-Ing. Hermann-Josef Jüttner
Heribert Austermühle-Trupp
Herr Jörgen Kruschwitz
Siegward Hertrampf
Clara Rust
Adolfine Fischer
Hasan Klemm
Frau Etta Wesack MBA.
Irmhild Lorch
Hermann Josef Drubin
Otmar Schmidtke
Fridolin Paffrath-Geisler
Sofia Etzler B.Eng.
Ing. Petar Hänel MBA.
Univ.Prof. Paulo Jähn
Univ.Prof. Gretl Langern B.A.
Inge Dietz B.A.
Hansjörg Holsten
Ing. Kay-Uwe Flantz
Elise Hentschel
Anna-Lena Bloch
Prof. Constance Austermühle B.Sc.
Frau Krista Rädel B.Sc.
Kevin Trubin
Walli Baum-Kohl
Gina Pieper
Rainer Gunpf B.Eng.
Gero Schomber
Helga Franke
Dr. Mechthilde Hellwig
Raymund Mosemann-Eckbauer
Karoline Hübel
Hedy Rudolph MBA.
Reiner Ziegert-Walter
Caroline Linke
Ing. Hanns Haase B.Eng.
Ljiljana Stoll
Dr. Diedrich Gerlach B.A.
Marleen Heser
Ing. Carolin Anders
Dr. Reinhart Hecker B.A.
Myriam Hänel
Dipl.-Ing. Milica Hofmann B.A.
Robby Kramer
Dipl.-Ing. Heinz-Otto Jähn
Dipl.-Ing. Kristine Klapp MBA.
Urs Bähr
Ewald Dussen van
Adelbert Rörricht
Univ.Prof. Leni Bonbach
Aloys Ruppert
Gönül Steinberg
Hansjürgen Weitzel
Gilda Faust
Adina Mitschke
Patrick Pärtzelt-Henck
Peggy Holt
Dr. Muzaffer Sauer B.Eng.
Sigmund Kensy
Arne Ziegert B.Sc.
Nico Ehlert-Ackermann
Freia Buchholz
Valeska Zimmer-Schleich
Xenia Margraf
Liesa Gröttner
Prof. Mohammed Kambs
Henni Wagenknecht B.Sc.
Leonid Hein B.Sc.
Alexander Hörle
Wera Hauffer B.A.
Sonja Löchel
Madlen Steinberg
Recep Hecker
Lieschen Röhrdanz
Susi Hendriks
Jonas Beyer
Annie Noack
Willibald Ziegert-Siering
Magdalene Mude
Emanuel Scholz B.Eng.
Dipl.-Ing. Ingbert Krebs B.Eng.
Ing. Maren Schenk
Susanna Schaaf
Kira Hartmann B.Sc.
Ing. Giorgio Warmer B.Eng.
Janusz Rädel B.Sc.
Adolfine Wilms
Gislinde Klapp B.Sc.
Nurettin Börner
Prof. Angelique Seidel MBA.
Ing. Felicia Dörschner B.Sc.
Cordula Mangold
Marie-Therese Steuer
Heimo Kuhl
Kirstin Boucsein B.Eng.
Paula Stroh
Hanns Zänker B.A.
Ing. Czeslaw Geisel
Lidwina Jockel
Siegmar Ullmann-Fritsch
Susann Hartung-Schmiedecke
Hans-Günther Kohl B.Eng.
Franka Weinhold
Gerta Beer
Prof. Dolores Butte
Dr. Gerhart Käster
Ljudmila Krebs
Gilbert Peukert B.Eng.
Ing. Gordana Bruder MBA.
Betti Zirme B.A.
Hans-Henning Scheel
Heinz-Joachim Trüb B.Sc.
Lydia Schenk
Univ.Prof. Woldemar Walter
Dr. Jan-Peter Döhn B.A.
Rupert Kallert
Birgid Freudenberger
Univ.Prof. Ludwig Jähn B.A.
Dipl.-Ing. Hülya Nerger
Dr. Paulina Textor B.A.
Janko Neureuther
Friedo Ritter
Univ.Prof. Halil Staude
Lorenz Schüler B.A.
Julia Hecker-Krebs
Hansjoachim Kraus-Beer
Miroslav Kohl
Katalin Butte
Dr. Annedore Wulff B.Sc.
Oxana Schmidtke
Uwe Sorgatz
Liliana Davids
Jan-Peter Scheuermann-Jungfer
Evelin Gerlach
Dipl.-Ing. Rolf Tröst B.Sc.
Prof. Susanne Rose
Prof. Alexei Krebs
Gislinde Müller
Hans-Heinrich Schüler-Seip
André Kroker
Rene Bruder B.Eng.
Konstantinos Linke B.Eng.
Ruth Hartung
Ladislaus Hande
Orhan Wieloch
Amanda Eimer B.Sc.
Karl-August Liebelt-Köhler
Christopher Fröhlich
Aurelia Dussen van MBA.
Alma Eimer-Seip
Herr Hans-Ludwig Steinberg
Ben Täsche
Ingetraud Austermühle-Dowerg
Dr. Franco Stumpf B.Eng.
Dipl.-Ing. Rudi Wiek B.Eng.
Nadin Radisch
Frau Julia Fliegner
Senol Hölzenbecher
Mina auch Schlauchin
Univ.Prof. Beate Eberth
Dipl.-Ing. Nikolaus Conradi MBA.
Ing. Hans-Wilhelm Holt B.Sc.
Liesa Sauer
Berit Pärtzelt
Prof. Frithjof Binner
Selma Fritsch B.Eng.
Pia Fliegner
Guiseppe Bien
Asta Hesse
Achim Etzold MBA.
Wilfriede Ziegert
Univ.Prof. Francisco Tröst B.Eng.
Gabor Dobes
Bertram Caspar
Frau Reinhilde Wirth MBA.
Tina Radisch
Hellmuth Hörle
Ing. Meinhard Schweitzer
Wieslaw Freudenberger
Univ.Prof. Undine Junken MBA.
Ing. Birgid Möchlichen B.A.
Meryem Sager
Geert Rudolph
Dr. Jonas Fechner
Univ.Prof. Nurten Neuschäfer MBA.
Anna-Marie Zorbach
Edelgard Neureuther-Vollbrecht
Jens-Peter Bolzmann
Univ.Prof. Undine Becker MBA.
Jurij Bärer
Marco Conradi
Falko Klemm B.Sc.
Univ.Prof. Dolores Rust
Prof. Cäcilie Staude B.A.
Lidija Löchel B.A.
Oliver Schwital
Christiana Pohl
Annekatrin Wilms
Thomas Weinhold B.Eng.
Dipl.-Ing. Janet Ruppersberger
Dr. Lars Klemt
Patrizia Spieß
Drago Gierschner B.Eng.
Klemens Winkler
Silvio Scholl B.Eng.
Marius Klotz
Prof. Klaus Peter Hellwig B.Sc.
Katalin Thanel-Kitzmann
Frau Stefani Hendriks B.A.
Geraldine Gutknecht
Carla Tintzmann
Mara Roht
Guiseppe Kranz
Nadja Häring B.Eng.
Pero Gutknecht
Prof. Aziz Stumpf
Hulda Neuschäfer B.A.
Eckard Dehmel MBA.
Heinz-Willi Jockel
Xaver Schönland
Gebhard Sauer
Katharine Mühle
Ing. Krzysztof Kambs B.Eng.
Univ.Prof. Siegfried Karz B.Sc.
Prof. Luzie Killer B.Sc.
Anneli Heintze
Ing. Annelise Nette B.Eng.
Prof. Helmut Hellwig MBA.
Julie Schweitzer
Dipl.-Ing. Denise Beier
Stefano Huhn
Hedda Baum
Ilka Zimmer-Wesack
Bernard Karge
Annelie Heuser
Hans-H. Pergande
Gunnar Hornig
Inken Hellwig-Hermann
Ralf-Dieter Riehl B.Eng.
Lars Weller
Korinna Koch II
Monika Haering
Prof. Hans Dieter Kitzmann MBA.
Ronald Rädel
Ing. Engelbert Bauer
Marek Mitschke B.Sc.
Dipl.-Ing. Matteo Baum
Recep Weihmann
Jasmina Bolzmann-Hövel
Dipl.-Ing. Ildiko Löffler B.A.
Nicolai Gutknecht
Georgios Neuschäfer
Helmar Barth
Univ.Prof. Anika Jockel MBA.
Wulf Kusch
Urban Klemt
Irmtraut Mülichen B.A.
Hannes Patberg
Prof. Magnus Dörr B.Eng.
Melita Hein
Carmine Hauffer
Abram Eckbauer B.A.
Irmi Koch
Dr. Egbert Kraus
Alf auch Schlauchin
Reni auch Schlauchin
Arif Killer
Dipl.-Ing. Dorina Lindau B.Sc.
Hans-Willi Ladeck
Heidelore Zirme
Constantin Jacob B.Sc.
Friedemann Stoll
Margit Müller
Elisabet Schuster B.A.
Gerolf Döring-Buchholz
Clara Ruppersberger
Prof. Josefa Beier B.Sc.
Dipl.-Ing. Kevin Henk B.A.
Krystyna Rust-Baum
Hubertine Krein
Luigi Hartung
Ludmila Patberg
Mahmoud Ditschlerin-Trüb
Ing. Rosina Kabus MBA.
Ing. Käthe Plath B.Eng.
Dipl.-Ing. Undine Warmer
Antonietta Lindner MBA.
Tomasz Bolnbach
Fatima Eckbauer-Rosemann
Miriam van der Dussen
Magdalena Warmer MBA.
Albrecht Seifert B.Sc.
Hans-Gerd Dietz B.A.
Adelinde Putz
Elena Linke-Wohlgemut
Prof. Loretta Speer MBA.
Ilonka Rose
Uschi Keudel
Frau Melita Huhn
Gerd Becker
Willfried Mende
Jan Döring B.A.
Lukas Zirme
Sylwia Bolander
Irmi Gute
Frau Jane Sauer
Helge Ladeck MBA.
Margit Klapp
Vincenzo Jopich
Linda Ziegert-Junken
Dorothe Renner
Konstanze Mühle
Jens-Peter Heinrich
Calogero Hoffmann B.Eng.
Ellen Trub
Herma Bender-Scholtz
Dominik Spieß
Ivana Mielcarek
Amalie Gotthard
Irmi Döhn
Ing. Aldo Pechel B.Eng.
Heidelore Pärtzelt MBA.
Dusan Zahn B.A.
Marvin Kade-Ladeck
Simon Meyer
Prof. Marija Seidel
Ilija Lindner
Markus Albers
Arnim Bärer
Benno Gehringer-Wohlgemut
Ing. Hatice Gehringer
Prof. Thekla Hahn
Tibor Schleich
Susana Schaaf
Karl Heß
Enrico Hellwig
Gerhart Staude
Dipl.-Ing. Hans-Günther Schuster
Heinz-Joachim Spieß
Silvia Eberth
Ing. Serpil Rudolph MBA.
Burghard Davids
Prof. Susanne Heidrich B.Eng.
Univ.Prof. Alexa Junitz B.Eng.
Gaby Noack
Univ.Prof. Ioannis Lübs B.Eng.
Florian Wulff
Erwin Jopich
Luzie Schäfer
Dipl.-Ing. Hanns Nette
John Gunpf B.Sc.
Birger Becker
Dietrich Kruschwitz
Frau Bianka Henk B.Sc.
Jochen Säuberlich
Lutz Röhricht B.A.
Anne-Marie Stumpf
Dipl.-Ing. Geert Holsten B.Sc.
Hans-Dieter Scholl
Ernestine Karz
Herr Süleyman Karge MBA.
Janin Höfig B.A.
Siegward Weinhold
Nada Butte
Wenzel Wilmsen
Prof. Ralph Patberg
Tibor Budig
Dorina Dowerg
Herr Gundolf Barth
Ing. Hannes Jähn B.Sc.
Vito Davids-Schwital
Nicolaus Seifert B.A.
Larissa Löffler
Wiltrud Gröttner-Klapp
Rosa-Maria Reising
Univ.Prof. Lydia Langern
Annaliese Gerlach
Ing. Nils Pergande B.A.
Ing. Pamela Gerlach
Eberhardt Gute
Wilma Drub B.Eng.
Prof. Grete Müller
Dipl.-Ing. Jan-Peter Mende MBA.
Heribert Römer-Lindau
Dipl.-Ing. Anneliese Kühnert
Prof. Gertrude Renner B.A.
Egon Paffrath
Frau Julie Wieloch
Dr. Diedrich Krebs B.A.
Ing. Ramazan Kallert MBA.
Mattias Sorgatz-Haase
Berthold Haase-Trub
Annett Mies-Hellwig
Hilma Berger
Reingard Geisel
Apollonia Heß B.A.
Ralph Jacobi Jäckel
Herr Frank-Peter Jopich
Anneke Nohlmans
Monika Hornich MBA.
Joachim Höfig
Univ.Prof. Virginia Pechel
Univ.Prof. Amelie Gröttner B.Eng.
Dipl.-Ing. Sarina Dörr
Ute Conradi-Trüb
Winfried Hermann
Adam Hölzenbecher-Hettner
Fredy Ring
Senta Warmer
Prof. Johan van der Dussen
Zbigniew Schleich-Huhn
Frida Stolze
Beatrix Möchlichen
Univ.Prof. Leif Süßebier B.A.
Herr Roman Schwital MBA.
Ellen Hahn-Spieß
Karlfried Rörricht
Herr Ronald Reising B.Sc.
Henny Stey
Adelinde Gumprich MBA.
Regine Wende B.A.
Ann Spieß MBA.
Siegbert Seifert
Karl-August Reichmann B.Sc.
Rosalia Heydrich
Univ.Prof. Annegrete Holt
Benita Hahn-Wieloch
Dipl.-Ing. Ismet Käster B.Eng.
Jennifer Berger
Hermann Bruder
Dr. Alma Warmer MBA.
Dipl.-Ing. Willibert Süßebier
Diethard Trommler
Hertha Butte B.Eng.
Dipl.-Ing. Henriette Schmidtke MBA.
Rotraud Fiebig
Abdul Ullmann
Ines Anders
Emmy Koch
Ing. Carolin Faust B.A.
Heinz-Gerd Söding
Hanife Täsche-Stiffel
Traudl Röhrdanz-Spieß
Univ.Prof. Änne Finke B.Sc.
Catherine Cichorius
Kristina Wernecke
Mark Röhricht
Edith Hettner
Ronald Stiebitz
Dr. Annelene Hamann
Jennifer Hoffmann
Luisa Hecker
Ing. Adalbert Heser
Anneliese Gnatz
Gisa Atzler
Catrin Förster B.A.
Theresa Schüler
Gotthard Scheuermann
Herr Wieland Hartmann MBA.
