Student
Frau Beatrix Bonbach B.A.
Frau Ingelore Gertz
Prof. Timo Schleich MBA.
Loni van der Dussen B.Sc.
Vinko Kraus-Schmiedt
Senol Langern
Philippe Wähner
Timm Schönland
Hanne Junk
Alma Kaul
Evelyne Beyer
Dr. Fedor Plath B.Sc.
Erwin Jungfer
Heinz-Otto Linke
Lars Eckbauer-Möchlichen
Prof. Knud Atzler B.Sc.
Dr. Salih Ullmann
Univ.Prof. Mirella Peukert
Walentina Hesse
Dipl.-Ing. Adem Gerlach
Wiebke Gehringer
Ing. Louis Eckbauer B.Eng.
Ioannis Klemt
Anna-Marie Steckel
Univ.Prof. Marleen Kabus
Prof. Josefa Beier B.Sc.
Kordula Kambs B.Eng.
Sergej Dippel
Karl-Otto Winkler B.Eng.
Univ.Prof. Karl-Jürgen Trommler B.Sc.
Dr. Jochen Schäfer
Jürgen Herrmann-Koch
Artur Kreusel
Philip Heß MBA.
Tina Henschel
Univ.Prof. Anika Jockel MBA.
Abbas Täsche
Marijan Killer
Pavel Jessel
Robin Sölzer
Emma Trub-Scheuermann
Ing. Friedhelm Löchel B.Eng.
Gertrude Gumprich
Gisa Mohaupt
Siegward Weinhold
Annelie Bloch
Romy Baum
Rosita Köster B.A.
Marleen Langern-Oderwald
Prof. Irmhild Fritsch
Horst-Peter Thies
Ing. Svenja Aumann
Emilie Schmiedecke
Univ.Prof. Ioannis Lübs B.Eng.
Jadwiga Koch
Ellen auch Schlauchin
Remo Reinhardt
Arif Heinrich
Adam Gertz
Gabi Klapp
Ilonka Buchholz-Köhler
Frau Lilli Möchlichen MBA.
Marvin Kabus B.A.
Moritz Schönland
Univ.Prof. Traudel Wernecke B.A.
Herr Otto Vollbrecht
Margarete Kabus
Herr Peter-Michael Kensy B.Sc.
Dr. Isabell Trupp
Kristian Ritter
Hajo Jäntsch
Edith Kostolzin
Lilo Scholz
Herr Mario Thanel
Jan Linke MBA.
Frau Wenke Riehl
Philip Fritsch
Maximilian Steinberg
Reinhard Eigenwillig
Juergen Beier B.A.
Harold Scheibe
Herr Dietrich Gotthard B.A.
Univ.Prof. Heidrun Hiller
Iris Kraushaar B.Sc.
Prof. Johan van der Dussen
Annegret Atzler
Marie-Louise Hauffer
Eberhardt Mielcarek
Valentine Tschentscher
Ottilie auch Schlauchin B.Eng.
Marijan Kruschwitz
Frau Mareile Birnbaum
Prof. Edgar Roht
Daniela Siering
Geraldine Gutknecht
Matteo Dehmel-Weimer
Melissa Gehringer
Anne-Katrin Rogge
Ing. Willibert Steckel
Prof. Hans Dieter Kitzmann MBA.
Sevim Vollbrecht B.A.
Damian Söding
Sara Heuser
Ingried Ullrich
Agathe Söding
Mira Bender
Hülya Stadelmann
Ljudmila Trapp
Herma Geisler-Beckmann
Antonius Hermighausen
George Paffrath MBA.
Helmuth Langern-Steinberg
Dr. Siegfried Heinz B.Eng.
Zehra Conradi-Heinrich
Dipl.-Ing. Betty Niemeier MBA.
Rahel Dörschner
Beatrix Möchlichen
Olaf Juncken
Lena Mitschke
Kriemhild Warmer
Emilia Wagenknecht-Riehl
Monica Blümel
Marcel Oestrovsky
Annett Ullrich
Egbert Heintze
Dr. Nadeschda Wulf
Daria Jopich
Ing. Anika Jüttner
Sandy Haering
Herr Oliver Pechel
Frau Hella Stumpf
Klaas Eckbauer
Yvette Margraf-Wernecke
Dipl.-Ing. Karl-Heinz Rörricht
Prof. Achim Rose
Bertram Caspar
Anneli Neuschäfer
Helga Franke
Leokadia Karge
Radmila Kraus-Schacht
Bela Köster
Miroslawa Gude B.Sc.
Susanne Etzold
Oliver Biggen
Dr. Adriane Bärer B.Eng.
Jose Tlustek B.Sc.
Univ.Prof. Fedor Eimer
Univ.Prof. Hans-Peter Schmidt MBA.
Rosita Budig
Marita Henk
Vito Roht
Raphael Bonbach MBA.
Christiana Pohl
Cindy Meyer
Leonore Jäkel
Dipl.-Ing. Edgar Gehringer B.Eng.
Dipl.-Ing. Jerzy Stolze B.Sc.
Univ.Prof. Giovanna Siering MBA.
Dr. Saban Hoffmann B.Eng.
Hansgeorg Beier-Freudenberger
Ing. Leonore Haering MBA.
Natali Patberg B.A.
Dr. Mato Geisel
Annerose Kaul
Susi Seifert
Dipl.-Ing. Katarina Schmidtke
Prof. Roy Blümel
Hans-Christian Roht
Karl-Georg Sontag B.Sc.
Dr. Meral Thies B.Sc.
Elma Heser
Kunigunda Reising
Dipl.-Ing. Jose Löchel
Alwina Koch
Univ.Prof. Nicole Höfig B.Sc.
Ing. Therese Rust
Prof. Ingbert Nette
Univ.Prof. Niklas Mohaupt MBA.
Reinhilde Metz
Mirja Schottin
Univ.Prof. Gottfried Süßebier
Ibrahim Ditschlerin
Dr. Almut Peukert MBA.
Katerina Drubin
Nico Hartung-Linke
Univ.Prof. Annekatrin Neureuther B.A.
Dr. Cengiz Säuberlich
Julius Kraushaar
Frau Rosalinde Mitschke B.A.
Anatol Adler
Jonathan Gertz-Hertrampf
Patricia Wiek
Arno Ullmann
Dörte Nette
Dipl.-Ing. Lilly Boucsein B.Sc.
Theresia Paffrath
Romana Wulff
Univ.Prof. Florentine Schomber B.Eng.
Dierk Dörr
Ing. Rolf Gertz
Dipl.-Ing. Agatha Pruschke
Ulrike Rädel B.Eng.
Ayse Thies B.Eng.
Viola Oderwald B.A.
Gabriel Kreusel
Ilija Eckbauer-Steinberg
Fabienne Holt MBA.
Claudio Freudenberger
Calogero Hoffmann B.Eng.
Polina Ladeck B.A.
Michael Mies B.Sc.
Lars Weller
Christin Hein B.Sc.
Dipl.-Ing. Margarita Stey
Esther Ehlert
Dipl.-Ing. Sandro Bärer B.A.
Christof Ditschlerin
Reimund Eimer
Wolfhard Rosemann B.Eng.
Frau Korinna Kranz
Gilda Tintzmann
Margitta Hethur MBA.
Univ.Prof. Dorit Pechel B.A.
Miriam Juncken
Dr. Marianne Reising
Agatha Kostolzin
Ortrun Krebs
Kenan Pieper
Gertraude Ruppersberger
Univ.Prof. Dogan Mielcarek
Leopold Weller-Zobel
Antonia Köster B.A.
Ron Beer
Lucia Hermighausen
Sylvio Karge
Gundula Otto-Kuhl
Aysel Löchel
Volker Hettner
Univ.Prof. Hans-Rudolf Wohlgemut
Elsa Sontag
Annelore Riehl
Heimo Ziegert
Prof. Hansjürgen Langern
Dipl.-Ing. Slavica Mälzer
Knut Gorlitz
Gunhild Jessel
Gusti Schleich
Dr. Fredy Niemeier
Amalia Wulf
Franz Josef Flantz
Klothilde Zänker
Abbas Segebahn
Dipl.-Ing. Cora Baum
Dr. Lidwina Oestrovsky
Luzie Sager-Gierschner
Dipl.-Ing. Gudula Margraf B.Sc.
Prof. Freya Biggen B.Eng.
Christian Jacobi Jäckel
Torben Schweitzer
André Sauer
Univ.Prof. Undine Jungfer
Auguste Lorch
Henriette Ladeck
Kristin Niemeier
Hans-Jochen Mude
Univ.Prof. Karin Beier
Siegfried Knappe
Dipl.-Ing. Friedhilde Hauffer B.A.
Metin Hande
Hans-Erich Mende
Nikolas Heß
Elena Linke-Wohlgemut
Damaris Zirme
Falko Schüler
Helene Ullrich
Dr. Trude Ziegert B.A.
Univ.Prof. Conny Wagner MBA.
Roger Hendriks-Ruppersberger
Siegrun Reinhardt
Ing. Ayse Schacht
Univ.Prof. Manuela Heinrich
Sami Stolze-Döhn
Nuran Schottin B.Eng.
Gisela Weinhold B.Sc.
Klemens Knappe
Eugenie Pieper
Gerhild Gude
Univ.Prof. Till Vogt MBA.
Dipl.-Ing. Josip Mies
Prof. Janus Walter B.A.
Karsten Kraushaar B.A.
Francoise Freudenberger-Stey
Ellen Jessel-Walter
Thea Nette
Friedlinde Meyer
Heike Karge
Julian Schuchhardt-Dippel
Ellen Haase
Judith Hering B.A.
Ing. Alberto Werner
Edeltrud Koch
Univ.Prof. Paul-Gerhard Lübs MBA.
Ralph Hellwig-Lachmann
Herlinde Schenk B.A.
Mohammad Karz MBA.
Dipl.-Ing. Bekir Boucsein
Ing. Leonid Budig B.A.
Alessandro Werner
Bayram Gertz-Hendriks
Ralf-Dieter Kroker
Bertold Bloch-Beckmann
Michaele Klotz B.Eng.
Roswita Gumprich-Butte
Karl-Heinrich Sölzer
Evelin Stumpf
Prof. Folker Budig
Harm Sontag-Wilms
Gaetano Fröhlich
Eugenia Sorgatz
Hans-Hinrich Stiffel
Luka Stiffel
Dipl.-Ing. Slobodan Sölzer
Hagen Girschner
Miroslav Kohl
Univ.Prof. Dolores Rust
Frau Francesca Blümel
Robert Etzold
René Rose-Krebs
Fridolin Paffrath-Geisler
Univ.Prof. Ladislaus Hande
Hans-Hinrich Bohlander
Ing. Istvan Finke
Heidrun Stiebitz
Resi Ullmann
Traude Kuhl
Martina Hartung
Gotthilf Gertz
Ivana Wilmsen-Gumprich
Nils Stey
Ana Heinz B.A.
Norma Jungfer
Hanife Thies
Fatima Weinhage-Boucsein
Silvester Scheibe
Ing. Jaqueline Wende B.A.
Rolf-Peter Rosenow MBA.
Maria Hellwig
Univ.Prof. Paul-Heinz Heinz
Marek Walter MBA.
Wiltrud Dietz
Antonina Wagner
Gerd Wiek MBA.
Emma Blümel
Univ.Prof. Alberto Steuer
Bogdan Steckel B.Eng.
Prof. Ana Textor
Pia Fliegner
Jeannine Heinz-Tlustek
Rahel Heidrich-Jüttner
Heinz-Günter Fischer
Harro Keudel
Patric Hermighausen MBA.
Victoria Hornig
Frau Mirja Jüttner B.Eng.
Meike Rosenow
Franz Josef Hoffmann B.Sc.
Konrad Schuster
Dipl.-Ing. Hans-Gerhard Schleich
Ing. Heinz-Josef Hoffmann
Uschi Keudel
Jeannine Gieß
Walter Weller
Univ.Prof. Inga Hermighausen B.Eng.
Andrew Schlosser
Zehra Ernst-Bohnbach
Marliese Becker
Siegmar Keudel-Gude
Elias Hethur
Auguste Buchholz B.Sc.
Ivo Lorch
Hildegard Schlosser-Jacobi Jäckel
Kristina Scheibe
Dr. Inna Mude MBA.
Kornelius Sontag
Gerta Hartmann
Ilka Heß
Ing. Dorothee Harloff B.Sc.
Matteo Krein-Müller
Peer Bärer
Kaspar Hänel
Anneke Jähn
Ignatz Budig
Juan Schweitzer
Karsten Schwital
Prof. Susanne Rose
Univ.Prof. Milka Bähr
Prof. John Jessel
Univ.Prof. Agathe Steinberg MBA.
Robert Budig-Ullmann
Urte Bolzmann
Gudrun Heß B.Sc.
Paolo Klotz-Hein
Herr Muzaffer Klotz B.Sc.
Dr. Lidija Weihmann
Brigitte Knappe
Esther Eberth-Kensy
Elli Kuhl B.Eng.
David Faust-Holsten
Hans-Karl Christoph-Schleich
Frau Herlinde Schleich B.Sc.
Johanna Bohlander
Heinz-Dieter Caspar-Hande
Kornelius Hornig MBA.
Hans-Georg Anders
Milka Scholl
Univ.Prof. Ralf-Dieter Kabus MBA.
Herr Vladimir Zimmer MBA.
Frau Hildegunde Koch II
Marianna Hofmann
Emilia Römer
Gerolf Döring-Buchholz
Clarissa Wieloch
Ulrich Plath-Weihmann
Prof. Liane Jungfer
Bogdan Zirme
Mechthilde Lindau B.A.
Prof. Martin Ullmann
Piotr Hande
Caroline Linke
Gunter Schenk B.Sc.
Gunda Warmer
Bernt Huhn
Frederik Rust
Jeannette Heuser
Hanno Trub
Prof. Dirk Biggen B.Eng.
Annaliese Lübs
Sedat Gude
Dr. Jan-Peter Martin B.Eng.
Gudrun Reichmann MBA.
Nadeschda Rädel
Emine Vollbrecht B.Eng.
Gerard Förster
Herr Gisbert Langern
Hans-Martin Kohl
Clemens Thanel
Vera Scholl
Carmine Hauffer
Concetta Dehmel
Prof. Ilse Schmiedecke
Hildburg Tlustek
Oda Barkholz
Dolores Stey-Matthäi
Ing. Heide Winkler
Erhardt Steinberg
Ing. Marie-Therese Schleich
Miroslawa Jäkel-Bohnbach
Gunar Dobes B.Sc.
Janet Jüttner
Prof. Nikolai Gunpf
Jasmina Rudolph
Falko Kusch B.A.
Nurettin Mans-Klemt
Zita Wieloch-Scholtz
Waltraud Hentschel
Aysel van der Dussen-Jäntsch
Conny Zirme B.Sc.
Edit Kitzmann
Hans-Wolfgang Harloff
Hanne-Lore Kraus
Prof. Julia Möchlichen B.A.
Dipl.-Ing. Danuta Stumpf B.Eng.
Kristian Anders B.Sc.
Ibrahim Lehmann B.Eng.
Marion Drewes
Mijo Karge-Löchel
Dipl.-Ing. Adriana Geißler
Anatolij Junk
Gerhart Hentschel
Hüseyin Stahr
Ing. Lisette Kaul B.A.
Mareen Mies B.Eng.
Univ.Prof. Irene Budig
Horst-Dieter Gude
Domenico Gerlach-Kramer
Dipl.-Ing. Alf Graf
Luka Weimer-Beyer
Willibald Ziegert-Siering
Rudi Schacht
Marieluise Schulz
Wiebke Caspar B.A.
Herr Steven Eberhardt
Desiree Ruppert
Alf Jüttner
Branka Speer B.A.
Achim Etzold MBA.
Univ.Prof. Horst-Günter Nohlmans B.Eng.
Anne-Rose Krause
Rose-Marie Schüler
Fredi Jäntsch
Lene Hermann-Kaul
Heidelore Zirme
Dr. Steven Wohlgemut
Nada Butte
Alicja Stiffel
Jens-Uwe Geisler
Dr. Silvio Täsche
Henriette Pohl
Viola Ackermann
Rebecca Oderwald
Maurizio Mans-Ullmann
Pius Jopich B.Eng.
Irmi Täsche B.A.
Dr. Elena Kade B.Sc.
Karl-Georg Dörschner
Herr Alwin Sager B.A.
Univ.Prof. Walfried Hövel
Dipl.-Ing. Margarete Schmidt
Dipl.-Ing. Hans-Peter Hertrampf
Prof. Mathias Kambs
Adelgunde Beer
Anne-Marie Sontag
Ing. Marie-Therese Seifert
Jolanda Rose
Angelika Roskoth
Dr. Natascha Schmidtke B.Eng.
Ing. Sibel Mies
Prof. Carina Eimer
Dr. Eleni Heser
Klaus-D. Sölzer
Korinna Koch II
Gerwin Schuster
Calogero Mude-Etzold
Senta Weihmann
Remo Köhler
Prof. Anna Kühnert B.Sc.
Philip Mangold
Joerg Fritsch-Pieper
Dr. Zeljko Pruschke
Augustin Hoffmann MBA.
Gundi Sager
Wolfhard Ziegert
Marliese Drubin
Slobodan Hauffer
Franz Josef Haase
Veit Beckmann
Stefani Caspar
Valeria Finke
Dr. Sara Niemeier
Hans-Helmut Wesack
Jasmina Koch MBA.
Ingetraut Jopich
Rosa Rosenow B.Eng.
Anatolij Kroker B.Eng.
Mahmut Rose B.A.
Eileen Hartung
Annaliese Klingelhöfer
Mehmet Beckmann-Geisel
Antonina Pärtzelt-Gerlach
Univ.Prof. Viktoria Seifert
Ing. Leszek Gutknecht B.Sc.
Ing. Britt Trupp B.Eng.
Herr Francis Scholtz
Oxana Linke B.Eng.
Romy Zahn-Bien
Jonas Adler
Eggert Rörricht-Schwital
Berthold Rohleder
Elfi Wesack
Leokadia Bloch
Dr. Jasmina Ruppert
Prof. Wolf-Dietrich Schweitzer MBA.
Dr. Alberto Kabus B.Sc.
Kreszenz Beier
Dusan Ruppersberger B.Sc.
Anselm Dowerg
Dr. Ayse Martin MBA.
Constance Lange
Ing. Zofia Ernst
Dr. Frank Oderwald MBA.
Adelheid Salz
Prof. Lutz Adolph
Dr. Immo Kramer
Adrian Fiebig-Dörschner
Elsbeth Schmiedecke-Wulf
Herwig Krebs
Heinz Dieter Barkholz
Thomas Hänel
Editha Jacob
Ellen Röhrdanz
Hardy Weller
Ing. Alwine Scholz
Heinz-Wilhelm Steuer-Mende
René Kruschwitz
Kunibert Heß MBA.
Rolf Wirth
Tanja Renner B.Sc.
Anne-Katrin Lorch
Matthäus Striebitz-Zirme
Gitte Römer-Kroker
Dipl.-Ing. Gertraut Stolze
Witold Wulf
Adriana Vogt
Hans-Dietrich Fliegner
Dr. Gero Röhricht B.Eng.
Vesna Wähner
Vera Losekann
Ehrhard Klotz
Iwan Käster
Franka Weinhold
Roderich Weitzel
Deborah Beier
Arif Pergande-Wagenknecht
Kristina Wernecke
Maria-Theresia Scholl
Frau Katarina Lindner
Dipl.-Ing. Hannelore Kostolzin
Silvia Lübs
Cetin Heidrich
Nada Girschner
Alexandra Henk MBA.
Ing. Janin Winkler MBA.
Leon Linke
Maria Mans B.Eng.
Nicole Hoffmann
Malgorzata Tlustek
Richard Drub
Nadja Häring B.Eng.
Janos Kobelt-Henck
Mark Röhricht
Dipl.-Ing. Jens-Peter Dippel MBA.
Prof. Helga Hesse
Ingeborg Wesack
Mirko Eckbauer
Horst-Günter Zirme
Patrik Ditschlerin
Ignaz Stoll
Univ.Prof. Annegrete Henck B.A.
Univ.Prof. Damian Sorgatz B.Eng.
Nikola Riehl
Walentina Eckbauer
Enver Dehmel
Univ.Prof. Suse Lachmann B.Sc.
Tony Hecker
Carolin Etzler
Dogan Häring MBA.
Heinz-Günther Bohnbach
Melitta Salz
Lotte Kitzmann B.A.
Giuseppe Preiß
Branka Mentzel
Ottfried Peukert-Schulz
Dipl.-Ing. Albrecht Metz
Pero Gutknecht
Klaus Dieter Weimer-Hein
Bernard Karge
Herr Ekkehart Sorgatz
Ivan Plath
Herr Darius Heuser
Ing. Gundi Boucsein B.Sc.
Dipl.-Ing. Mathias Metz B.A.
Otmar Misicher
Maurice Beckmann
Zdenka Heser
Hildegund Gunpf
Univ.Prof. Axel Dörschner B.Sc.
Evangelia Schlosser-Boucsein
Herr Simon Fliegner MBA.
Ekrem Zänker
Ing. Eugenie Birnbaum
Sylwia Bolander
Walfried Wohlgemut B.Eng.
Cindy Stahr
Ing. Zdenka Neuschäfer
Hans-Jörg Lachmann
Herr Gerhardt Benthin
Marlies Beckmann
Ing. Elenore Kostolzin
Hellmut Nerger
Prof. Frithjof Binner
Herr Hansjoachim Geisler
Diana Weitzel
Marianna Rosenow-Weiß
Piotr Speer-Seifert
Wiltrud Ladeck MBA.
Aline Atzler-Beckmann
Tassilo Gehringer
Henriette Bruder
Ing. Pauline Linke
Stavros Hentschel B.Eng.
Wilfried Steinberg
Hermine Schüler
Elizabeth Jacob
Hans-Ulrich Plath B.A.
Ulrich Schlosser
Adelheid Schmidtke
Reinhilde Hesse B.Sc.
Fanny Zänker-Hein
Gottfried Hettner-Reising
Ing. Rosina Kabus MBA.
Tilman Henschel
Univ.Prof. Josip Hartung
Mathilde Wähner-Bien
Simon Meyer
Ing. August Hellwig B.Eng.
Pius Röhrdanz
Karl-Georg Römer B.A.
Angela Stiffel
Sigurd Lange-Seifert
Univ.Prof. Andrea Gieß B.Eng.
Eileen Etzler
Hans-Willi Benthin
Hermine Eberhardt
Valeri Tschentscher
Eitel Hethur
Thies Birnbaum B.A.
Johanna Stumpf
Prof. Sepp Blümel
Mariusz Adler
Gerard Scholl
Univ.Prof. Albin Bärer
Dipl.-Ing. Gilbert Plath B.Sc.
Ansgar Seidel
Danuta Lachmann-Dussen van
Prof. Niko Atzler B.Sc.
Cordula Hornig
Bertha Gotthard
Dipl.-Ing. Grete Stiebitz
Dr. Annelene Hamann
Alina Schmiedecke
James Kostolzin-Staude
Edelbert Bruder
Tony Wende
Dipl.-Ing. Nathalie Bender
Hedda Mielcarek
Theodora Aumann
Prof. Evelyn Henk
Timm Oderwald
Marlis Wiek
Margret Dehmel
Karoline Carsten
Jörg Haase-Röhricht
Karl Heinz Kruschwitz-Reising
Verena Gute-Trüb
Dr. Auguste Sager
Nicolaus Franke-Paffrath
Franca Mentzel
Celal Pohl
Birgid Graf
Amanda Heinz
Lidwina Karz MBA.
Dipl.-Ing. Gusti Ditschlerin B.Eng.
Veronica Benthin
Till Bolander
Claus Juncken
Ing. Wladimir Karz MBA.
Anne-Kathrin Geisler
Ann Spieß MBA.
Regina Barkholz
Isabel Rose
Dr. Herbert Jockel B.Eng.
Jens Trub
Univ.Prof. Ilja Hentschel MBA.
Hanne-Lore Johann
Ing. Helmuth Bachmann B.Sc.
Lambert Wilmsen
Judith Gerlach
Elif Wohlgemut
Prof. Ulla Dussen van B.Sc.
Ilhan Hoffmann-Karz
Daniel Zänker
Maria-Theresia Tschentscher
Univ.Prof. Harro Fröhlich
Siegmund Schleich MBA.
Sami Linke B.A.
Bayram Cichorius-Zobel
Olaf Hethur
Dr. Thekla Lindau B.Sc.
Elwira Wirth
Julia Heinrich
Elfi Bolander
Frau Hildegart Etzler B.A.
Silja Kraus-Schuster
Lutz Mies-Hesse
Dr. Zeki Eberth
Univ.Prof. Resi Knappe
Lili Weimer
Karl-Ernst Reuter
Ottokar Fliegner
Frank-Peter Bien
Jo Dussen van
Antonius Stoll-Krebs
Marlene Steckel B.A.
Pius Römer MBA.
Theda Stumpf B.Eng.
Gaby Bähr
Henrik Hein B.A.
Birgitta Loos
Theodor Niemeier
Georgia Ruppersberger
Univ.Prof. Karen Etzold B.A.
Jurij Zimmer
Anna-Marie Heidrich
Anna-Maria Holzapfel
Ron Dobes-Weihmann
Ernst-August Oestrovsky-Kreusel
Helmtrud Gerlach
Tanja Plath
Irmengard Eckbauer
Hans-Gerhard Staude
Gunhild Holt-Rust
Sarina Dörr
Darius Trupp
Prof. Gunter Mentzel
Stjepan Hofmann-Hethur
Prof. Henryk Kitzmann
Susan Warmer
Univ.Prof. Melita Langern
Dr. Dagmar Hörle B.Sc.
Hans Kohl MBA.
Rolf-Dieter Flantz B.Eng.
Emmy Koch
Stanislaus Davids MBA.
Dipl.-Ing. Mahmoud Mühle B.Eng.
Dipl.-Ing. Janet Ruppersberger
Carl-Heinz Steinberg
Liane Hermann MBA.
Univ.Prof. Ayten Lorch
Ing. Rose-Marie Hölzenbecher
Kaspar Trub
Concetta Karge
Irmi Schacht
Hans-Dieter Scholl
Siegward Hertrampf
Zofia Gumprich
Dipl.-Ing. Kevin Henk B.A.
Laura Beier
Alexej Liebelt
Anton Drubin
Steven Käster B.Sc.
Univ.Prof. Rotraut Juncken B.A.
Rabea Weiß MBA.
Lutz Röhricht B.A.
Delia Rust
Lars Walter
Frau Melita Scholz B.A.
Cathleen Gude
Martin Dörr
Prof. Lydia Siering
Prof. Reza Ebert B.Eng.
Till Karz
Dr. Paulina Textor B.A.
Bodo Kranz-Striebitz
Elisa Mälzer
Univ.Prof. Mira Mende B.Eng.
Sigurd Höfig B.Sc.
Cosima Johann
Danuta Kensy
Magrit Lange
Olivia Nerger B.Eng.
Jörgen Putz B.A.
Kata Atzler
Brigitta Walter
Dr. Anika auch Schlauchin B.Sc.
Heinz-Peter Butte B.Eng.
Ing. Anna-Maria Stey
Mariana Jüttner
Dipl.-Ing. Janus Roht B.Sc.
Ing. Maike Hölzenbecher B.A.
Dipl.-Ing. Denise Beier
Alexandre Häring
Samir Krein B.A.
Lore Margraf
Rosina Ditschlerin-Ortmann
Elli Kohl
Hilmar Faust
Elfie Jäkel
Stilla Heuser
Joana Zimmer B.A.
Trudel Bloch
Dipl.-Ing. Sigrun Bärer
Franjo Löffler B.Eng.
Karl-Hans Schuchhardt-Mohaupt
Igor Dörschner
Martha auch Schlauchin
Hans-Bernd Rose
Frau Anne-Kathrin Wagner
Ingelore Heinz
Krista Scholtz
Isabelle Förster-Beyer
Ing. Alexander Mude
Sigismund Junitz
Nico Möchlichen
Meryem Graf-Lange
Jurij Bärer
Heinz-Willi Geisel
Emanuel Kitzmann
Aenne Mende B.Eng.
Gertraud Mentzel
Dietlind Albers
Ellen Vogt
Joerg Zimmer-Kusch
Cäcilie Roht-Misicher
Brita Roht MBA.
Zoltan Wilms
Luis Oderwald
Linus Drub
Univ.Prof. Franz-Josef Zänker
Anika Biggen MBA.
Betty Steinberg
Hans Jürgen Winkler
Guiseppe Rust
Freddy Nette-Hendriks
Prof. Balthasar Hecker B.Eng.
Enrico Hellwig
Karl-Josef Schottin-Hoffmann
Zeljko Gieß
Gerhardt Barkholz B.Eng.
Elvira Cichorius
Romuald Kambs MBA.
Ing. Aziz Hein
Werner Kramer B.A.
Silvia Henschel
Univ.Prof. Francesco Schulz B.Eng.
Friedl Barth
Dr. Marliese Junck B.Sc.
Walter Pruschke
Herr Anton Mohaupt B.A.
Mira Rohleder
Dr. Ruth Dobes
Univ.Prof. Guido Carsten MBA.
Renata Holt-Heintze
Hulda Neuschäfer B.A.
Dr. Erdogan Fröhlich
Michel Heß
Dipl.-Ing. Helma Heuser B.Sc.
Prof. Annita Wulff
Klaudia Löffler-Zorbach
Klemens Winkler
Wanda Becker
Prof. Cilli Wulf
Aloys Ruppert
Mercedes Christoph
Friedrich-Karl Weimer
Mahmoud Ditschlerin-Trüb
Karl-Wilhelm Rogner
Lambert Röhricht-Johann
Bertram Höfig B.Sc.
Diedrich Scheel-Hübel
Ferdi Hoffmann
Ing. Berthold Rosenow
Regina Ring
Prof. Gertraud Drewes
Adrian Killer
Mariana Steckel
Dipl.-Ing. Ilse Heß B.Sc.
Carina Schaaf
Katalin Butte
Franz Schweitzer
Birgid Drewes-Seifert
Roselinde Metz MBA.
Milena Weitzel-Steinberg
Malte Herrmann-Zänker
Ehrhard Förster
Tina van der Dussen
Univ.Prof. Antonina Becker
