Student
Annemie Kade-Kuhl
Fabienne Birnbaum
Ing. Gabriela Dippel MBA.
Albin Schuchhardt
Egbert Tschentscher
Mareike Lübs
Michail Pechel
Ing. Diedrich Gotthard MBA.
Waltraut Gehringer
Dr. Ottfried Lachmann B.Sc.
Roy Schmidt B.Eng.
Kreszentia Bloch-Steckel
Ing. Wencke Speer
Nurettin Börner
Franco Radisch
Dipl.-Ing. Ingolf Krein
Karla Gunpf
Orhan Dörr-Salz
Prof. Volker Hermann
Gislinde Wagenknecht
Reimar Trüb
Maxim Wilms-Meister
Univ.Prof. Sergio Kreusel MBA.
Nikolas Hövel
Fabienne Matthäi-Heß
Nadja Schleich MBA.
Klemens Knappe
Alexej Röhrdanz
Ignatz Franke
Marek Adler
Marta Eigenwillig-Hörle
Gülsen Davids-Heinz
Frau Cynthia Bähr B.Sc.
Adriane Wende
Paula Stroh
Tina van der Dussen
Dr. Hans-Detlef Lindau B.Eng.
Univ.Prof. Charlotte Lindner MBA.
Univ.Prof. Anika Pärtzelt MBA.
Senta Renner
Tülay Schmidtke B.Sc.
Mary Staude
Brit Anders
Kay-Uwe Jähn-Schwital
Rosa Heuser
Betty Steinberg
Konrad Henschel
Werner Heydrich-Schmidtke
Nicolas Tschentscher
Univ.Prof. Jaqueline Dehmel
Denny Pechel
Nicolaus Seifert B.A.
Dr. Marco Scheuermann
Oliver Kohl
Eitel Hethur
Arif Pergande-Wagenknecht
Dr. Valentin Eigenwillig
Marlene Drubin
Dipl.-Ing. Alla Karge
Romy Baum
Waltraud Hentschel
Trude Ruppersberger
Auguste Pruschke
Olivia Nerger B.Eng.
Vitali Neureuther
Marcella Sölzer
Ing. Alma Rudolph B.Sc.
Dr. Aldo Fritsch
Wibke Reuter
Univ.Prof. Reginald Lorch
Dipl.-Ing. Iris Stumpf MBA.
Ing. Willibert Steckel
Saban Eimer
Rüdiger Geisler
Lissi Thanel MBA.
Harold Bohlander B.Sc.
Siegrid Paffrath
Christl Eigenwillig
Univ.Prof. Ahmet Birnbaum MBA.
Annelise Jungfer
Jolanthe Jessel
Willibald Holsten
Rouven Bloch B.A.
Vassilios Birnbaum
Margarete Kabus
Antonino Klingelhöfer
Istvan Scheuermann
Dr. Mohammed Höfig
Georgia Liebelt
Gisela Carsten B.Sc.
Mercedes Christoph
Zbigniew Weinhage
Horst-Peter Löchel
Holger Roskoth B.Sc.
Ing. Edeltraud Zirme
Franz-Peter Benthin-Reichmann
Marianna Karge
Bettina Klapp
Elly Hande
Univ.Prof. Liliana Drub
Hilmar Spieß
Henni Wagenknecht B.Sc.
Ing. Eckart Becker B.Sc.
Dipl.-Ing. Hans-Günther Bien
Gerhild Stiffel
Kirstin Boucsein B.Eng.
Berthold Rohleder
Wiltrud Gröttner-Klapp
Ing. Stella Wagner
Ing. Maria Lübs
Trude Scholtz B.A.
Frau Therese Henk B.A.
Birgid Freudenberger
Katharina Etzler
Abram Briemer
Prof. Trude Schäfer MBA.
Wolf Häring-Kallert
Dr. Deborah Kade
Irene Stumpf
Gaby Noack
Johann Rust
Helmar Klapp
Prof. Antonia Mielcarek B.Eng.
Ivo Wesack B.Sc.
Auguste Buchholz B.Sc.
Alina Schmiedecke
Krystyna Holsten B.A.
Dierk Gunpf B.A.
Univ.Prof. Niklas Mohaupt MBA.
Katharina Speer
Leon Bauer
Annamaria Margraf
Nuran Schäfer B.A.
Dörte Schlosser
Wulf Eberhardt
Univ.Prof. Jeannette Schleich B.Sc.
Oxana Stumpf
Ingried Hänel
Tamara Bender MBA.
Jürgen Herrmann-Koch
Xenia Hermann
Hans Jürgen Grein Groth-Rudolph
Steffen Schlosser
Dr. Almut Nohlmans B.A.
Mariele Peukert
Marica Martin
Volkhard Köster-Jüttner
Agata Hertrampf
Czeslaw Fiebig
Dr. Songül Tlustek MBA.
Adelinde Zimmer
Abram Peukert MBA.
Jaroslaw Pieper MBA.
Univ.Prof. Nikolaus Sölzer B.A.
Stavros Meyer
Emmi Adolph
Lissy Dippel
Hanna Speer
Aenne Sölzer B.A.
Marvin Gröttner MBA.
Prof. Helmut Hellwig MBA.
Siegbert Seifert
Sara Johann
Felicia Flantz-Lehmann
Czeslaw Jacobi Jäckel-Zahn
Marietta Geißler
Rainer Henk-Gotthard
Ing. Eugenie Birnbaum
Luis Jacob
Frithjof Gertz
Herr Hans-Martin Heuser
Abraham Adler
Antonia Stey
Anka Förster
Lieschen Röhrdanz
Reimund Bohlander
Frau Katarina Bolander B.Sc.
Univ.Prof. Gunter Kaul
Lissi Rust-Metz
Svea Krebs-Scheibe
Beatrice Käster
Hilma Berger
Peggy Rogge-Lachmann
Univ.Prof. Vinko Tschentscher
Olaf Hethur
Bernfried Roht
Gunnar Ernst
Ekaterina Conradi
Hermann Josef Weihmann
Sybilla Striebitz
Catherine Cichorius
Emma Blümel
Cornelia Römer
Hedda Schönland
Klara Löchel-Bien
Alexej Wagner
Frau Gitte Hänel
Elke Hiller
Gretel Hande
Markus Eimer
Dr. Baldur Johann B.Eng.
Rene Wernecke
Hermann Bruder
Kristian Ritter
Manuela Sauer
Frau Florence Ditschlerin B.Eng.
Herr Vito Roskoth B.Sc.
Anton Müller
Ben Zahn
Univ.Prof. Gesa Loos
Heinz-Georg Hornich
Frau Rosalinde Riehl
Zeljko Hiller-Misicher
Univ.Prof. Marko Schmiedecke MBA.
Univ.Prof. Bert Gieß
Torben Roskoth-Wilmsen
Magdalena Löwer B.Eng.
Herr Frieder Wulff B.Sc.
Hans-Friedrich Ruppert-Ullrich
Marjan Segebahn B.Eng.
Marcus Langern
Gerti Ullrich
Eberhard Dobes
Nikolaos Dehmel B.A.
Univ.Prof. Heidelinde Jopich B.Sc.
Ing. Alberto Werner
Marlen Schenk-Schuchhardt
Ing. Wolf-Rüdiger Dietz B.Sc.
Ioannis Klemt
Tabea Birnbaum
Edith Binner
Rainer Scheel B.Eng.
Prof. Marie-Theres Löffler B.Sc.
Linus Lübs
Maximilian Pohl B.A.
Univ.Prof. Diethard Klotz
Dr. Alberto Kabus B.Sc.
Prof. Concetta Mies B.Eng.
Irmi Gute
Maja Fischer B.A.
Dragica Kreusel
Univ.Prof. Undine Junken MBA.
Prof. Sibel Mälzer MBA.
Irmtraut Süßebier
Herbert Budig
Enrico Reising MBA.
Beatrix Möchlichen
Univ.Prof. Walfried Hövel
Josef Butte-Lindau
Burkhard Schweitzer
Arnulf Ullmann
Elke Haase
Frau Zdenka Boucsein B.Eng.
Albrecht Rust-Heinrich
Heinz-Günther Bohnbach
Vinko Reuter
Sibylla Pohl
Hans-Herbert Harloff
Berndt Riehl-Bohlander
Dipl.-Ing. Tamara Seifert B.A.
Paulo Trommler
Achim Budig
Frau Melita Huhn
Dr. Carsten Steinberg
Karlfried Sorgatz
Prof. Ivonne Boucsein B.Eng.
Dr. Vitus Franke
Jonas Budig
Mareen Krebs-Hofmann
Ing. Anton Gotthard MBA.
Wulf Schuster
Änne Tlustek-Freudenberger
Reinhold Hellwig-Mülichen
Ernst-Dieter Geisler B.Eng.
Marie-Therese Birnbaum
Prof. Katarzyna Gehringer B.Eng.
Ehrhard Pruschke
Dr. Regine Gotthard
Sami Stolze-Döhn
Cynthia Linke
Dipl.-Ing. Rudi Wiek B.Eng.
Maya Lindner-Zimmer
Malgorzata Tlustek
Ing. Sibel Mies
Ing. Petar Hänel MBA.
Theodoros Vollbrecht-Gutknecht
Ellen Vogt
Mona Wiek B.Eng.
Evi Wilmsen MBA.
Ernst-Dieter Rörricht B.Eng.
Gönül Kallert
Rene Rohleder
Julia Conradi-Mentzel
Louis Loos B.Eng.
Catrin Weller
Halina Lachmann
Nicolai Gutknecht
Ing. Muharrem Paffrath B.Sc.
Univ.Prof. Romuald Hermighausen
Edmund Gnatz-Rogner
Milos Pärtzelt B.Sc.
Annelene Adolph B.A.
Fanny Zänker-Hein
Heribert Ring B.A.
Karl Ruppersberger
Paul Carsten
Carl Scheibe
Astrid Nerger-Tröst
Ingetraud Austermühle-Dowerg
Thomas Hentschel
Canan auch Schlauchin-Dussen van
Ellen auch Schlauchin
Damian Söding
Eva-Maria Geisler
Herr Bartholomäus Adolph MBA.
Dagobert Bohnbach
Steve Scholl-Ladeck
Prof. Reimar Reinhardt MBA.
Marie-Therese Schleich
Univ.Prof. Pius Kühnert
Gotthard Löwer
Birgitta Schleich
Ahmad Preiß
Dipl.-Ing. Edgar Gehringer B.Eng.
Nelli Stiebitz
Ing. Christiana Seip
Lisa Rädel-Bender
Florence Schulz
Anni Dietz-Blümel
Metin Hande
Dipl.-Ing. Marc Stroh
Annika Wirth
Herr Anton Mohaupt B.A.
Ekkehart Kreusel
Univ.Prof. Metin Martin B.Sc.
Dipl.-Ing. Korinna Pärtzelt
Prof. Marijan Hoffmann
Dr. Hans-Herbert Losekann B.A.
Philippe Geisler
Drago Gierschner B.Eng.
Dr. Luisa Anders B.A.
Erwin Etzold
Veronika Gröttner
Prof. Mahmut Barth B.A.
Alice Nette
Fatima Rosemann-Schmidtke
Arzu Stiffel-Drubin
Mareile Oderwald-Hiller
Herr Evangelos Schacht
Birgitta Hettner
Sara Heuser
Univ.Prof. Adelbert Zimmer
Dipl.-Ing. Tomislav Dowerg B.Eng.
Käthi Lübs
Wally Kreusel
Dr. Stephanie Ladeck
Theres Beer
Maxim Roht
Helga Hövel MBA.
Univ.Prof. Bela Kraus
Domenico Gerlach-Kramer
Univ.Prof. Jens Weinhage
Gudula Holzapfel
Josefa Lange
Margaret Kraus
Univ.Prof. Herta Zänker
Cornelius Jacobi Jäckel
Eva-Maria Mies MBA.
Mattias Kensy
Gabriele Stahr
Herta Weitzel
Emmy Trub MBA.
Uwe Schwital MBA.
Herr Baptist Klotz
Felicitas Biggen
Adina Kallert
Raphael Bonbach MBA.
Dörthe Roht
Siegmar Pergande
Dipl.-Ing. Traudel Eigenwillig
Juliane Mentzel-Ziegert
Mehdi Niemeier-Noack
Dipl.-Ing. Jost Bruder B.Eng.
Mariana Steckel
Eugenia Riehl
Ewald Rädel-Rörricht
Dr. Rudolf Killer B.Sc.
Dr. Marie-Theres Möchlichen B.A.
Torben Schweitzer
Ludmilla Pieper
Uli Renner
Dipl.-Ing. Rouven Kallert MBA.
Frau Trudi Wähner B.A.
Cornelius Scheuermann
Dorothe Renner
Wera Klemt
Johanna Finke-Ehlert
Frau Mirja Jüttner B.Eng.
Ing. Friedhold Hartung B.Sc.
Dipl.-Ing. Laila Scheuermann B.Sc.
Wilma Matthäi
Ryszard Anders B.Sc.
Elwira Hellwig
Ivanka Gierschner-Pergande
Univ.Prof. Francisco Tröst B.Eng.
Eckehard Mude
Janusz Kruschwitz B.Eng.
Katharina Käster MBA.
Prof. Folker Budig
Heinz-Josef Jähn MBA.
Univ.Prof. Halina Hamann MBA.
Guntram Scholz MBA.
Berta Hörle-Börner
Sonja Paffrath-Reichmann
Joachim Kramer
Frau Siegried Margraf B.Sc.
Philip Fritsch
Ottfried Peukert-Schulz
Carmen Berger
Folker Otto
Prof. Linus Kambs B.A.
Monique Stroh
Univ.Prof. Dogan Mielcarek
Ivana Mans-Bruder
Sophie Pruschke
Franziska Hörle B.Sc.
Malte Herrmann-Zänker
Ulrike Hiller
Patric Heinrich
Univ.Prof. Hugo Martin
Ellen Jessel-Walter
Otmar Wende
Frau Aleksandra Dobes B.A.
Margareta Dörschner B.Sc.
Boris Stumpf
Univ.Prof. Hans-Albert Ruppert
Ing. Antonius Jacobi Jäckel MBA.
Gabriel Süßebier-Eigenwillig
Ulf Kensy MBA.
Caroline Haering MBA.
Marzena Mentzel
Evi Oestrovsky
Irmtraut Ortmann MBA.
Zeynep Keudel
Friedo Ritter
Marta Herrmann
Aleksej Lehmann
Univ.Prof. Babette Kitzmann
Herr Francis Scholtz
Irmengard Röhrdanz
Tobias Mühle
Olav Margraf
Mandy Huhn B.A.
Anneliese Wähner
Concetta Karge
Gilbert Peukert B.Eng.
Dr. Slawomir Hande
Dr. Karl-Hermann Gude
Bertram Rädel
Thomas Hänel
Tülay Trapp
Stilla Klotz
Georgia Trub
Anne-Rose Klemm
Heinz-Jürgen Hesse
Stephen Ackermann B.A.
Heidelore Heinrich
Gisa Dörr B.Eng.
Fernando Gieß
Angelo Röhrdanz
Lars Weller
Ing. Denny Mende
Gilda Scholz
Hans-Uwe Sager
Stephanie Kranz B.A.
Sören Spieß
Kay-Uwe Pölitz
Sina Mende
Marika Sager
Uta Karz
Cilli Gorlitz
Irma Neureuther
Prof. Branko Weller MBA.
Dr. Karla Christoph
Catrin Bachmann
Urte Caspar
Louis Kostolzin
Daniela Siering
Wojciech Losekann-Seidel
Prof. Vadim Rogner
Hans D. Haering
Irmgard Weinhage-Wieloch
Emmerich Killer
Frau Francesca Blümel
Jorge Weitzel
Bernard Bien-Lübs
Dimitrios Kraushaar-Adolph
Univ.Prof. Milka Bähr
Esther Hoffmann-Hermighausen
Tilman Killer B.A.
Pirmin Wulf B.Sc.
Sandra Hornig
Baldur Knappe
Roswita Hofmann MBA.
Dana Jäntsch
Univ.Prof. Steffen Tröst
Burkhard Holt-Schleich
Hilmar Ziegert
Frau Theodora Hettner B.A.
Sylvester Neuschäfer-Schacht
Prof. Ferdinand Gertz B.Sc.
Frau Anne-Katrin Rädel
Elwira Wirth
Nuray Aumann
Herr Hans Peter Jacob
Nadja Hethur
Dr. Theodor Sager
Alwina Neureuther
Undine Scheibe-Stey
Jaroslaw Seip
Antonie Fischer-Margraf
Wilfriede Blümel
Sükrü Walter B.Eng.
Oxana Schmidtke
Karl-Otto Putz
Jennifer Trapp
Heinz-Dieter Caspar-Hande
Prof. Ludger Kohl MBA.
Univ.Prof. Norma Schleich B.Sc.
Dipl.-Ing. Franz Reising
Tillmann Stolze
Prof. Patrik Scheel
Marcel Oestrovsky
Kordula Kambs B.Eng.
Annelise Steckel B.Sc.
Cornelia Schinke
Martina Salz-Sorgatz
Ing. Jens-Peter Tschentscher
Emilie Bolander
Christina Geisel-Hesse
Ing. Hatice Gehringer
Regina Hamann B.Sc.
Heike Karge
Prof. Auguste Scholz
Hans-Detlef Matthäi
Ottokar Fliegner
Ing. Marcel Gute
Wally Krein-Bien
Reimund Kraushaar
Hans-Christian Finke
Eckart Cichorius
Margareta Losekann
Gundel Dietz
José Tschentscher-Textor
Veli Rädel
Prof. Constance Girschner MBA.
Ilka Lachmann
Annie Hänel
Bertram Segebahn
Zofia Schulz
Evelyn Ortmann
Arne Dobes
Muharrem Benthin
Timo Siering-Hübel
Raissa Gehringer-Putz
Klaudia Vollbrecht B.A.
Burghard Wohlgemut
René Säuberlich B.Eng.
Marlies Seifert-Roht
Ing. Aziz Hein
Conrad Lindau
Brita Kaul
Dr. Anna-Maria Zahn B.Sc.
Hans-Michael Krein-Wernecke
Gudula Stroh-Bien
Ing. Gertraude Holsten B.Sc.
Constanze Schleich
Mohamed Stiebitz-Pärtzelt
Krista Putz
Ralph Fröhlich
Konstantin Eimer-Lehmann
Hülya Conradi
Thies Rose
Ingo Heinz
Anni Kraus
Ing. Marvin Renner MBA.
Ing. Rosalinde Käster MBA.
Dipl.-Ing. Margaretha Köhler B.Eng.
Ing. Janin Winkler MBA.
Konstantinos Linke B.Eng.
Roderich Scholtz
Univ.Prof. Markus Schottin
Gloria Lachmann MBA.
Herr Karl Dippel B.A.
Gisbert Christoph
Miriam Hentschel
Frau Gertraude Wesack B.Eng.
Igor Zobel B.A.
Charles Heinz
Theodora Wilmsen
Ing. Swen Sorgatz B.Eng.
Hartwig Zirme
Helma Schaaf B.A.
Ing. Gerold Mende
Hermine Eberhardt
Frank-Peter Bien
Luka Weimer-Beyer
Univ.Prof. Alois Jähn B.Eng.
Herr Emin Trubin
Univ.Prof. Meta Rädel
Dipl.-Ing. Aleksandra Wagner MBA.
Giuseppina Linke
Andree Wilmsen B.Eng.
Rosa Rosenow B.Eng.
Frau Etta Wesack MBA.
Sigurd Holsten B.Sc.
Alf Jüttner
Sandy Dietz
Kai-Uwe Köhler
Saskia Heidrich
Dipl.-Ing. Daniele Geißler
Beate Johann
Klara Blümel
Bernhardine Schuchhardt
Danica Atzler
Elizabeth Stahr
Prof. Necati Stey B.A.
Gert Fischer
Nikola Riehl
Regina Wende
René Ullrich
Stanislaus Geißler
Prof. Luzie Killer B.Sc.
Erol Kreusel B.Sc.
Solveig Scheibe
Pius Röhrdanz
Ing. Ahmet Häring
Riza Heydrich
Lorenzo Hornig
Dipl.-Ing. Utz Adler B.A.
Lore Tröst
Yusuf Schacht
Heinz Krebs B.Eng.
Paul-Gerhard Gunpf
Dipl.-Ing. Gertraut Stolze
Giesela Wagner
Univ.Prof. Olivia Gnatz MBA.
Maurizio Eckbauer
Annelore Riehl
Susanna Söding
Melitta Steinberg
Dr. Gudula Scheuermann
Klaus-Ulrich Tlustek-Förster
Mathias Matthäi
Albina Heinz
Siegfried Schuster
Andre Schinke
Alma Rörricht
Ivo Lorch
Roderich Weitzel
Milos Knappe-Scholz
Dörte Nette
Ing. Romuald Roht B.Sc.
Tibor Schleich
Heinz-Gerd Beyer
Dipl.-Ing. Ryszard Buchholz
Erica Holsten
Helge Wilmsen-Hein
Ing. Giuseppe van der Dussen B.A.
Hermine Schüler
Larissa Ullmann
Ortrun Krebs
Ursel Juncken-Buchholz
Dolores Atzler B.A.
Stephanie Dörr-Bärer
Ada Kreusel
Univ.Prof. Marita Pohl
Steven Weinhold B.A.
Wolf Schottin-Gunpf
Salvatore Ruppersberger
Folkert Reinhardt B.Sc.
Dierk Steinberg
Johann Reuter
Carla Hecker
Jonas Hendriks
Michaele Neureuther
Herr Ronny Tröst B.Sc.
Kunigunda Fischer
Krzysztof Mülichen
Juan Briemer-Textor
Prof. Karen Benthin B.Eng.
Heinz-Werner Buchholz
Prof. Maria-Luise Drub B.Sc.
Dr. Valeri Sölzer B.Sc.
Herlinde Birnbaum
Istvan Patberg-Anders
Philipp Lorch
Prof. Maria-Theresia Schaaf B.A.
Univ.Prof. Hans-Peter Schmidt MBA.
Martha Wilmsen
Ing. Hulda Schaaf
Tillmann Matthäi B.Eng.
Univ.Prof. Galina Kobelt B.Eng.
Günter Fischer
Roselinde Zobel
Heinz-Joachim Trüb B.Sc.
Frau Käte Zahn
Ing. Andrew Nerger
Irina Täsche
Frau Camilla Kruschwitz
Antoinette Schottin
Marvin Kade-Ladeck
Susann Hartung-Schmiedecke
Reni Rosemann MBA.
Annelene Zänker
Dogan Bolander
Janusz Rädel B.Sc.
Francisco Harloff
Herr Ronald Reising B.Sc.
Dipl.-Ing. Edda Barth MBA.
Annemie Herrmann
Cindy Schleich
Elvira Cichorius
Janus Oderwald-auch Schlauchin
Gusti Henschel
Oscar Reinhardt B.A.
Halina Römer-Hartung
Lothar Fischer
Trudi Keudel B.A.
Helge Finke-Wähner
Muzaffer Sorgatz
Dipl.-Ing. Utz Henschel MBA.
Abbas Täsche
Heinz-Otto Linke
Univ.Prof. Paul-Heinz Heinz
Liesbeth Schlosser
Nancy Hartmann-Schottin
Gebhard Eberth B.Eng.
Andrea Hamann
Annelie Metz
Curt Mühle
Ivana Wilmsen-Gumprich
Ilja Hölzenbecher-van der Dussen
Reni Henk
Gina Pieper
Emilie Schmidt-Gröttner
Janett Zorbach
Nada Dowerg-Jähn
Lorenzo Zänker
Ryszard Süßebier-Neureuther
Rosa Gnatz
Hartwig Sorgatz B.Eng.
Hans-Michael Rudolph
Genoveva Gieß
Maria-Luise Schaaf
Herwig Jäntsch B.Sc.
Gunther Tschentscher
Ing. Lisette Kaul B.A.
Herr Falk Holzapfel
Curt Jopich
Diethelm Hofmann
Rolf Wirth
Adolfine Dippel
Dr. Margarethe Ernst
Emilia Scheel
Dittmar Hövel
Univ.Prof. Gregor Gieß MBA.
Hans-Jörg Trupp-Säuberlich
Anatol Adler
Waldemar Hendriks
Otmar Gierschner
Annaliese Klingelhöfer
Eugenie Pieper
Univ.Prof. Hans-Theo Kroker
Herma Geisler-Beckmann
Brigitte Knappe
Heinz-Jürgen Adolph
Herr Kurt Weitzel B.Sc.
Frau Pascale Hettner B.Eng.
Frau Wendelin Heinrich B.Eng.
Dipl.-Ing. Nuray Mude B.Sc.
Univ.Prof. Mahmoud Liebelt
Raphael Höfig
Dipl.-Ing. Lidija Pölitz
Tomas Tlustek
Univ.Prof. Ignatz Baum
Elisabeth Roskoth
Annelies Seifert
Frau Annita Beckmann
Paul Hettner
Kati Koch II
Ben Täsche
Korinna Söding
Evangelia Stumpf-Ruppersberger
Mathilde Kreusel
Britt Bolander B.A.
Dr. Daniel Trommler
Ekkehart Grein Groth
Meinhard Schuster
Julia Ruppersberger
Gunar Börner
Hertha Gieß
Mato Trubin
Bertold Stadelmann
Ivana Mielcarek
Adelinde Ackermann-Knappe
Prof. Sandy Butte
Dr. Zehra Etzler
Veronique Hartung-Haering
Karen Grein Groth-Dörschner
Faruk Köhler
Johan Heydrich
Heinz-Werner Briemer B.A.
Leon Junken
Stilla Hornig B.A.
Joana Zimmer B.A.
Aldo Kusch-Klemm
Ismail Geisler
Ing. Nelli Hornig
Herr Rolf-Peter Renner MBA.
Univ.Prof. Fatima Hiller B.A.
Ing. Marleen Hölzenbecher MBA.
Regine Sorgatz
Ana Heinz B.A.
Ottmar Beier
Ing. Massimo Losekann
Univ.Prof. Ayten Lorch
Hans-Karl Rust MBA.
Nikolaj Scholz
Herr Süleyman Karge MBA.
Patrick Wohlgemut
Paolo Hentschel-Zobel
Angelika Rosemann
Gerold Jacob
Jens-Uwe Neureuther
Peter Mitschke
Dr. Zeki Eberth
Dipl.-Ing. Mariola Lange B.Sc.
Helen Hahn
Ljiljana Roht
Janette Kraushaar
Else Gröttner
Frau Danica Davids B.A.
Prof. Johan van der Dussen
Prof. Fabian Scholl MBA.
Frida Stolze
Ingried Ullmann
Helga Gerlach-Seifert
Elfi Bolander
Inge Kabus
Ing. Zofia Ernst
Ryszard Lorch
Stjepan Hofmann-Hethur
Hans-Georg Scholz
Stefano Wagenknecht
Friedl Hartmann
Dipl.-Ing. Ingbert Krebs B.Eng.
Dr. Harald Ritter
Heinz-Joachim Trupp
Frau Almut Kuhl
Burghard Davids
Miriam van der Dussen
Katherina Hesse
Joachim Fischer
Gabi Neuschäfer-Oestrovsky
Dr. Samuel Tröst
Cemal Hamann
Alexandre Häring
Univ.Prof. Gretchen Sontag B.A.
Karl-Georg Römer B.A.
Gerhild Löffler
Anne-Katrin Höfig
Elise Ackermann
Karl Heinz Eigenwillig
Cindy Meyer
Univ.Prof. Johan Lange
Käthi Löffler
Dajana Ruppert
Kristian Albers
Birgid Drewes-Seifert
Marliese Roht
Marlies Beckmann
Nada Girschner
Univ.Prof. Nadja Jacob B.Eng.
Witold Heintze
Gebhard Krein
Karl-Dieter Süßebier
Hagen Girschner
Evangelia Gierschner
Ildiko Mitschke B.Sc.
Jonathan Gertz-Hertrampf
Suse Pergande-Gröttner
Dipl.-Ing. Rabea Sorgatz MBA.
Viktoria Trub-Budig
Björn Steckel B.Eng.
Dipl.-Ing. Canan Pölitz B.Eng.
Dr. Gerard Dörr
Mariola Heinrich
Freia Hofmann
Ing. Ramazan Kallert MBA.
Johann Baum
Hansjürgen Weitzel
Ing. Claire Hübel
Prof. Anna-Lena Wagner MBA.
Stephanie Krause
Dorina Dippel
Karlfried Ruppersberger
Antonios Walter
Ing. Fredi Löffler
Dipl.-Ing. Lara Tlustek
Zeljko Henck
Dipl.-Ing. Bodo Junk B.Eng.
Margarete Mohaupt B.Sc.
Univ.Prof. Hans D. Ullrich
Anton Stey
Univ.Prof. Dana Seifert
Gerta Kallert-auch Schlauchin
Anton Drubin
Ulrike Gierschner-Koch II
Ing. Peter Trubin B.Sc.
Günther Bähr
Frau Ilka Pärtzelt B.Eng.
Prof. Tina Ullrich
Juliana Möchlichen
Cindy Stahr
Herr Mike Schuchhardt B.A.
Alfred Weinhage-Stiffel
Henryk Jacobi Jäckel B.Sc.
Yusuf Nette B.Sc.
