Student
Gottlob Römer
Gerdi Neureuther-Mälzer
Josef Rädel
Dr. Wencke Junken B.Eng.
Dr. Cengiz Säuberlich
Arzu Wieloch-Röhrdanz
Heinz-Otto Linke
Herr Imre Kohl
Joana Preiß
Dipl.-Ing. Hans-Peter Hertrampf
Elly Hande
Hüseyin Wulf-Schmidt
Genoveva Löffler
Ehrhard Häring B.A.
Hermann Josef Weihmann
Ing. Konstanze Geisel
Hans-J. Hahn-Süßebier
Norman Ditschlerin MBA.
Amanda Fechner-Weinhage
Ansgar Seidel
Dr. Torben Stey
Maximilian Juncken
Univ.Prof. Leif Süßebier B.A.
Dipl.-Ing. Svea Neureuther
Timm Wende
Bianca Mans
Margarete Linke
Herr Valentin Warmer
Univ.Prof. Ioannis Lübs B.Eng.
Hertha Gieß
Jadwiga Karge
Elmar Fröhlich
Lambert Röhricht-Johann
Andrew Misicher
Ing. Svenja Aumann
Amanda Weller
Ilonka Kohl
Prof. Ralph Patberg
Milos Trüb
Dr. Kai-Uwe Schulz B.A.
Nurettin Börner
Patrizia Bender-Reuter
Joachim Rogge
René Gude B.A.
Herr Janus Matthäi B.Sc.
Hans-Rudolf Fröhlich
Gunda Ditschlerin B.A.
Hansjürgen Lindner
Dipl.-Ing. Melanie Kreusel B.A.
Otto Butte
Univ.Prof. Halil Staude
Dr. Janos Reising
Prof. Dietlind Ullrich B.Sc.
Anatolij Keudel
Heinrich Putz B.Sc.
Hans-Günther Wilmsen
Leon Linke
Prof. Lieschen Mälzer B.Sc.
Torsten Pergande
Univ.Prof. Ferenc Knappe B.Sc.
Arzu Kuhl
Gregor Jungfer
Ing. Herbert Mühle B.Sc.
Klaus-D. Hövel
Sarina Dörr
Gunhild Meister
Emmerich Wilmsen
Erwin Weimer-Bohlander
Alban Dippel
Nathalie Lehmann
Eleni Franke
Rolf-Peter Staude
Cordula Schmiedecke-Wilms
Hedda Schönland
Prof. Trude Schäfer MBA.
Walther Hofmann
Maurizio Hermann
Alexandros Ernst
Bruno Hethur
Dipl.-Ing. Edmund Franke
Ing. Eleonora Holzapfel
Univ.Prof. Irene Budig
Benita Neuschäfer
Univ.Prof. Hans-Martin Scholz
Liesel Ziegert
Klaus-Werner Koch II B.Sc.
Marianna Rosenow-Weiß
Franz-Xaver Carsten
Rolf-Dieter Preiß
Gottfried Martin-Martin
Frau Ingried Rogner B.Sc.
Vitus Schmidt
Heribert Austermühle-Trupp
Melissa Dietz
Lukas Ditschlerin
Herr Lukas Eimer
Stephen Ackermann B.A.
Niklas Scholtz
Jessica Kohl
Natalia Hauffer
Heimo Karge-Freudenberger
Heinrich Kramer
Mirko Bolander
Nikolas Heß
Heinz-Günter Schuster
Hertha Butte B.Eng.
Univ.Prof. Traudel Wernecke B.A.
Timo Spieß
Kathi Seip
Ludwina Beer
Frederik Beyer
Zlatko Briemer-Karge
Ahmed Lange MBA.
Gundula Klotz
Thomas Hänel
Prof. Juliane Henck MBA.
Herr David Freudenberger B.Eng.
Alexandros Heintze
Ayse Scheuermann-Sölzer
Karen Rädel
Lena Wende
Ing. Stanislaw Weihmann B.A.
Knut Gorlitz
Birthe Trommler
Univ.Prof. Jürgen Weiß
Brigitte Zirme B.Sc.
Ing. Eckart Becker B.Sc.
Ing. Pius Börner
Hellmut Siering
Hilma Kuhl
Anka Förster
Angelina Ruppert-Siering
Herr Jörgen Kruschwitz
Dipl.-Ing. Gabi Scholtz
Heiderose Lange-Schüler
Heinz-Georg Hornich
Dipl.-Ing. Randolf Martin B.A.
Dierk Buchholz MBA.
Wilfried Börner
Ing. Arndt Schäfer
Angela Weimer B.A.
Branka Hering
Irmgard Liebelt
Auguste Pruschke
Katharina Etzler
Gerhart Schenk MBA.
Konrad Schuster
Prof. Marion Scholz
Ing. Rosalinde Käster MBA.
Gisa Hornig-Geißler
Dr. Siegfried Heinz B.Eng.
Ottmar Beier
Roswita Henck
Univ.Prof. Cynthia Löwer
Bruno Wagenknecht
George Hörle
Gaetano Lübs
Dr. Gundula Putz
Ing. Corinne Steckel B.A.
Gerd Süßebier
Dr. Herbert Jockel B.Eng.
Hedda Baum
Mark Schottin B.Eng.
Hermann Josef Junck
Ulrich Plath-Weihmann
Ing. Tilman Kitzmann
Leon Bauer
Andre Schönland B.Sc.
Melissa Stey
Hermann Josef Drubin
Dipl.-Ing. Margaretha Köhler B.Eng.
John Bauer
Amalie Gotthard
Jurij Bärer
Univ.Prof. Milan Hande
Timm Freudenberger-Henschel
Marisa Hartmann-Kusch
Univ.Prof. Amalia Köhler
Herr Kurt Weitzel B.Sc.
Ing. Roy Dippel B.A.
Gundolf Walter
Domenico Nohlmans-Eberhardt
Leonardo Birnbaum
Univ.Prof. Alexandre Schottin
Iris Ullrich
Prof. Alois Jacob
Brunhilde Mälzer-Warmer
Karl Ruppersberger
Ing. Wiltrud Sauer B.Sc.
Karla Freudenberger MBA.
Frau Trudel Hövel
Klaus-Ulrich Blümel B.A.
Grit Röhricht-Rosemann
Vassilios Trommler-Gieß
Dr. Silvio Täsche
Prof. Cäcilia Gertz B.Eng.
Univ.Prof. Francisco Tröst B.Eng.
Birgid Drewes-Seifert
Dr. Diedrich Krebs B.A.
Rolf Wirth
Gereon Jacob
Prof. Achim Rose
Mercedes Sauer
Sebastian Aumann
Ing. Karl-Peter Weinhold B.Sc.
Dietlinde Käster
Frau Angelina Martin
Annamaria Baum MBA.
Constantin Jacob B.Sc.
Czeslaw Fiebig
Francoise Dippel B.Eng.
Herr Laurenz Häring
Hans-J. Tröst MBA.
Margarete Kabus
Monja Mülichen
Ing. Brunhilde Albers
Reinhart Winkler B.Eng.
Carl Schmiedt
Univ.Prof. Vadim Vollbrecht B.A.
Egbert Tschentscher
Univ.Prof. Polina Schmidt B.Eng.
Heidelinde Pruschke
Prof. Natalja Mies MBA.
Anny Wagenknecht
Hans-Adolf Römer-Jäntsch
Edith Hettner
Heinz-Gerd Beyer
Miriam Juncken
Horst-Dieter Bähr
Gabi Gertz
Grete Peukert
Prof. Riza Niemeier
Prof. Dirk Biggen B.Eng.
Dr. Uli Segebahn
Prof. Sylvana Trapp
Alfred Rose
Heinz-Werner Schleich-Mies
Lisette Schönland B.Eng.
Dr. Aysel Kohl
Carl-Heinz Steinberg
Prof. Timo Schleich MBA.
Ernst-August Oestrovsky-Kreusel
Konrad Henschel
Ivanka Gierschner-Pergande
Kai-Uwe Sorgatz
Leonardo Klingelhöfer B.Sc.
Raymond Drub B.Sc.
Fernando Reising
Ing. Iwan Wagner
Dipl.-Ing. Gisela Schuster B.A.
Uta Karz
Ing. Massimo Losekann
Hans Kraus
Univ.Prof. Nadeshda Oestrovsky
Drago Gierschner B.Eng.
Janko Stey MBA.
Univ.Prof. Jane Mans B.Eng.
Gertraud Mende
Edit Rädel
Dipl.-Ing. Hülya Nerger
Anica Austermühle
Dino Kusch-Hiller
Dipl.-Ing. Ingolf Krein
Otmar Wende
Herlinde Schenk B.A.
Hanne-Lore Losekann B.Sc.
Prof. Ingmar Bonbach
Prof. Emine Beer
Dr. Slawomir Hande
Dörte Warmer
Flora Etzold
Alice Nette
Janko Neureuther
Agathe Trommler
Ing. Kunigunde Wieloch
Reimer Hethur-Gutknecht
Clara Ruppersberger
Michael Mies B.Sc.
Roger Hendriks-Ruppersberger
Ing. Swen Ehlert
Eileen Etzler
Waltraut Gehringer
Ljiljana Henk
Miriam van der Dussen
Hans-Detlef Kobelt
Wolfhard Kensy
Prof. Maya Peukert
Annett Ullrich
Ing. Leszek Gutknecht B.Sc.
Univ.Prof. Traudl Mentzel B.Eng.
Friedlinde Sauer
Univ.Prof. Henryk Kostolzin
Pedro Hande B.Sc.
Univ.Prof. Herlinde Klotz
Blanka Birnbaum
Ing. Tillmann Geisel
Conny Fliegner
Prof. Wolf-Dietrich Schweitzer MBA.
Elfi Wesack
Ilka Lachmann
Ing. Ronny Metz B.A.
Trudi Kranz B.Eng.
Thomas Drub
Evangelos Beyer
Kai-Uwe Köhler
Fredy Bachmann B.Eng.
Dipl.-Ing. Elisabeth Wiek
Anka Jäkel-Ackermann
Luis Oderwald
Brita Jäkel
Gisela Hornich-Metz
Karlheinz Martin
Heinz-Günter Hesse
Janus Weitzel-Koch
Hilda Stey B.Eng.
Kai-Uwe Stiebitz-Hentschel
Thomas Hentschel
Jelena Meyer MBA.
Angelo Pärtzelt
Conny Metz
Univ.Prof. August Schleich B.A.
Hans-Gerhard Döhn
Nevenka Hörle MBA.
Kuno Kreusel
Sigmund Hentschel MBA.
Aldo Kusch-Klemm
Dr. Agathe Jähn B.A.
Franka Mitschke B.Sc.
Sergej Dippel
Tilly Pergande
Jeanette Speer
Dipl.-Ing. Hans-Ludwig Meyer
Imke Keudel B.Sc.
Verena Davids
Heino Römer
Kornelia Bachmann
Kreszentia Bohlander
Gerhart Stumpf
Antonietta Hübel
Trude Scholtz B.A.
Hedwig Briemer
Gloria Mosemann
Geza Beckmann
Steven Käster B.Sc.
Ursula Jacobi Jäckel
Henny Herrmann
Hans-Rudolf Huhn
Mariechen Nohlmans
Eckart Cichorius
Hartmuth Vollbrecht
Blanka Ladeck
Melitta Steinberg
Zdenka Weiß
Univ.Prof. Catharina Neureuther B.Sc.
Leonie Möchlichen MBA.
Prof. Ingetraud Seidel B.Sc.
Mike Sölzer
Louise Jessel
Susann Henk
Elizabeth Wulf
Olaf Weinhage
Herma Geisler-Beckmann
Klemens Förster
Filippo Jäntsch
Cetin Schwital
Wulf Eberhardt
Dragica Kreusel
Claus Juncken
Mariusz Stadelmann-Jähn
Kornelius Fröhlich B.Sc.
Danica Atzler
Aloisia Faust
Sina Barkholz
Dipl.-Ing. Marisa Scholl
Ing. Kristina Biggen
Wladimir Karge
Ing. Ivonne Nerger
Richard Drub
Hiltrud Adolph
Zdravko Kroker
Nadja Häring B.Eng.
Kristin Bohlander B.Eng.
Siegrun Schomber
Raymond Ruppersberger
Evangelia Röhricht
Univ.Prof. Waltrud Rogner
Univ.Prof. Albertine Köhler MBA.
Ernestine Karz
Univ.Prof. Friedlinde Bien MBA.
Ing. Josip Ruppert
Herr Hans-Martin Heuser
Frau Ariane Weinhage MBA.
Francisco Trupp
Tomas Tlustek
Frau Wenke Riehl
Prof. Falko Trapp B.Eng.
Zlatko Lehmann
Hanspeter Juncken
Herr Darko Gutknecht MBA.
Silva Hiller MBA.
Stanislav Löffler MBA.
Marten Röhricht B.Sc.
Univ.Prof. Diedrich Köhler B.A.
Prof. Uschi Fliegner B.A.
Kaspar Hänel
Nada Girschner
Silvester Scheibe
Ingolf Ruppersberger-Berger
Anka Rohleder
Gudula Niemeier
Herr Baptist Klotz
Gerda Schleich
Karl-Georg Zahn
Bekir Bonbach
Arndt Weinhold MBA.
Univ.Prof. Alexa Junitz B.Eng.
Clara Mans
Marlene Steckel B.A.
Ingetraut Köster
Beatrix Rädel MBA.
Alexej Röhrdanz
Ing. Natalie Oderwald B.Sc.
Anna-Luise Eckbauer
Frau Trudi Wähner B.A.
Karla Wirth
Judith Meyer
Herr Knud Pölitz B.A.
Enrico Hornig
Prof. Irma Bien B.Eng.
Univ.Prof. Helmut Junitz B.Eng.
Ellen Trub
Valeria Mende
Ibrahim Wirth-Schuster
Harriet Rohleder
Heinz-Wilhelm Werner
Marliese Roht
Kemal Heinz
Ing. Lisbeth Fritsch
Aleksander Klapp-Sauer
Kunigunde Ziegert
Reinhold Hellwig-Mülichen
Birgid Graf
Adelheid Schmidtke
Toni Schottin B.A.
Gundula Adler-Bien
Sylvana Holzapfel
Michaele Neureuther
Recep Weihmann
Lissi Rust-Metz
Siegried Caspar B.A.
Mariusz Adler
Konstantinos Seifert
Ulrike Schleich-Süßebier
Gülsen Junck
Jolanda Henck
Anthony Oderwald
Claas Wirth B.Sc.
Semra Fiebig
Klaus-Michael Mälzer
Tülay Hettner-Ebert
Thea Schmiedecke
Celal Seifert
Prof. Reza Ebert B.Eng.
Ibrahim Ditschlerin
Klaus-Michael Hahn
Ing. Leni Rosenow B.Eng.
Klaudia Löffler-Zorbach
Siegrun Reichmann
Prof. Linus Kambs B.A.
Thomas Kraushaar
Univ.Prof. Hans-Rudolf Wohlgemut
Inna Hande
Anton Gute
Andrea Hamann
Ludwig Reinhardt
Prof. Urs Flantz
Sören Spieß
Hedy Kobelt
Marion Weihmann
Monica Drub-Davids
Antoinette Schottin
Philip Fritsch
Dipl.-Ing. Konrad Schenk
Hilmar Faust
Dr. Bernfried Bärer
Reimund Eimer
Ljudmila Nerger
Dr. Danica Scheuermann B.Sc.
Meryem Sager
Madeleine Thanel MBA.
Prof. Edgar Roht
Massimo Dörschner
Dr. Gerard Dörr
Ann Werner-Wilms
Antonina Pärtzelt-Gerlach
Adelheid Hecker
Emin van der Dussen
Hiltrud Bolander-Ziegert
Elenore Hofmann-Aumann
Annita Lorch
Simone Jacobi Jäckel B.A.
Inga Wieloch
Uwe Rosenow
Zeljko Baum
Sami Junitz
Gebhard Sauer
Hakan Kitzmann-Scholl
Univ.Prof. Nadja Jacob B.Eng.
Hardy Wende B.Sc.
Hildegund Ruppersberger
Nikolai Stiebitz
Univ.Prof. Fatima Faust B.A.
Mary Reuter B.Sc.
Dr. Peggy Beyer B.Sc.
Sofia Mielcarek B.A.
Heidemarie Köhler
Kornelius Heintze-Baum
Prof. Apollonia Gerlach B.Sc.
Stefano Huhn
Bruni Vogt MBA.
Larissa Löffler
Univ.Prof. Willfried Werner B.Sc.
Karlfried Rörricht
Mehdi Niemeier-Noack
Othmar Täsche-Loos
Milena Weitzel-Steinberg
Herr Valerij Heydrich
Reingard Jungfer
Heinrich Köster
Ron Beer
Lisette Stoll B.Eng.
Thorsten Ruppersberger
Constanze Lange
Prof. Götz Finke
Sigfried Franke B.Sc.
Sebastian Karge
Univ.Prof. Kreszenz Wulf B.A.
Annelore Bolander
Emma Briemer
Matteo Dehmel-Weimer
Notburga Pölitz
Chantal Fröhlich
Dr. Immo Kramer
Johan Baum
Mariana Steckel
Erica Holsten
Dr. Natascha Trüb
Dipl.-Ing. Elly Davids B.Sc.
Mattias Wieloch
Gundel Bien MBA.
Sina Patberg
Dr. Steven Wohlgemut
Ing. Heinz-Josef Hoffmann
Prof. Vadim Stroh
Katherina Ruppert
Prof. Karl-Friedrich Geisler B.A.
Dipl.-Ing. Wilfried Ortmann
Dr. Hedda Radisch
Ing. Magarete Herrmann B.Eng.
Prof. Gundula Dörr B.Sc.
Hellmuth Drubin-Tschentscher
Univ.Prof. Halina Hamann MBA.
Vincenzo Haering
Michaela Kade
Jan Freudenberger
Univ.Prof. Waldtraut Riehl
Dr. Theodor Sager
Kristin Jacob
Andrei Wulff
Dipl.-Ing. Utz Adler B.A.
Dr. Mohamed Kroker B.Eng.
Herwig Jäntsch B.Sc.
Maik Oestrovsky B.Sc.
Prof. Sarina Hartmann
Eberhardt Warmer
Robin Flantz
Gisbert Christoph
Carmen Weinhold
Lilli Harloff
Tülay Scholtz
Frau Almut Kuhl
Patrick Döring
Univ.Prof. Hans-Peter Schmidt MBA.
Mike Krein
Prof. Bianka Reinhardt
Teresa Schomber B.A.
Helma Zorbach
Frau Danielle Junk
Oscar Junitz
Frau Dorothe Mielcarek
Cordula Wohlgemut
Kristina Scheibe
Artur Briemer
Bayram Gertz-Hendriks
Theresa Caspar
Antonietta Kostolzin
Angelina Dörschner-Reichmann
Josef Butte-Lindau
Frau Edda Hornig B.Eng.
Tanja Rörricht-Haering
Ljiljana Löwer B.A.
Betti Zirme B.A.
Adelgunde Wagenknecht
Ada Ullmann-Hermann
Frau Rosalinde Riehl
Siegrid Hande
Hans-Gerhard Staude
Cindy Schleich
Friedl Hänel
Raymond Löchel-Ziegert
Dipl.-Ing. Hans-Michael Stiffel B.Sc.
Gisa Dörr B.Eng.
Guntram Warmer
Herr Bartholomäus Adolph MBA.
Barbara Kambs
Univ.Prof. Karl-Friedrich Mosemann B.Sc.
Herr Roman Schwital MBA.
Ingetraud Freudenberger
Slawomir Bohnbach
Elias Gierschner
Hansgeorg Klotz
Ludwig Zimmer MBA.
Anna-Marie Heidrich
Catrin Ziegert-Meyer
Zenta Gertz B.A.
Ansgar Möchlichen-Höfig
Aribert Herrmann
Diedrich Lachmann-Oestrovsky
Klara Schlosser
Gudula Stroh-Bien
Victoria Hiller
Dr. Alois Kraushaar B.Sc.
Herr Andrej Rose
Dipl.-Ing. Corina Fischer
Dr. Harald Ritter
Frau Evamaria Geißler
Franca Börner
Herr Siegmar Geisler
Telse Rudolph
Dr. Achim Barth
Lisa Rädel-Bender
Dipl.-Ing. Berend Niemeier
Nikola Riehl
Hans-Dietrich Fliegner
Univ.Prof. Erna Köhler B.A.
Amalia Schmidtke-Radisch
Benno Klemt
Prof. Klaus Peter Bruder
Univ.Prof. Dorina Lange
Evi Heuser
Patricia Trubin
Michaele Schacht
Ekrem Zänker
Prof. Wolf-Dieter Killer B.Sc.
Karolina Hartmann
Univ.Prof. Ottfried Scholl
Hans-Jörg Trupp-Säuberlich
Hans-Albert Lindau
Elvira Mälzer
Heidelore Stolze
Dipl.-Ing. Robert Köhler
Christos Sölzer
Steffen Schlosser
Werner Heydrich-Schmidtke
Amalie Gotthard-Beckmann
Rüdiger Geisler
Gerard Förster
Ellen Liebelt
Woldemar Bähr
Urs Matthäi
Maja Fischer B.A.
Dr. Nadeschda Wulf
Faruk Köhler
Emilie Schmiedecke
Ing. Gerti Franke
Hans-Ulrich Liebelt-Hauffer
Annaliese Heser B.Sc.
Ing. Nadeschda Tschentscher B.A.
Univ.Prof. Etta Bohnbach
Frau Herlinde Segebahn
Danuta Löwer
Univ.Prof. Wibke Reinhardt B.Eng.
Dörte Nette
Ing. Rolf Gertz
Mandy Huhn B.A.
Reni auch Schlauchin
Ullrich Preiß
Univ.Prof. Amalie Warmer B.Eng.
Univ.Prof. Harriet Heintze
Frau Wenke Klemt
Lidija Pärtzelt
Frank-Peter Bien
Prof. Tilmann Franke B.Sc.
Herr Filippo Rosemann B.A.
Gottlieb Kade
Ottokar Fliegner
Arndt Wernecke-Gertz
Delia Rust
Alice Lachmann-Finke
Ing. Konstantin Gerlach B.A.
Erkan Beier
Celal Scheel B.A.
Univ.Prof. Philippe Thies B.Eng.
Heinz-Walter Juncken
Kriemhild Jähn
Gerta Hartmann
Dr. Mario Lorch
Andy Mangold
Elke Huhn
Doreen Striebitz
Nikolaus Fiebig
Ulrich Schlosser
Ing. Gundolf Steinberg B.Sc.
Theo Neuschäfer
Univ.Prof. Hans-Theo Kroker
Darius Kallert
Dipl.-Ing. Bernward Putz B.Eng.
Prof. Sibel Wohlgemut B.Sc.
Petar Hamann
Stephen Trommler
Karl-Wilhelm Meyer
Ing. Alma Rudolph B.Sc.
Wulf Kusch
Norma Jungfer
Frau Pascale Hettner B.Eng.
Erkan Trub
Fridolin Paffrath-Geisler
Wigbert Ortmann
Ahmad Preiß
Dipl.-Ing. Hans-Günther Bien
Fadime Heidrich B.A.
Lisbeth Hentschel
Therese Neureuther
Horst-Günter Zirme
Ilias Wagner
Dagmar Koch
Gunter Beyer
Süleyman Baum
Ursel Juncken-Buchholz
Ing. Mattias Boucsein
Boris Bachmann
Konstanze Mohaupt
Dogan Ruppersberger
Dipl.-Ing. Harm Ruppert MBA.
Hardy Weller
Klaudia Reuter B.A.
Ing. Anika Jüttner
Bozena Carsten B.Sc.
Damian Hentschel
Univ.Prof. Elfriede Rohleder
Hans Josef Lachmann
Teresa Ladeck-Rädel
Helmut Renner
Willfried Werner
Prof. Luzie Killer B.Sc.
Alfredo Oestrovsky
Valerie Losekann
Dr. Marco Scheuermann
Dipl.-Ing. Mariechen Bonbach
Steve Scholl-Ladeck
Elise Hentschel
Linus Lübs
Ing. Marcel Gute
Metin Peukert-Lindner
Gregor Loos-Gehringer
Silvio Weimer
Luzie Schäfer
Kilian Austermühle B.A.
Wally Anders B.Eng.
Dr. Saban Hoffmann B.Eng.
Magret Oderwald
Herr Hinrich Mühle
Herr Jonathan Hänel MBA.
Myriam Hänel
Stanislaw Misicher
Jörg Haase-Röhricht
Margitta Hethur MBA.
Dipl.-Ing. Kristine Klapp MBA.
Danilo Hartmann
Ioannis Junck
Wulf Steckel-Lachmann
Hans-J. Trapp-Koch II
Harri Mans
Marko Trupp
Kirstin Kusch-Meister
Dipl.-Ing. Lilly Boucsein B.Sc.
Maximilian Jockel
Gabriele Stahr
Henry Schüler B.Eng.
Ing. Helene Jähn B.Eng.
Prof. Ignaz Cichorius
Hildegund Gunpf
Markus Albers
Univ.Prof. Mira Riehl
Hans-Henning Scheel
Leokadia Herrmann
Georgios Neuschäfer
Prof. Hermann Josef Söding
Ing. Klaus-Dieter Karge MBA.
Prof. Danny Bähr B.Eng.
Prof. Theobald Mangold
Ortrun Siering
Karl-Peter Kramer
Jost Roskoth
Gernot Kobelt
Stephanie Krause
Anatolij Trub
Anica Ortmann B.A.
Herr Karl-Heinrich Eberth B.Sc.
Krzysztof Kruschwitz
Melanie Segebahn
Chantal Kramer
Irene Stumpf
Malgorzata Pieper
Zlatko Ritter B.Eng.
Hella Pergande MBA.
Mareile Oderwald-Hiller
Ing. Fredi Löffler
Dr. Iris auch Schlauchin
Myriam Schäfer-Tschentscher
Hans-Karl Christoph-Schleich
Julian Schuchhardt-Dippel
Univ.Prof. Karl-Otto Dowerg MBA.
Ing. Christel Margraf MBA.
Dursun Atzler B.A.
Prof. Henriette Killer
Elisabeth Wieloch-Boucsein
Inna Winkler
Philip Renner
Bernadette Löffler
Eva-Marie Berger MBA.
Univ.Prof. Michail Tintzmann B.Eng.
Nikola Kitzmann
Univ.Prof. Johan Lange
Herr Bastian Hübel B.A.
Christl Pölitz
Ekkehard Holzapfel
Prof. Romy Bohnbach
Mandy Loos
Dogan Bolander
Henri Wirth
Prof. Niko Atzler B.Sc.
Marcel Hermighausen
Carla Hecker
Valeska Blümel B.A.
Marcel Schlosser
Richard Kostolzin
Univ.Prof. Jeanette Girschner B.Sc.
Anni Kraus
Marlen Gute-Hauffer
Brunhild Briemer B.Sc.
Thorben Henk-Mende
Friedrich Austermühle-Döring
Roland Putz
René Säuberlich B.Eng.
Prof. Tina Nohlmans MBA.
Anthony Heintze
Ingmar Hauffer
Larissa Ullmann
Ewald Rädel-Rörricht
Pia Steuer
Waltraud Trapp-Pechel
Bertha Rose
Dr. Gero Röhricht B.Eng.
Heinz-Werner Buchholz
Frau Yvonne Trupp B.A.
Dr. Isabell Trupp
Czeslaw Jacobi Jäckel-Zahn
Dr. Frithjof Weinhage MBA.
Prof. Sibel Mälzer MBA.
Anne Schmidtke
Kay-Uwe Ziegert
Ing. Torsten Hartung B.Eng.
Katherina Klapp
Viola Oderwald B.A.
Nurettin Koch II
Heinrich Dippel
Constance Rogge
Univ.Prof. Melita Langern
Nadeshda Hänel-Kaul
Jens-Peter Graf-Schmidt
Gotthold Krause
Edit Kitzmann
Waldtraut Hoffmann
Univ.Prof. Mirella Peukert
Knut Jacob
Emilie Schmidt-Gröttner
Antonios Schönland
Lorenzo Hornig
Marietta Heinrich
Dr. Rolf Walter
James Nohlmans
Zita Butte
Matthias Hendriks-Koch
Dr. Heinz Dieter Dörschner
Christina Schlosser
Kristian Anders B.Sc.
Ing. Therese Rust
Dipl.-Ing. Hanns Nette
Dr. Lina Hiller
Dipl.-Ing. Roland Bien B.Sc.
Eileen Hartung
Sibille Kallert
Meral Stroh-Henschel
Nadeshda Mentzel
Frau Zdenka Zimmer
Giuseppe Stahr
Ing. Carolin Anders
Dipl.-Ing. Slawomir Ebert MBA.
Adam Gertz
Franca Mentzel
Ing. Hellmuth Scholl
Andre Stroh
Hans-Jürgen Klemm
Dr. Daniel Trommler
Ing. Wendelin Köster B.A.
Meral Liebelt
Domenico Gerlach-Kramer
Hans-Georg Scholz
Hasso Renner
Hilmar Hörle
Sergej Hauffer MBA.
Daniela Löwer
Sevim Textor-Schinke
Kunigunda Fischer
Herr Mario Thanel
Ilonka Wulf
Hartwig Sorgatz B.Eng.
Dipl.-Ing. Petar Wohlgemut
Ilija Höfig
Oscar Reinhardt B.A.
Marica Seidel B.Eng.
Pero Scheuermann
Emanuel Schinke B.Sc.
Raphaela Eckbauer
Edit Martin B.Sc.
Ing. Dorothee Harloff B.Sc.
Univ.Prof. Siegrun Klingelhöfer MBA.
Rico Putz-Killer
Lotti Mosemann
Metin Hande
Herr Hansjoachim Geisler
Philipp Walter-Löffler
Mehmet Sauer
Angelique Wesack B.Eng.
Hasan Klemm
Guntram Scholz MBA.
Mark Röhricht
Antje Kambs
Bernward Fröhlich
Marika Sager
Paolo Weller-Heinrich
