Student
James Kostolzin-Haase
Ortrun Pohl B.Eng.
Fridolin Paffrath-Geisler
Milica Huhn
Geza Weller
Boris Stumpf
Friedericke Ruppersberger
Mike Hofmann
Dr. Daniel Trommler
Ing. Lucie Karz
Karla Gunpf
Norman Ditschlerin MBA.
Gino Ernst
Danuta Löwer
Silvia Eberth
Gabriella Rädel
Antonietta Hübel
Dipl.-Ing. Giorgio Drubin B.Eng.
Laura Mühle
Heinz-Günter Weimer B.Sc.
Irma Neureuther
Harm Nette
Oxana Ladeck
Gerhart Davids B.A.
Georgine Schinke
Kenan Wulff-Plath
Gundula Scheel-Döring
Karina Tschentscher-Butte
Wulf Fiebig B.A.
Heidelore Zirme
Phillip Hermann
Viktoria Trub-Budig
Herr Francis Scholtz
Elfie Jäkel
Anne-Katrin Rogge
Kazim Hörle
Prof. Ralf-Peter Schlosser B.Eng.
Gisela Carsten B.Sc.
Univ.Prof. Heinz-Werner Renner B.A.
Maximilian Heß
Klaus-Jürgen Jockel
Manuel Hering-Jäntsch
Gunhild Holt-Rust
Hans-Helmut Binner B.Sc.
Herr Hans Rogge
Fernando Schüler
Thomas Kraushaar
Univ.Prof. Sybilla Gehringer
Ing. Tanja Scheibe B.Eng.
Adelgunde Thanel
Ingried Bähr
Edda Jungfer
Hans-Herbert Walter
Salih Eckbauer-Renner
Aloys Barkholz
Manuela Linke B.Eng.
Henni Ullmann MBA.
Willibald Ziegert-Siering
Camilla Jäntsch
Giesela Wagner
Mina Segebahn B.A.
Andrei Hertrampf-Trommler
Waltraut Gehringer
Hans-Jürgen Barth
Horst-Peter Löchel
Dr. Natascha Trüb
Evelin Stumpf
Edelbert Stey-Scholz
Stavros Zirme
Lisette Mühle
Bruno Hesse
Peggy Rogge-Lachmann
Leonardo Klingelhöfer B.Sc.
Liesbeth Junck-Benthin
Cathrin Weitzel MBA.
Hanny Martin
Heinz-Wilhelm Säuberlich MBA.
Igor Dörschner
Ehrentraud Kroker
Frau Constanze Heidrich B.Sc.
Tomasz Preiß
Dipl.-Ing. Emmy Börner
Willy Weiß
Marina Hofmann
Sybilla Hornig
Patrizia Schüler
Alexandra Henk MBA.
Ortrun Krebs
Gertraud Mentzel
Ivana Wilmsen-Gumprich
Aleksander Klapp-Sauer
Dr. Reinhilde Thies B.Eng.
Wulf Steckel-Lachmann
Elise Trupp
Dietlind Drubin
Zoltan Preiß B.Eng.
Siegmund Schleich MBA.
Gabriel Klotz
Anika Biggen MBA.
Heinz Dieter Barkholz
Bodo Finke
Dipl.-Ing. Ryszard Buchholz
James Kostolzin-Staude
Univ.Prof. Hedwig Krein
Gerti Ullrich
Herr Darius Heuser
Maren Scholz-Bohlander
Dr. Edit Scheibe B.A.
Theodor Bolnbach-Kroker
Prof. Ralph Patberg
Slawomir Drub-Gute
Dursun Gehringer
Dr. Anto Wende
Ignatz Börner
Hanni Dippel-Heser
Raphaela Eckbauer
Reinhilde Metz
Marie Sorgatz MBA.
Clara Rust
Mirjam Stumpf
Artur Berger
Irmi Gute
Prof. Ingbert Nette
Lena Mitschke
Leo Gunpf-Bolzmann
Univ.Prof. August Schleich B.A.
Dr. Natascha Schmidtke B.Eng.
Fatma Seidel B.A.
Prof. Ingmar Bonbach
Dr. Almut Nohlmans B.A.
Genoveva Hofmann
Gabi Klapp
Agnes Vollbrecht
Prof. Orhan Ladeck MBA.
Margareta Lübs-Vollbrecht
Herr Alexandre Eimer B.A.
Enno Jockel MBA.
Dipl.-Ing. Adem Gerlach
Univ.Prof. Halil Staude
Univ.Prof. Aleksander Wiek B.A.
Mirjana Schlosser B.Eng.
Frau Patricia Gorlitz B.A.
Prof. Goran Sölzer MBA.
Katarina Knappe
Sigurd Höfig B.Sc.
Lieschen Röhricht MBA.
Silke Scheuermann B.Sc.
Dr. Arzu Martin B.Eng.
Saskia Wagenknecht
Kirstin Boucsein B.Eng.
Karl-Otto Kostolzin
Udo Grein Groth
Raphael Barth
Uli Schönland-Trupp
Karsten Wohlgemut
Heidemarie Junitz
Dr. Margita Stiebitz
Abram Gunpf
Lidija Löchel B.A.
Rocco Rosemann B.A.
Pedro Hande B.Sc.
Arndt Bachmann B.Eng.
Ing. Dorothe Junken
Rosa Pieper B.Eng.
Stella Barth
Georgios Knappe-Mälzer
Korbinian Werner
Yusuf Sontag
Waltrud Scholl
Irmtrud Schaaf-Jacobi Jäckel
Alma Kaul
Tilman Killer B.A.
Hans-J. Wohlgemut
Nancy Karz-Bolzmann
Gereon Jacob
Dr. Margarethe Ernst
Ilija Höfig
Sylvie Neuschäfer
Dr. Cengiz Säuberlich
Liane Hermann MBA.
Danuta Lachmann-Dussen van
Kunigunde Ziegert
Hülya Conradi
Hans-Gerd Dietz B.A.
Sandy Römer-Bien
Ing. Hans Peter Schenk B.A.
Rosa-Maria Reising
Raymond Speer
Hulda Junk
Dr. Annett Siering
Gisela Girschner
Margot Schäfer B.Eng.
Dr. Reinhart Hecker B.A.
Nikolaos Reichmann
Siegmar Dowerg
Dr. Halina Mälzer
Hannelore Haase
Gitte Römer-Kroker
Christos Ruppert B.A.
Ben Täsche
Emma Briemer B.Eng.
Damaris Bien
Ellen auch Schlauchin
Dipl.-Ing. Theobald Knappe B.Eng.
Henriette Bruder
Dr. Ottfried Lachmann B.Sc.
Dipl.-Ing. Bodo Junk B.Eng.
Gitta Mohaupt
Ing. Hanne-Lore Ackermann
Univ.Prof. Rafael Pruschke B.A.
Prof. Sandy Butte
Jerzy Hermighausen-Lübs
Michel Kuhl
Joachim Höfig
Elli Kuhl B.Eng.
Leila Hethur
Slawomir Ehlert-Reising
Johann Reuter
Maxim Roht
Yusuf Steinberg B.A.
Dana Jäntsch
Rosina Ortmann
Isabell Buchholz
Frau Ingried Rogner B.Sc.
Verena Hornich
Giuseppe Trupp
Jan Gumprich
Pierre Köster
Ing. Henning Drub
Univ.Prof. Friedl Tlustek
Ing. Ahmet Häring
Georgine Schäfer
Herr Bruno Kreusel
Ing. Petar Wilmsen
Calogero Staude B.A.
Univ.Prof. Till Vogt MBA.
Bianka Scheuermann
Agnes Tröst
Jann Geisler
Pavel Pärtzelt B.Sc.
Prof. Henryk Kitzmann
Marco Schinke B.Eng.
Rolf Wirth
Babett Pruschke-Schäfer
Pavel Ehlert
Prof. Jürgen Blümel B.A.
Mirko Eckbauer
Jakob Seifert
Emil Grein Groth
Harold Scheibe
Edeltraud Mülichen
Ing. Hans-Wilhelm Holt B.Sc.
Bertram Eigenwillig
Ahmet Stumpf
Ing. Agnes Zobel
Ing. Henrike Kramer
Ing. Natalie Oderwald B.Sc.
Helmar Barth
Cora Scholtz
Wendelin Pärtzelt
Alf Jacobi Jäckel-Fritsch
Herr Leonid Röhricht MBA.
Gernot Hornich B.A.
Ingolf Ruppersberger-Berger
Univ.Prof. Belinda Henck
Herr Alois Thanel B.Sc.
Herr Ignatz Boucsein MBA.
Bernhard Rogner B.Eng.
Heinz-Wilhelm Kuhl
Anett Bien-Schuster
Dipl.-Ing. Rudi Wiek B.Eng.
Jost Roskoth
Dr. Fatma Jacob MBA.
Prof. Marika Junken B.Eng.
Siegmar Pergande B.Eng.
Dr. Erdogan Eigenwillig MBA.
Henryk Henk
Prof. Gerd Schenk
George Käster-Eberth
Edmund Junck
Prof. Annita Putz
Wladimir Rogge
Univ.Prof. Suse Lachmann B.Sc.
Asta Mielcarek-Blümel
Hermann Josef Weihmann
Dragica Rosenow
Dörthe Mitschke-Holt
Folker Otto
Ramona Römer
Alfred Rose
Herr David Löchel B.A.
Sergej Dippel
Mareile Oderwald-Hiller
Benita Heser
Reinald Zahn
Claus Heser B.Sc.
Univ.Prof. Wibke Reinhardt B.Eng.
Dennis Beer-Striebitz
Wanda Stoll B.A.
Konstantinos Linke B.Eng.
Yvette Schinke
Edith Hettner
Alina Schmiedecke
Faruk Döhn
Ing. Leonore Haering MBA.
Josefine Rosenow-Hertrampf
Lia Heydrich
Henny Eberhardt
Insa Jacobi Jäckel
Olivia Nerger B.Eng.
Ilonka Buchholz-Köhler
Alwine Bien
Anika Holsten
Christl Pölitz
Herr Ilja Kroker
Ing. Josip Ruppert
Ludmila Stadelmann
Charlotte Hecker B.Eng.
Anton Müller
Thea Dippel
Prof. Heide Krebs
Conny Metz
Anastasios Kuhl
Leon Aumann
Marianna Rosenow-Weiß
Ruthild Hoffmann
Kirsten Heydrich
Hannes Meyer
John Gunpf B.Sc.
Hasso Renner
Telse Rudolph
Cindy Tschentscher
Dr. Lisa Stroh B.Sc.
Ing. Mike Stolze
Elmar Patberg
Ingelore Kobelt MBA.
Patric Heinrich
Hardy Wende B.Sc.
Antonina Pärtzelt-Gerlach
Sylvio Gutknecht
Timo Siering-Hübel
Thea Bauer
Oda Henschel
Prof. Guiseppe Gröttner B.Sc.
Prof. Gabriella Holt B.Eng.
Prof. Johan van der Dussen
Insa Bloch B.A.
Mira Bender
Fatima Röhrdanz
Univ.Prof. Fedor Eimer
Ingried Hänel
Mara Vollbrecht B.A.
Sebastian Karge
Karlheinz Stahr
Klaus-Michael Fiebig
Anatolij Steinberg
Herr Filippo Rosemann B.A.
Univ.Prof. Norma Schleich B.Sc.
Nada Dowerg-Jähn
Luigi Gude
Angelique Wesack B.Eng.
Dipl.-Ing. Marek Jockel
Sieghard Stoll-Harloff
Margarete Mohaupt B.Sc.
Ladislaus Stadelmann
Victoria Klingelhöfer
Reimar Müller
Maxim Wilms-Meister
Klaus-Peter Zorbach
Achim Budig
Marlene Heuser-Trub
Hilma Kuhl
Ada Ullmann-Hermann
Anastasios Drub
Dietlinde Schönland
Regina Wende
Herr Edmund Hesse
Ing. Diedrich Gotthard MBA.
Heidrun Stiebitz
Frau Lilli Möchlichen MBA.
Sandra Hornig
Dipl.-Ing. Sigrun Bärer
Hubert Weitzel
Carl Schomber-Mälzer
Herr Hilmar Stumpf
Univ.Prof. Etta Bohnbach
Felix Hölzenbecher B.A.
Prof. Tina Nohlmans MBA.
Dipl.-Ing. Lucia Renner B.A.
Dipl.-Ing. Eberhardt Fechner
Univ.Prof. Diedrich Köhler B.A.
Johan Baum
Babette Rohleder
Oskar Rosemann
Desiree Wulf-Jüttner
Lissi Kohl
Dr. Mirko Langern MBA.
Centa Krebs-Stadelmann
Frau Julie Gunpf
Lukas Ditschlerin
Angela Stiffel
Justus Schüler MBA.
Dipl.-Ing. Ildiko Löffler B.A.
Sofia Hethur
Carsten Hartmann
Hülya Scheibe
Reinald Gerlach
Wieslaw Löchel
Elizabeth Jacob
Dr. Peggy Beyer B.Sc.
Univ.Prof. Tilmann Pieper B.Eng.
Prof. Lilly Schmidtke
Anthony Patberg
Gerwin Rust MBA.
Lucie Gutknecht
Prof. Ildiko Adler MBA.
Frau Anja Haering
Hedy Kobelt
Dipl.-Ing. Astrid Kade
Friedericke Ring MBA.
Patricia Wiek
Prof. Mario Butte
Herr Darko Gutknecht MBA.
Samir Krein B.A.
Emma Trub-Scheuermann
David Warmer
Irmi Zobel
Annekatrin Neureuther
Frederike Stoll
Ing. Mohammed Geißler B.Eng.
Thomas Drub
Wendelin Schäfer B.Sc.
Siegrun Christoph
Nick Jockel B.A.
Wilfriede Ziegert
Dipl.-Ing. Gilbert Plath B.Sc.
Dr. Philip Siering B.A.
Marika Zänker B.A.
Rena Radisch
Irmengard Röhrdanz
Mariola Gnatz
Ing. Elenore Kostolzin
Dipl.-Ing. Claas Ladeck
Wilhelmine Knappe
Rena Rohleder
Mira Sontag
Hanns Stiffel
Michel Heß
Dr. Heinz Dieter Dörschner
Dr. Ehrhard Gieß B.Sc.
Herr Erich Rosenow
Tülay Scholtz
Lilli Meyer-Reuter
Herlinde Birnbaum
Margarete Kabus
Univ.Prof. Gottfried Süßebier
Gilda Tintzmann
Almut Trupp
Myriam Hänel
Hildegunde Stiebitz-Mude
Klaus-Ulrich Tlustek-Förster
Friedlinde Schenk-Wulff
Carlo Martin B.Eng.
Josefa Stolze
Elfi Kranz
Hans-Jürgen Klemm
Frau Raissa Ruppersberger B.Eng.
Jochem Hermighausen
Undine Lindner
Prof. Natalija Weinhold
Mirja Schottin
Ing. Leo Schulz
Prof. Sofie Gröttner
Leif Wulff
Amalia Wulf
Richard Drub
Dipl.-Ing. Robert Köhler
Daniele Heintze B.Eng.
Ljiljana Rädel
Giuseppe Stahr
Ottokar Berger
Elena Gotthard
Patrick Anders-Stolze
Magdalena Sauer
Carla Schacht
Geert Rudolph
Dan Scheuermann
Isidor Zobel-Ritter
Caterina Weinhage
Hans-Günther Etzold
Theodor Striebitz
Prof. Monica Beer MBA.
Univ.Prof. Eugen Karz
Carin Atzler
Eleonore Kuhl-Koch
Herr Bastian Ritter B.Sc.
Prof. Mohammed Kambs
Angelique Kruschwitz
Tobias Wirth
Hans-Günther Scheuermann B.Eng.
Ing. Bianca Paffrath
Herr Simon Fliegner MBA.
Univ.Prof. Franz-Josef Holt
Mia Ullmann
Dipl.-Ing. Gisela Schuster B.A.
Heribert Steuer
Miriam Haering
Ing. Gerold Mende
Klaus-Werner Jäkel-Holsten
Lilli Harloff
Pawel Schlosser
Vincenzo Lübs
Janusz Rädel B.Sc.
Heinz-Jürgen Adolph
Susi Hendriks
Kerstin Niemeier
Wencke Heinrich
Hildegart Weitzel
Irmingard Reising
Liesbeth Huhn
Konstantinos Stolze-Biggen
Rene Albers
Prof. Woldemar Beier B.A.
Hellmut Nerger
Kuno Dussen van
Ing. Arndt Schäfer
Krista Hofmann
Juan Fechner
Sibel Hörle
Ing. Alwine Scholz
Univ.Prof. Nadeschda Staude
Marcel Hermighausen
Marleen Langern-Oderwald
Anton Gute
Jan-Peter Grein Groth
Elfi Herrmann MBA.
Alice Nette
Prof. Klaas Geißler B.A.
Fritz Nerger
Annette Ullmann
Lidia Franke
Ariane Tintzmann
Volkmar Hentschel
Karl-Heinrich Jacob
Canan Berger-Hellwig
Alfred Tröst-Stahr
Prof. Wolf-Dieter Killer B.Sc.
Katharine Mühle
Univ.Prof. Ilja Hentschel MBA.
Frau Jane Sauer
Laila Trüb
Egbert Tschentscher
Gero Gierschner
Guenter Lachmann
Leon Bauer
Otmar Wende
Vincenzo Jopich
Annelise Schwital
Kathi Wesack
Ljudmila Krebs
Fatma Löffler B.Sc.
Wenzel Wilmsen
Jaroslaw Seip
Herr Hans-Martin Heuser
Frank-Michael Sontag
Mechtild Winkler
Dipl.-Ing. Adriana Geißler
Czeslaw Jacobi Jäckel-Zahn
Astrid Nerger-Tröst
Univ.Prof. Annegrete Holt
Univ.Prof. Veli Etzler
Felicia Löffler
Annegret Atzler
Saskia Roskoth B.Eng.
Berndt Barkholz
Hans-J. Hahn-Süßebier
Dr. Steven Wohlgemut
Dipl.-Ing. Viktor Scheibe MBA.
Katharina Etzler
Jessica Kohl
Friedo Lorch
Gitte Briemer
Ing. Helen Gumprich B.Sc.
Paolo Zänker MBA.
Angelo Pärtzelt
Hans Georg Niemeier
Justina Zirme
Dr. Lilija Butte B.A.
Annelie Metz
Helen Hahn
Dr. Ayse Martin MBA.
Leni Heß
Ekrem Hornich
Ellen Jessel-Walter
Arnulf Süßebier
Dr. Songül Tlustek MBA.
Walfried Siering
Klemens Winkler
Krzysztof Kruschwitz
Gerda Gröttner B.Sc.
Uli Stolze MBA.
Francoise Rust
Ing. Gordana Bruder MBA.
Ing. Wilhelmine Adler B.Sc.
Senol Hölzenbecher
Irmengard Eckbauer
Evangelos Staude
Heiko Metz
Czeslaw Siering
Pius Jopich B.Eng.
Ing. Bernard Schleich B.Sc.
Herta Hoffmann
Dipl.-Ing. Slawomir Ebert MBA.
Dr. Hans-Heinrich Kaul B.Eng.
Herr Franz Geisler B.A.
Univ.Prof. Karen Etzold B.A.
Oxana Lübs
Dr. Amir Jäkel
Lutz Pärtzelt
Frau Brit Stoll
Univ.Prof. Hartwig Holsten B.Sc.
Vinko Reuter
Heinz-Peter Biggen
Käthi Lübs
Meike Rosenow
Dipl.-Ing. Betty Niemeier MBA.
Dr. Aysel Kohl
Esther Hoffmann-Hermighausen
Dipl.-Ing. Peer Kuhl
Frau Raissa Radisch B.Eng.
Emine Vollbrecht B.Eng.
Liesa Sauer
Patrick Döring
Petar Bauer
Prof. Jelena Krebs B.Sc.
Anke Hettner
Gloria Bruder B.A.
Frau Silvana Bolzmann B.Eng.
Maria-Theresia Tschentscher
Leopold Jungfer
Prof. Sahin Kreusel
Nikola Kitzmann
Danilo Ehlert
Britt Schwital-Seip
Ing. Jo Caspar
Sükrü Walter B.Eng.
Ivanka Berger-Kraus
Irina Mielcarek
Marko Trupp
Marzena Neuschäfer
Abraham Carsten
Berndt Bähr
Edward Dippel
Gesa Jäntsch
Rose Beer
Leopoldine Butte
Olivia Jäkel
Richard Kostolzin
Ingetraud Caspar
Prof. Diether Neureuther
Marlis Rogge B.Sc.
Univ.Prof. Traude Gertz
Wilfried Söding
Leon Rust
Ingetraut Jopich
Univ.Prof. Traudel Wernecke B.A.
Dipl.-Ing. Wolfram Johann B.Eng.
Sylvester Bachmann
Brunhilde Heinz MBA.
Xaver Schönland
Elenore Hofmann-Aumann
Univ.Prof. Dogan Mielcarek
Gregor Knappe B.Eng.
Dipl.-Ing. Berit Weinhage
Edeltrud Koch
Gloria Schulz-Huhn
Univ.Prof. Harro Fröhlich
Annelie Schomber
Britta Nerger B.Eng.
Alexandre Häring
Geraldine Gutknecht
Marek Hesse B.Eng.
Dipl.-Ing. Apollonia Steuer
Jacqueline Hofmann
Gesine Graf
Heinz-Otto Hermighausen
Michaela Hecker B.Eng.
Ing. Vesna Kroker B.Eng.
Sylwia Bolander
Hildegunde Staude
Kevin Tlustek-Heinz
Cordula Wohlgemut
Fanny Bolnbach B.Sc.
Gerlind Trüb-Losekann
Esther Eberth-Kensy
Frau Kirsten Boucsein
Mariele Peukert
Stefani Caspar
Gretel Stroh
Siegbert Hartmann B.A.
Cecilia Gertz
Ing. Hans-Wolfgang Weitzel B.Sc.
Lieschen Walter
Ing. Hans-Heinrich Reichmann B.Sc.
Prof. Gaby Ernst MBA.
Bernard Bien-Lübs
Mario Bärer
Alexej Liebelt
Kerstin Eigenwillig B.Eng.
Daniele Pieper-Käster
Dipl.-Ing. Salvatore Zänker MBA.
Niklas Scholtz
Univ.Prof. Ioannis Lübs B.Eng.
Hans-Willi Ladeck
Carsten Wieloch-Kranz
Beatrix Rädel MBA.
Univ.Prof. Alexa Junitz B.Eng.
Annamaria Baum MBA.
Eberhardt Schäfer
Katalin Thanel-Kitzmann
Kevin Etzler
Änne Schweitzer-Putz
Magret Mans
Ekkehart Grein Groth
Jasmina Cichorius-Barth
Adelgunde Beer
Ulrike Klemt B.Sc.
Edeltraud Bärer
Hanspeter Benthin
Ing. Romy Gieß
Katja Kruschwitz-Roskoth
Enrico Reising MBA.
Ing. Selim Tintzmann B.A.
Gunar Börner
Dolores Stey-Matthäi
Mona Söding
Jonas Mühle
Dr. Samuel Dobes B.Sc.
Katy Täsche
Joachim Fischer
Siglinde Zahn
Frau Tatiana Hande B.Sc.
