Student
Sophie Rädel
Folker Otto
Ralph Rogge
Wilhelmine Knappe
Dr. Timo Ernst
Frau Kordula Geisler MBA.
Ismail Junck-Trommler
Toni Scholl-Scholl
Rosemarie Hethur
Ing. Boris Junck MBA.
Nicolai Gutknecht
Emilia Römer
Amanda Stadelmann-Mende
Natalija Haering
Dr. Anatoli Bonbach
Ing. Erica Schottin
Cecilia Stoll
Klemens Knappe
Karlfried Karge-Wieloch
Dipl.-Ing. Magrit Junck
Reingard Klingelhöfer
Wieland Hethur
Ingried Bähr
Prof. Ferdinand Gertz B.Sc.
Insa Jacobi Jäckel
Marlen Wende
Ing. Magda Jäntsch
Oscar Nerger
Rosa-Maria Steckel
Lutz Wagenknecht-Gotthard
Serge Grein Groth
Anne Zorbach
Lilli Harloff
Jolanda Jopich
Halina Segebahn
Piotr Speer-Seifert
Sebastian Warmer
Gebhard Seidel
Artur Briemer
Ryszard Lorch
Darius Trupp
Milka Wohlgemut-Meyer
Antonina Wagner
Jochem Röhrdanz
Elias Langern
Alida Tröst
Deborah Scholtz B.A.
Dr. Anny Kallert
Univ.Prof. August Gunpf B.A.
Herr Thorben Jacob
Herr Bastian Hübel B.A.
Brigitte Knappe
Rosmarie Ullmann
Univ.Prof. Gottlob Tröst B.Eng.
Ljudmila Nerger
Ulrike Albers
Dipl.-Ing. Randolf Martin B.A.
Heide-Marie Zirme
Nina Wagenknecht
Felizitas Becker-Mosemann
Ing. Anika Jüttner
Marie-Luise Rogner
Roman Jäntsch
Konstanze Mohaupt
Josip Stey
Hanspeter Stiffel
Geraldine Gutknecht
Laurenz Ritter
Hans Dieter Fiebig B.Eng.
Dr. Rita Kallert
Erkan Beier
Miodrag Dörr-Austermühle
Magda Berger B.A.
Dorle Schmidtke MBA.
Dipl.-Ing. Claas Ladeck
Friedlinde Meyer
Swetlana Binner
Diether Blümel
Mattias Kensy
Irmtrud Pohl
Dr. Evangelia Killer B.Sc.
Ernst-Dieter Rörricht B.Eng.
Lucia Hermighausen
Uwe Dussen van
Metin Hande
Tilman Hövel
Marco Schinke B.Eng.
Ing. Heide Winkler
Reiner Conradi
Gertraud Mentzel
Ljiljana Roht
Ulla Hamann
Ing. Steffen Röhrdanz B.A.
Daniel Stiebitz
Hermine Franke B.Eng.
Dipl.-Ing. Klaus-D. Kostolzin
Dipl.-Ing. Cora Baum
Univ.Prof. Hartwig Holsten B.Sc.
Gunda Warmer
Univ.Prof. Nermin Rosemann B.Sc.
Manuel Krause MBA.
Sevim Textor-Schinke
Bertha Heser MBA.
Vitali Neureuther
Rose Beer
Juliane Mentzel-Ziegert
Desiree Köster
Urs Bähr
Josef Butte-Lindau
Dr. Markus Roskoth B.Sc.
Dr. Annelies Stumpf
Rocco Rosemann B.A.
Dusan Eigenwillig
Kay-Uwe Bruder MBA.
Dipl.-Ing. Hans-Günther Schuster
Ditmar Niemeier
Dipl.-Ing. Josip Mies
Hilma Berger
Emilia Scheel
Leopoldine Butte
Dipl.-Ing. Milica Hofmann B.A.
Richard Kostolzin
Prof. Josefa Beier B.Sc.
Univ.Prof. Anna-Luise Faust
Karl-Josef Thanel
Kristian Anders B.Sc.
Univ.Prof. Trudel Gierschner MBA.
Jörg Speer
Herr Leonid Röhricht MBA.
Univ.Prof. Anika Pärtzelt MBA.
Hedwig Briemer
Torsten Schwital-Gude
Univ.Prof. Wibke Reinhardt B.Eng.
Jörg-Peter Dowerg
Matteo Krein-Müller
Herr Vinzenz Jäntsch B.A.
Tomasz Preiß
Freddy Nette-Hendriks
Giuseppe Trupp
Herr Augustin Karge B.Eng.
Birte Jüttner
Katerina Bolzmann B.Eng.
Darius Gieß
Mohamed Stiebitz-Pärtzelt
Annemarie Schaaf B.Sc.
Leila Hethur
Prof. Roy Blümel
Isabell Briemer
Prof. Aziz Stumpf
Prof. Johannes Holzapfel MBA.
Herr Wieslaw Trupp
Aziz Anders
Dr. Nadeschda Wulf
Prof. Natalia Junck B.Sc.
August Weihmann
Franz-Xaver Carsten
Agatha Kostolzin
Jenny Scholtz
Ing. Melanie Hamann
Ing. Siegmar Meyer B.A.
Adam Gertz
Alwina Neureuther
Adeline Hahn
Univ.Prof. Ditmar Mitschke B.A.
Ottmar Beier
Burghard Davids
Dr. Ljiljana Henck MBA.
Gina Killer
Ing. Dierk Striebitz
Ole Schmidtke
Calogero Mude-Etzold
Samir Wähner-Butte
Ing. Rosalinde Käster MBA.
Samuel Ackermann
Ing. Augustin Budig B.Eng.
Miguel Lehmann
Philipp Lorch
Ortrun Pohl B.Eng.
Malte Davids
Raymond Misicher
Dr. Jochen Schäfer
Ing. Jessica Mende
Marie-Theres Pechel
Udo Grein Groth
Justus Schleich-Drewes
Aleksej Lehmann
Univ.Prof. Norbert Röhrdanz B.Sc.
Frau Anna Mangold B.A.
Augustin Wende
Diethard Trommler
Frau Helena Nette
Univ.Prof. Natalie Flantz
Czeslaw Siering
Käthi Naser-Tlustek
Berthold Rudolph
Fredy Bachmann B.Eng.
Fatima Rosemann-Schmidtke
Otmar Schmidtke
Benno Hofmann
Thorben Kitzmann
Leokadia Karge
Dipl.-Ing. Petar Wohlgemut
Hans-H. Pergande
Dipl.-Ing. Louis Spieß B.A.
Henriette Bruder
Ing. Roman Tröst
Ing. Ben Lindau MBA.
Dr. Elena Kade B.Sc.
Herma Möchlichen
Ahmet Eckbauer-Sölzer
Dipl.-Ing. Tomislav Dowerg B.Eng.
Bertha Gotthard
Herr Edmund Hesse
Kerstin Niemeier
Ing. Emmy Beer
Marlen Flantz
Luciano Wirth
Dajana Ring
Irmengard Röhrdanz
Damian Söding
Judith Koch-Mude
Elli Junck
Adelheid Schmidtke
Ing. Ronny Metz B.A.
Ernestine Karz
Felix Freudenberger
Franz-Josef Schmidtke
Insa Karz-Mangold
Daniele Hering
Annika Wirth
Frau Christiane Zänker B.A.
Joana Zimmer B.A.
Halil Löwer
Emanuel Scholz B.Eng.
Erwin Jungfer
Gernot Hornich B.A.
Hans-Christian Trüb
Frau Ina Dietz MBA.
Meta Eigenwillig
Katalin Butte
Steffen Cichorius B.Eng.
Volkmar Hentschel
Univ.Prof. Ron Rörricht
Dajana Meyer
Kai-Uwe Köhler
Frau Evelin Löffler
René Säuberlich B.Eng.
Filippo Hermann
Univ.Prof. Elfriede Rohleder
Melitta Steinberg
Bertram Höfig B.Sc.
Janine Dehmel B.Eng.
Mattias Wieloch
Ing. Igor Barth
Athanasios Bloch
Gert Kensy B.A.
Alfons Schleich B.A.
Stanislav Hoffmann
Nora Dehmel B.Eng.
Leonhard Adolph
Inna Ditschlerin
Dagobert Rogge
Siegrid Schmiedt
Eberhardt Schäfer
Prof. Magda Textor
Irmingard Meyer MBA.
Hannes Patberg
Yusuf Seifert
Univ.Prof. Rene Jacobi Jäckel B.Eng.
Gusti Wagenknecht
Prof. Mathias Kambs
Univ.Prof. Anny Stolze
Ellen Hahn-Spieß
Lena Mitschke
Nikola Riehl
Mareike Wilmsen
Arne Ziegert B.Sc.
Dr. Renate Mende
Reinhart Jopich
Dr. Franz-Peter Löffler
Dr. Frank Oderwald MBA.
Vito Roht
Friedbert Sorgatz
Ilija Höfig
Prof. Marie Plath
Eva Wende-Peukert
Frederik Rust
Ing. Dorothee Harloff B.Sc.
Walfried Siering
Siegmar Pergande B.Eng.
Ing. Justina Beckmann
Prof. Jan-Peter Schmidt
Irma Neureuther
Nadeschda Hande
Julie Radisch MBA.
Elzbieta Hartung
Dipl.-Ing. Gisela Schuster B.A.
Sami Linke B.A.
Ing. Cord Hermighausen B.Eng.
Christel Bärer-Zirme
Dipl.-Ing. Tina Kranz MBA.
Zoltan Preiß B.Eng.
Hermann Josef Junck
Dipl.-Ing. Cynthia Hauffer B.A.
Marianne Hecker
Karsten Wohlgemut
Gerd Becker
Melanie Segebahn
Katalin Thanel-Kitzmann
Hansjürgen Faust
Theodoros Grein Groth
Hans-Erich Preiß
Gisela Girschner
Ing. Wiltrud Sauer B.Sc.
Ortrun Krebs
Dr. Regine Gotthard
Alexej Hornig-Radisch
Leonardo Trub B.A.
Ronald Werner
Hanny Martin
Gloria Mosemann
Imke Keudel B.Sc.
Ekkehart Binner
Ing. Kristina Biggen
Ing. Leszek Gutknecht B.Sc.
Dagobert Sorgatz
Kreszentia Bohlander
Veli Rädel
Burkard Schlosser
Ellinor Kraus
Henny Vogt
Friedemann Klingelhöfer
Roderich Weitzel
Dipl.-Ing. Apollonia Steuer
Folker Otto MBA.
Univ.Prof. Willfried Werner B.Sc.
Natalja Seidel
Dipl.-Ing. Ismet Käster B.Eng.
Ibrahim Eberth
Prof. Anka Schulz
Guenther Schmidt
Dipl.-Ing. Jost Bruder B.Eng.
Sonia Gorlitz-Mude
Anni Seidel B.Eng.
Magda Geißler
Patrizia Biggen
Dr. Karla Christoph
Irmi Schacht
Ing. Aldo Radisch
Angelica Klemt
Gitte Briemer
Susann Mielcarek
Hedy Loos
Bruno Hethur
Dipl.-Ing. Rouven Kallert MBA.
Dr. Agathe Jähn B.A.
Canan Heinrich
Evangelia Röhricht
Krista Gertz B.Eng.
Ewa Eimer-Linke
Hanne-Lore Losekann B.Sc.
Mona Thies
Hilde Walter
Birthe Schüler
Evelin Wagenknecht-Döhn
Ramon Jäntsch-Gertz
Univ.Prof. Charlotte Lindner MBA.
Mandy Rädel
Frauke Wilms
Xenia Hermann
Gabriele Stahr
Franjo Löffler B.Eng.
Lieschen Steckel
Univ.Prof. Karin Beier
Frau Zdenka Boucsein B.Eng.
Heinz-Günter Mülichen
Fabienne Holt MBA.
Curt Mühle
Prof. Angelique Seidel MBA.
Nadja Hethur
Dipl.-Ing. Sarina Dörr
Nathalie Langern
Steven Trub
Ing. Konstanze Geisel
Dipl.-Ing. Christel Beer B.Eng.
Edda Salz
Hülya Scheibe
Wanda Becker
Hilde Lübs
Kathi Wesack
Raissa Mitschke MBA.
Gundel Bien MBA.
Univ.Prof. Immo Mangold
Marianna Hofmann
Falk Wagenknecht B.Eng.
Prof. Swen Benthin MBA.
Gisela Carsten B.Sc.
Univ.Prof. Niklas Mohaupt MBA.
Dipl.-Ing. Arthur Ziegert
Samir Krein B.A.
Sigmund Conradi
Renate Franke B.A.
Prof. Reza Ebert B.Eng.
Berthold Naser
Dr. Cäcilia Henk B.Eng.
Hedi Bärer
Woldemar Bähr
Frau Xenia Blümel
Gaby Noack
Carmen Weinhold
Ellen Liebelt
Henny Herrmann
Meinhard Schuster
Annekatrin Schleich
Antonius Käster
Amanda Heinz
Anatolij Keudel
Aloys Barkholz
Kathleen Hahn B.A.
Univ.Prof. Florentine Schomber B.Eng.
Remo Reinhardt
Mirko Eckbauer
Prof. Mathias Schmiedt
Prof. Julia Möchlichen B.A.
Dragan Trub
Prof. Gertraude Mangold B.Eng.
Marten Wesack
Univ.Prof. Friedl Peukert B.Eng.
Silvia Eberth
Hans-J. Wohlgemut
Ilse Krebs
Dipl.-Ing. Albrecht Metz
Albrecht Seifert B.Sc.
Olav Thies
Alicja Gieß
Hanne Gierschner
Beata Lübs
Sibylla Klingelhöfer B.Sc.
Linus Lübs
Sigmund Hentschel MBA.
Lara Oderwald
Anastasia Gunpf
Mahmut Hänel
Ing. Luisa Oestrovsky
Salvatore Ruppersberger
Margit Müller
Prof. Ludger Kohl MBA.
Marijan Kruschwitz
Ahmed Lange MBA.
Almut Rogge
Andree Wilmsen B.Eng.
Mona Söding
Hansjürgen Lindner
Marina Radisch
Conrad Killer
Prof. Wolf-Dietrich Schweitzer MBA.
Patricia Trubin
Prof. Vadim Stroh
Dr. Ferdinand Pölitz
Antonina Christoph MBA.
Herr Bertold Löffler
Dipl.-Ing. Aloys Hentschel
Ing. Michel Harloff
Dipl.-Ing. Gabriel Roskoth
Clara Ruppersberger
Elfi Herrmann MBA.
Dipl.-Ing. Kevin Stadelmann
Tomislav Jopich-van der Dussen
Prof. Ines Kuhl
Klaus-Ulrich Tlustek-Förster
Lukas Ditschlerin
Friedericke Roht
Prof. Miguel Dowerg B.A.
Antonius Pärtzelt-Jüttner
Sieghard Stoll-Harloff
Sabrina Schomber
Ivanka Berger-Kraus
Kläre Beier B.A.
Edeltraud Mülichen
Babette Rohleder
Alwine Bien
Wilfried Radisch
Hans Josef Thanel
Bodo Ullrich
Dana Löwer MBA.
Horst-Günter Zirme
Hans-Karl Christoph-Schleich
Prof. Bela Noack
Prof. Lieschen Bohlander
Sylke Binner B.A.
Univ.Prof. Gisa Meister
Hellmut Hein-Gnatz
Desiree Ruppert
Timm Freudenberger-Henschel
Dietrich Bien
Univ.Prof. Regina Salz B.Eng.
Univ.Prof. Herta Zänker
Uli Schönland-Trupp
Bertold Bloch-Beckmann
Elwira Hellwig
Jens Löchel
Margarete Linke
Prof. Gerda Barkholz MBA.
Prof. Maya Peukert
Marlen Gute-Hauffer
Prof. Kathy Warmer MBA.
Herr Vito Roskoth B.Sc.
Gabi Klapp
Gertraude Salz-Gnatz
Univ.Prof. Hiltrud Löwer
Regine Wende B.A.
Bettina Lachmann
Univ.Prof. Ralf-Peter Tlustek B.Eng.
Malte Bohlander
Tino Metz
Fabienne Conradi B.Eng.
Alicja Pergande
Senol Harloff-Lindau
Dörthe Roht
Thies Rose
Annegret Atzler
Hans-Bernd Trupp
Christl Wähner
Prof. Dorit Käster B.Sc.
Ole Ritter MBA.
Ingeborg Wesack
Annelene Steinberg
Frau Gudrun Huhn B.Sc.
Kristina Röhricht
Sylvio Karge
Frau Patricia Gorlitz B.A.
Univ.Prof. Gusti Schlosser
Dr. Tim Hornig B.Sc.
Nicolai Röhricht-Spieß
Eveline Kruschwitz B.Sc.
Edelgard Neureuther-Vollbrecht
Hedda Baum
Mehdi Neureuther
Ingelore Heinz
Univ.Prof. Olivia Gnatz MBA.
Peggy Holt
Alexej Liebelt
Helmar Klapp
Alexa Dietz
Asta Mielcarek-Blümel
Dr. Frederike Hering B.Eng.
Gundi Hiller
Brita Roht MBA.
Univ.Prof. Jörg-Peter Riehl
Heinz-Dieter Gute
Gerhart Hentschel
Willi Heinz
Frau Brigitta Bohlander MBA.
Karla Conradi
Marina Wilmsen
Anto Kostolzin
Sinaida Ruppersberger
Aziz Hornich
Hans-Gerd Holt
Imelda Söding
Olivia Thies B.A.
Arzu Kuhl
Prof. Urs Salz
Waltrud Scholl
Anica Ortmann B.A.
Senta Weihmann
Clemens Thanel
Univ.Prof. Ivanka Hübel
Marzena Neuschäfer
Dipl.-Ing. Svea Neureuther
Prof. Ullrich Rosenow B.A.
Felicia Flantz-Lehmann
Marlies Seifert-Roht
Cemal Budig-Holt
Janin Hamann
Prof. Volkmar Wirth B.Eng.
Dipl.-Ing. Friedrich Hiller B.Eng.
Evelyn Bien
Angelina Noack-Wagenknecht
Herr Süleyman Karge MBA.
Silvester Fischer
Gabriel Süßebier-Eigenwillig
Stephen Kensy
Wenzel Drubin
Ing. Herwig Drub MBA.
Bogdan Römer B.Eng.
Regine Meyer
Kristian Albers
Carlo Martin B.Eng.
Regina Wende
Filippo Jäntsch
Ing. Carolin Anders
Senta Wernecke B.Sc.
Gilda Tintzmann
Eckehard Wernecke
Erica Lachmann
Claus-Peter Flantz
Dajana Gehringer
Irmgard Pieper B.Eng.
Senol Langern
Franz Löwer
Nada Hänel
Karla Gunpf
Evi Oestrovsky
Univ.Prof. Claudia Freudenberger B.Sc.
Anna-Lena Röhrdanz B.Sc.
Ariane Tintzmann
Gunhild Meister
Filippo Jungfer-Kabus
Jonas Löchel
Zoltan Wilms
Dipl.-Ing. Angelique Ortmann
Univ.Prof. Dorit Pechel B.A.
Romy Etzold
Dipl.-Ing. Willibert Süßebier
Univ.Prof. Canan Zorbach B.Sc.
Dipl.-Ing. Christoph Jockel B.Sc.
Folkert Reinhardt B.Sc.
Heimo Gorlitz B.A.
Marlies Beckmann
Brunhilde Nohlmans
Murat Meister
Gerta Klemt
Ing. Valerij Segebahn B.Eng.
Burghard Wohlgemut
Luis Ackermann
Gunar Lindner
Dipl.-Ing. Sylke Gute B.A.
Herr Jens Ritter B.Eng.
Dipl.-Ing. Maik Mende B.Sc.
Immo Ring
Gudrun Geisler
Ludmilla Pieper
Univ.Prof. Klaus-Günter Renner B.A.
Ricarda Steuer
Univ.Prof. Nurten Neuschäfer MBA.
Hertha Butte B.Eng.
Ing. Carin Zorbach MBA.
Ludwig Reinhardt
Dr. Irmtraut Gnatz B.Eng.
Rahel Kreusel
Hildegunde Stiebitz-Mude
Jiri Kambs
Hildegund Ruppersberger
Herr Benedikt Säuberlich
Mariola Gnatz
Gertraud Mende
Hansgeorg Heuser
Univ.Prof. Margrit Davids B.Eng.
Margot Ullmann
Günter Rudolph B.Eng.
Gerdi Neureuther-Mälzer
Klothilde Zänker
Ansgar Möchlichen-Höfig
Peter Rohleder
Swantje Binner B.A.
Wanda Stoll B.A.
Marliese Drubin
Friederike Geisler
Werner Heydrich-Schmidtke
Leo Gunpf-Bolzmann
Univ.Prof. Harriet Heintze
Dr. Fredy Niemeier
Irina Birnbaum
Dipl.-Ing. Anneliese Kühnert
Paula Heinz
Cristina Salz B.Sc.
Anka Rohleder
Gislinde Schlosser
Gotthold Krause
Ruth Barkholz-Koch II
Guido Wagenknecht-Kallert
Gerlinde Albers-Hörle
Resi Knappe
Henry Austermühle
Geza Weller
Faruk Döhn
Timm Schleich
Anni Kraus
Berthold Rohleder
Prof. Kunigunda Pergande MBA.
Friedl Hänel
Dipl.-Ing. Gertraut Stolze
Dipl.-Ing. Götz Bloch
Henri Finke-Lehmann
Gerard Scholl
Tina Henschel
Enver Conradi-Hecker
Leni Wohlgemut-Ruppersberger
Frau Franziska Trupp B.Sc.
Prof. Susanne Heidrich B.Eng.
Dipl.-Ing. Gudula Margraf B.Sc.
Mechtild Patberg
Sophie Scheibe
Vlado Lindner
Christiane Mentzel
Brian van der Dussen
Victoria Hiller
Nadia Steckel
Dr. Hans-Peter Adolph MBA.
Dr. Lisa Kusch
Vito Davids-Schwital
Univ.Prof. Dorle Fröhlich
Ing. Istvan Finke
Mirja Schottin
Irmtraut Hahn-Walter
Karolina Reuter-Freudenberger
Gotthilf Gertz
Maurice Beckmann
Bettina Klapp
Dipl.-Ing. Canan Pölitz B.Eng.
Frau Elsa Mälzer
Sibylla Koch MBA.
Timo Siering-Hübel
Sina Mende
Swantje Heinz
Dr. Constance Römer
Hedda Haase
Gerta Hartmann
Orhan Dörr-Salz
Emilia Wagenknecht-Riehl
Dr. Jeanette Schuchhardt B.Eng.
Marika Zänker B.A.
Angelina Ruppert-Siering
Univ.Prof. Ottmar Jopich
George Hörle
Liliana Gehringer
Istvan Scheuermann
Adeline Hein-Metz
Eileen Geißler
Guido Pieper
Dörthe Hiller
Prof. Folker Budig
Raymond Speer
Prof. Emine Beer
Käthi Löffler
Ricardo Hesse
Kriemhild Gude
Elenore Hofmann-Aumann
Monica Drub-Davids
Mechtild Winkler
Notburga Pölitz
Luis Jacob
Annett Mies-Hellwig
Dipl.-Ing. Alla Karge
Irina Mielcarek
Armin Scholz
Adina Kallert
Luka Zorbach
Wolfram Klingelhöfer B.Eng.
Karl-Heinrich Jacob
